접수번호,법인구분,고유번호,회사명,증자일자,증자방식,증자주식종류,증자주식수,주식액면가액,발행금액,결제일시,연도,분기
20160330003045,Y,00261285,한국가스공사,2013.10.30,유상증자(일반공모),보통주,"15,028,490","5,000","47,250",2015-12-31,2015,Q4
20170331003881,Y,00261285,한국가스공사,2013.10.30,유상증자(일반공모),보통주,"15,028,490","5,000","47,250",2016-12-31,2016,Q4
20180329000730,Y,00261285,한국가스공사,2013.10.30,유상증자(일반공모),보통주,"15,028,490","5,000","47,250",2017-12-31,2017,Q4
20190401004174,Y,00261285,한국가스공사,2013.10.30,유상증자(일반공모),보통주,"15,028,490","5,000","47,250",2018-12-31,2018,Q4
20200330003924,Y,00261285,한국가스공사,-,-,-,-,-,-,2019-12-31,2019,Q4
20210322001038,Y,00261285,한국가스공사,-,-,-,-,-,-,2020-12-31,2020,Q4
20220325000211,Y,00261285,한국가스공사,-,-,-,-,-,-,2021-12-31,2021,Q4
20220325000211,Y,00261285,한국가스공사,-,-,-,-,-,-,2021-12-31,2021,Q4
20230321001441,Y,00261285,한국가스공사,-,-,-,-,-,-,2022-12-31,2022,Q4
20230321001441,Y,00261285,한국가스공사,-,-,-,-,-,-,2022-12-31,2022,Q4
20240325000966,Y,00261285,한국가스공사,-,-,-,-,-,-,2023-12-31,2023,Q4
