,name,sector,year,quarter,영업이익변화율,비유동부채변화율,비유동자산변화율,Code
19,Doosan_Corp,Conglomerate,2019,Q4,-1.2884476764833308,0.16069174133907593,-0.06250076830124329,000150
19,DL_Holdings,Conglomerate,2019,Q4,-1.37402536244764,-0.18638158615593725,0.020110822170772424,000210
19,Dong-A_Socio_Holdings,Conglomerate,2019,Q4,1.4246238465496468,0.014631161100758905,2.813746596141975e-05,000640
19,Hanwha_Corp,Conglomerate,2019,Q4,-1.298834080717489,0.03200278994652195,-0.00451039416740362,000880
19,CJ_Corp,Conglomerate,2019,Q4,0.12717008443991185,0.04370474166381266,-0.04463898819980927,001040
19,LG_International,Conglomerate,2019,Q4,-0.454581279723709,0.07299973817730565,0.09602762656482078,001120
19,LG_Corp,Conglomerate,2019,Q4,0.21488340053082644,-0.10722388337541156,0.01524098173652133,003550
19,Hansol_Holdings,Conglomerate,2019,Q4,0.5892135838855057,0.264104078799563,0.012747277608376795,004150
19,LS_Corp,Conglomerate,2019,Q4,25.965425531914892,0.030989753153594757,-0.45178590642686056,006260
19,SK_Holdings,Conglomerate,2019,Q4,0.7202975498367958,0.014054793652547026,-0.012437324558915108,034730
19,Halla_Holdings,Conglomerate,2019,Q4,0.339975170230679,0.18031051008296417,0.009731109909939528,060980
19,GS_Holdings,Conglomerate,2019,Q4,-0.030233545647558424,-0.008255529717427823,0.0003034250936779781,078930
