,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,영업이익 변화율,비유동자산 변화율,국제유가 변화율,이익잉여금 변화율,비유동부채 변화율,Label,Code
6,대림산업,2023,Q2,건설,-0.20777257239510422,-0.3075171004307199,-0.9580835418311151,-0.00015471178351411652,-0.03519218134034163,-0.0033393569458602945,0.32371504371089044,0.2218111008433589,000210
6,현대건설,2023,Q2,건설,-0.13300168657771466,-0.3075171004307199,0.11600808358773707,-0.02858626732875591,-0.03519218134034163,0.02182887648691967,0.18622622603188166,0.034736884736884716,000720
6,KCC,2023,Q2,건설,-0.07029206557249212,-0.3075171004307199,0.9057318140643005,0.014888649751528371,-0.03519218134034163,0.02903652204990359,0.056311105867223876,0.18342528553796159,002380
6,한일시멘트,2023,Q2,건설,-0.0745508993809575,-0.3075171004307199,-0.9901101496926957,0.002109321558123156,-0.03519218134034163,0.00041733831444967784,-0.04111865917564439,0.08271480294657499,003300
6,아이에스동서,2023,Q2,건설,-0.1648916859685114,-0.3075171004307199,0.13127891603047126,0.015092588198486467,-0.03519218134034163,0.05871573178552447,0.36751587634034855,-0.08898487636805394,010780
6,현대산업,2023,Q2,건설,-0.14014061774942949,-0.3075171004307199,-0.8984556868644227,-9.416807492657053e-05,-0.03519218134034163,0.0015550190908573125,-0.001826022351274048,0.12857257813764267,012630
6,삼성엔지니어링,2023,Q2,건설,0.22446642607790984,-0.3075171004307199,0.3683695750168732,0.0038349331683673604,-0.03519218134034163,0.14652864471468008,0.22910583504805548,-0.29408906514169675,028050
6,대우건설,2023,Q2,건설,0.05478737777618199,-0.3075171004307199,0.03449928013155912,9.903782344955481e-05,-0.03519218134034163,0.08359313375911293,0.0831057774817201,-0.06295348459527567,047040
6,한전기술,2023,Q2,건설,0.029521178961284117,-0.3075171004307199,0.11094009471512578,-0.016494431465306048,-0.03519218134034163,0.024454617774912757,0.4936255311410611,-0.19749508046590675,052690
6,LG하우시스,2023,Q2,건설,0.15290346189240067,-0.3075171004307199,2.23824795341379,-0.022040970235509216,-0.03519218134034163,0.5800763284078676,-0.11525894447439167,-0.16240975737543248,108670
