,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,자산총계 변화율,비유동자산 변화율,비유동부채 변화율,Label,Code
11,대림산업,2022,Q1,건설,0.09273574716054264,0.09364288108448604,0.01444402741691908,-0.015345980421482053,-0.19231050073957412,0.15046715784747647,000210
11,현대건설,2022,Q1,건설,-0.1054703706981916,0.09364288108448604,0.0038834678268493406,-0.0011313871349940552,-0.08253388335614842,0.1780879505241215,000720
11,KCC,2022,Q1,건설,0.0737975786631034,0.09364288108448604,0.03652749844485936,-0.03845806695609899,0.06055434142497651,-0.05072351475880411,002380
11,한일시멘트,2022,Q1,건설,0.06601474266625923,0.09364288108448604,0.021740783796539986,-0.029696411543265855,-0.001472811067891544,-0.074615031078134,003300
11,아이에스동서,2022,Q1,건설,-0.12317204059017549,0.09364288108448604,0.01439881524128328,0.10430767203279423,-0.05705394857213031,-0.08338352870805033,010780
11,현대산업,2022,Q1,건설,-0.019529229126856472,0.09364288108448604,0.025669651900807056,0.034436557606014606,0.10796847680544808,0.047364277944712,012630
11,삼성엔지니어링,2022,Q1,건설,-0.011165448373694308,0.09364288108448604,-0.06873510670371474,-0.017986500076528578,-0.11280341148657258,-0.1105268510769151,028050
11,대우건설,2022,Q1,건설,-0.07607602622556717,0.09364288108448604,0.020402056635008936,0.002830539618228878,-0.04286878483628109,-0.04682565404979789,047040
11,한전기술,2022,Q1,건설,-0.11195724612925897,0.09364288108448604,0.040017500585132426,0.0034704756334360543,0.6790587170197067,0.028502798656669617,052690
11,LG하우시스,2022,Q1,건설,-0.15134630798517185,0.09364288108448604,0.01426923541113001,0.02738479573670438,-0.17499579379289387,-0.02413203606206226,108670
