,name,year,quarter,sector,Relative Return,GDP 변화율,이익잉여금 변화율,영업이익 변화율,비유동부채 변화율,주택가격 변화율,자본총계 변화율,Label,Code
20,대림산업,2020,Q2,건설,-0.1856072125667682,0.015575144282893083,0.018606326678747287,0.33656637730243344,-0.12859941328422309,19.46407438715131,0.016480446658728498,-0.10123438296813245,000210
20,현대건설,2020,Q2,건설,-0.138211151072074,0.015575144282893083,-0.002073050099541285,0.532908329948611,0.057201705607568654,19.46407438715131,-0.001012197045277774,-0.14513875665797915,000720
20,KCC,2020,Q2,건설,-0.08820356288223474,0.015575144282893083,0.08629146345083982,0.21378043336836372,0.03192759653473343,19.46407438715131,0.09739937120165276,-0.03250576077415952,002380
20,한일시멘트,2020,Q2,건설,-0.12490750701980757,0.015575144282893083,3.4541195979675976e-05,-1.0521982310185067,0.394927284953978,19.46407438715131,0.000867763210285144,0.045629762082060786,003300
20,아이에스동서,2020,Q2,건설,0.25519827151174057,0.015575144282893083,0.02446592980378126,1.33817917449025,-0.1439823723937339,19.46407438715131,0.016593748255606,-0.12229701417335292,010780
20,현대산업,2020,Q2,건설,-0.03539941065460814,0.015575144282893083,0.004909320577735521,-0.8697302028444044,0.014950393261781159,19.46407438715131,0.004377345568287616,-0.07243960488374082,012630
20,삼성엔지니어링,2020,Q2,건설,-0.18146923288634942,0.015575144282893083,1.3114813799815517,0.14149566337169572,0.036347319283416724,19.46407438715131,0.04835869687882366,-0.09090921381618286,028050
20,대우건설,2020,Q2,건설,-0.2517756163092838,0.015575144282893083,-1.2050286406083073,-0.3570107467503707,-0.04236373699313056,19.46407438715131,0.019894311443768853,-0.02698955444961175,047040
20,한전기술,2020,Q2,건설,-0.0858671780060086,0.015575144282893083,-0.009746638578360445,-1.7415329581320838,0.18644851015404962,19.46407438715131,-0.009799959514024792,-0.08128753115102193,052690
20,LG하우시스,2020,Q2,건설,-0.20144912733219006,0.015575144282893083,0.029170142406006017,-0.2322167409293444,0.03464845319405385,19.46407438715131,0.008469950355991962,0.019354056663425337,108670
