corp_code,corp_name
014820,동원시스템즈
014830,유니드
015760,한국전력
017670,SK텔레콤
017800,현대엘리베이
018260,삼성에스디에스
018880,한온시스템
019680,대교
020000,한섬
020150,일진머티리얼즈
021240,코웨이
023530,롯데쇼핑
025540,한국단자
025860,남해화학
028050,삼성엔지니어링
028260,삼성물산
029530,신도리코
030000,제일기획
030200,KT
032640,LG유플러스
033530,세종공업
033780,KT&G
033920,무학
034020,두산중공업
034120,SBS
034220,LG디스플레이
034730,SK
035250,강원랜드
035420,NAVER
036460,한국가스공사
036570,엔씨소프트
036580,팜스코
042660,대우조선해양
042670,두산인프라코어
042700,한미반도체
047040,대우건설
047050,대우인터내셔널
047810,한국항공우주
049770,동원F&B
051600,한전KPS
051900,LG생활건강
051910,LG화학
052690,한전기술
060980,한라홀딩스
064350,현대로템
064960,S&T모티브
066570,LG전자
069260,휴켐스
069620,대웅제약
069960,현대백화점
073240,금호타이어
078520,에이블씨엔씨
078930,GS
079430,현대리바트
079980,휴비스
082740,두산엔진
084870,베이직하우스
086280,현대글로비스
090430,아모레퍼시픽
093050,LF
093370,후성
096770,SK이노베이션
097230,한진중공업
097950,CJ제일제당
103140,풍산
104700,한국철강
105630,한세실업
108670,LG하우시스
111770,영원무역
114090,GKL
115390,락앤락
120110,코오롱인더
128940,한미약품
139480,이마트
145990,삼양사
161390,한국타이어
161890,한국콜마
170900,동아에스티
185750,종근당
192820,코스맥스
