year,quarter,upload_date,disclosure_date,code,name,sector,prediction,reason
2016,Q1,2016-05-14,2016-05-16,86280,현대글로비스,산업재,irrelevant,요약본은 현대글로비스와 직접적인 관련이 없는 현대그룹과 한진그룹의 경영 문제와 리더십 전환에 대한 내용을 다루고 있습니다. 따라서 현대글로비스의 주가에 직접적인 영향을 미칠 정보는 포함되어 있지 않습니다.
2016,Q2,,2016-08-16,86280,현대글로비스,산업재,,
2016,Q3,,2016-11-14,86280,현대글로비스,산업재,,
2016,Q4,,2017-03-31,86280,현대글로비스,산업재,,
2017,Q1,,2017-05-15,86280,현대글로비스,산업재,,
2017,Q2,,2017-08-14,86280,현대글로비스,산업재,,
2017,Q3,,2017-11-14,86280,현대글로비스,산업재,,
2017,Q4,,2018-03-28,86280,현대글로비스,산업재,,
2018,Q1,2018-04-23,2018-04-30,86280,현대글로비스,산업재,up,"요약본에서는 현대글로비스가 기업 지배구조 개편의 주요 수혜자로 언급되며, 주가 상승 가능성이 있다고 평가하고 있습니다. 또한, 기술적 분석에 따르면 주가가 저평가되어 있어 상승 여력이 있다고 합니다."
2018,Q2,2018-08-08,2018-08-14,86280,현대글로비스,산업재,down,"요약본에 따르면, 현대글로비스의 주가가 하락하고 있으며, 글로비스가 지주회사가 될 가능성이 낮다는 시장 인식이 주가에 부정적인 영향을 미치고 있습니다."
2018,Q3,2018-11-10,2018-11-14,86280,현대글로비스,산업재,irrelevant,요약본은 현대글로비스와 직접적인 관련이 없는 현대모비스와 현대자동차 그룹의 경영진 변화에 대한 내용입니다. 따라서 현대글로비스의 주가에 직접적인 영향을 미칠 정보는 포함되어 있지 않습니다.
2018,Q4,2019-03-24,2019-04-01,86280,현대글로비스,산업재,down,"요약본에서는 현대글로비스와 현대모비스의 합병 계획이 엘리엇의 반대에 부딪혔으며, 이는 현대글로비스의 주가에 부정적인 영향을 미칠 수 있습니다."
2019,Q1,,2019-05-15,86280,현대글로비스,산업재,,
2019,Q2,,2019-08-14,86280,현대글로비스,산업재,,
2019,Q3,2019-11-10,2019-11-14,86280,현대글로비스,산업재,down,"영상에서는 현대글로비스를 포함한 주식들이 단기적으로 하락할 가능성이 높다고 예측하고 있으며, 전반적인 시장 분위기가 약세장이라는 점에서 주가에 부정적인 영향을 미칠 수 있습니다."
