,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
20,유한양행,2019,Q4,헬스케어,0.256782615726154,-0.15116881991300057,0.00034013247637565414,-0.004017854572321178,0.10214117528084454,-0.39584211783140366,0.05294228616675725,000100
20,일동제약,2019,Q4,헬스케어,-0.15917565580621104,-88.80281393583378,-0.42940857929066034,-0.21893522047446534,-0.006836734921527143,0.02798513121726076,0.1708108043303641,000230
20,조선내화,2019,Q4,철강_소재,-0.0801617267083218,-1.301147202112307,4.900716840183783e-05,-0.045499688277076955,-0.11713763110490716,0.1928018447384483,-0.024622085199050528,000480
20,동아쏘시오홀딩스,2019,Q4,헬스케어,0.06765016639434585,-1.736657362893659,-0.024302305618690734,-0.13795426308170022,-0.0066587161806750395,-0.014631161100758905,-0.01520887294945869,000640
20,영풍,2019,Q4,철강_소재,-0.06864437869804776,6.234689227808006,0.0006865780568088287,0.03281002896411733,0.2019309853546687,-0.07434333751055644,-0.003615429771146275,000670
20,동국제강,2019,Q4,철강_소재,-0.23015265352589184,2.4517502083079554,-0.18384996626953887,-0.16282944445072134,-0.08746262724130682,-0.010941309847071867,-0.053165258989395614,001230
20,세아베스틸,2019,Q4,철강_소재,-0.40263041274606515,-0.4792590447513916,0.0001673092613412308,-0.14099120921422936,-0.247500604574873,0.04840537386504873,0.24359554903487962,001430
20,고려제강,2019,Q4,철강_소재,-0.20833910725425817,-0.22039043789638169,-0.0007454155113812977,-0.06639335146219116,0.08278723927170706,-0.02721399170711425,-0.12138879456848223,002240
20,부광약품,2019,Q4,헬스케어,0.4942607469637431,-6.173370170624621,0.02073222304861866,-0.0014739856591508005,0.25138093087870517,-0.1915074227001562,0.33822603827409736,003000
20,세아제강,2019,Q4,철강_소재,-0.35538363092121505,-0.6979061046946405,-0.005547260154636691,-0.9353764705614197,0.5874598453424678,0.0027593100388383363,0.10991942409237912,003030
20,영진약품,2019,Q4,헬스케어,-0.038869018300790426,-1.244596289939372,-0.2219807761830318,0.02620775889399729,0.38206266635484654,-0.07436440329368732,0.07283381172024125,003520
20,현대제철,2019,Q4,철강_소재,-0.27326187784493083,1.767612878963999,-0.0039925271403978835,-0.0008552656299396499,0.03236357258437961,0.0014620853442099957,0.05098678120487285,004020
20,삼광글라스,2019,Q4,철강_소재,0.012278646620486292,0.20661771567178433,-0.009756145967281693,-0.2487607773343984,-0.15552156636095427,0.06242222501847228,-0.0531710791857181,005090
20,POSCO,2019,Q4,철강_소재,-0.07712050684768068,-1.7637558591661904,-0.016871556009375732,0.028200174082597895,0.17920593022967135,0.07951325183065894,-0.042554001004863784,005490
20,녹십자,2019,Q4,헬스케어,0.158163355799929,-1.7658717555028831,-0.034520063879225904,-0.06568048154134543,0.03038135318296331,0.12270564395854922,0.12251460977212217,006280
20,일양약품,2019,Q4,헬스케어,0.533506131293737,0.48896089768646367,0.23377008271149724,-0.09141527066418886,-0.06043279659484979,-0.11388319221207177,0.012445188284518849,007570
20,서흥,2019,Q4,헬스케어,0.18604052287442419,0.6964037037237332,0.03741500424114652,-0.041800014190116475,-0.010920778625367555,-0.11717179686521129,0.31011104855083893,008490
20,광동제약,2019,Q4,헬스케어,-0.14322553308895988,-0.30475561990262634,0.011107144060980678,0.06556283189333079,0.1573468124131645,-0.1577267012860183,0.22469194663422415,009290
20,무림P&P,2019,Q4,철강_소재,-0.24961119541443214,-5.929671426181013,-0.06630193629145975,-0.02350293317842722,0.01689465644775323,0.03068544760943026,0.10381897105605445,009580
20,고려아연,2019,Q4,철강_소재,0.021251591094046646,-0.22099197527606373,0.01689913287346312,0.0032875937001668465,-0.18620587975522274,-0.0722459786034515,-0.09218948577928142,010130
20,대웅제약,2019,Q4,헬스케어,-0.22784965535248733,-6.849240107071699,0.006685331432777941,-0.014289222443614857,-0.038224742993692384,0.040018172126249585,0.19327775825907356,069620
20,풍산,2019,Q4,철강_소재,-0.03890384237774755,581.8551855395527,-0.00849072713251564,-0.1090677252315525,-0.16031210030112575,0.021302339655635105,0.013408986504103437,103140
20,한국철강,2019,Q4,철강_소재,-0.17810207629883643,-1.1178286488533509,-0.04462145827549968,-0.010562635034736423,-0.0647817344379471,0.18954700809108105,0.2499548228360139,104700
20,한미약품,2019,Q4,헬스케어,-0.024137604777819954,171.15736596244645,-0.017793188954355443,-0.08123259655247916,-0.056249327457422504,0.005995931415992084,-0.08863229393828863,128940
20,동아에스티,2019,Q4,헬스케어,-0.06196697671199214,-0.1844990762116434,0.08324770291364403,-0.11314006345232142,-0.05944289822814741,-0.21133158514094397,0.03913915501463555,170900
20,종근당,2019,Q4,헬스케어,0.01864554738401633,0.003982882009188282,0.102299123313214,0.05199209957799655,0.12213109345005746,-0.2845004173378354,0.2622179475173498,185750
