,name,year,quarter,sector,Relative Return,매출액 변화율,유동자산 변화율,부채총계 변화율,비유동부채 변화율,실업률 변화율,소비자물가지수 변화율,Label,Code
8,SK하이닉스,2022,Q4,정보기술,-0.06558485737004023,-0.43736141237453374,-0.3326961011389087,0.021018237930078287,-0.05109215731985939,0.023809523809523725,-0.11456608043309557,-0.0008162829245996137,000660
8,LG,2022,Q4,정보기술,0.0874591078198696,-0.21397359255908566,0.04540308048966879,0.21001201495045918,0.3927607749714368,0.023809523809523725,-0.11456608043309557,-0.021585208806486254,003550
8,한솔테크닉스,2022,Q4,정보기술,0.02803631937489633,-0.02184480415564105,0.05617474001082301,-0.016170718893873337,0.09180397967334297,0.023809523809523725,-0.11456608043309557,0.17818140706246596,004710
8,삼성전자,2022,Q4,정보기술,-0.014620187333024896,-0.20331285331073734,-0.20135581665690994,-0.061422858134908664,-0.10772270162512265,0.023809523809523725,-0.11456608043309557,0.03281908572503358,005930
8,삼성SDI,2022,Q4,정보기술,0.050360961251584783,0.16638333127145444,-0.07962278011669066,-0.0468673921691809,-0.06280122011992983,0.023809523809523725,-0.11456608043309557,-0.1574954555911215,006400
8,대덕전자,2022,Q4,정보기술,0.07393474034507283,2.2510080794175966,-0.016092496435376358,0.4507713911094251,-0.312251262014828,0.023809523809523725,-0.11456608043309557,-0.07024964463828759,008060
8,삼성전기,2022,Q4,정보기술,0.08820273536102646,-0.19513409124454206,-0.0870544098092556,0.03599675577405992,1.4133174614743562,0.023809523809523725,-0.11456608043309557,-0.11883706181507349,009150
8,현대중공업,2022,Q4,중공업,-0.03636472058907966,0.23041988229370003,0.014992180472158445,-0.020870798152143655,-0.49605553423757076,0.023809523809523725,-0.11456608043309557,0.13813599448168395,009540
8,삼성중공업,2022,Q4,중공업,-0.04737300184618838,0.14806270044801306,-0.1198162714328389,-0.11908688365976006,-0.4211012202613482,0.023809523809523725,-0.11456608043309557,0.04196396712869172,010140
8,현대미포조선,2022,Q4,중공업,-0.27948332984046154,0.16067464937116238,-0.1043331958471021,-0.06099932840616806,-0.66080052891604,0.023809523809523725,-0.11456608043309557,0.040972294643167435,010620
8,LG이노텍,2022,Q4,정보기술,-0.07709220687362783,0.2227167797864602,-0.25526464578666863,-0.15417785324219557,-0.030542550140753688,0.023809523809523725,-0.11456608043309557,-0.03873947684560829,011070
8,한화테크윈,2022,Q4,중공업,0.3113547396980872,3.2470462846599526,1.0911517629129088,0.9830984923047579,0.028850740234310335,0.023809523809523725,-0.11456608043309557,0.08066978507345099,012450
8,현대엘리베이,2022,Q4,중공업,-0.024815802144115995,0.1298541378700766,-0.0003637885190959089,0.005052171627721869,0.020905563994704224,0.023809523809523725,-0.11456608043309557,0.5753496570938968,017800
8,삼성에스디에스,2022,Q4,정보기술,-0.016487149282385566,-0.008624825025749017,-0.06544977047812461,-0.004230289685309363,0.0995411275511644,0.023809523809523725,-0.11456608043309557,-0.07979013098223055,018260
8,일진머티리얼즈,2022,Q4,정보기술,0.04704875107561876,-0.15781931194576682,-0.07122697768288266,-0.059955297533273666,-0.0384945587910559,0.023809523809523725,-0.11456608043309557,-0.1345877356486627,020150
8,신도리코,2022,Q4,정보기술,0.024462058572148785,-0.04375210121154349,-0.06958989270086968,-0.31676215739831304,-0.07605522987233215,0.023809523809523725,-0.11456608043309557,0.02003855357259586,029530
8,두산중공업,2022,Q4,중공업,0.062203017359733444,0.300027853344389,-0.1486154594434137,-0.07308068093973652,0.17998599225305734,0.023809523809523725,-0.11456608043309557,-0.1538476240086925,034020
8,LG디스플레이,2022,Q4,정보기술,0.00046341436467545183,0.03907608135965224,-0.25378981165382664,-0.03456508696409921,-0.02425931834431183,0.023809523809523725,-0.11456608043309557,-0.03526271081562244,034220
8,SK,2022,Q4,정보기술,-0.23456398079473367,0.6032077767297894,-0.10765631718407787,-0.008232724087542387,0.08355012235805748,0.023809523809523725,-0.11456608043309557,-0.02972122647696558,034730
8,대우조선해양,2022,Q4,중공업,0.17984957799043527,0.4765464881804833,0.027587555618454163,-0.007266028119422452,-0.47865874259944186,0.023809523809523725,-0.11456608043309557,0.09363447692183444,042660
8,두산인프라코어,2022,Q4,중공업,0.0655944428706901,0.0512186319920811,-0.04408492172015133,-0.04378339538379428,0.1066433609199402,0.023809523809523725,-0.11456608043309557,0.24954563002999428,042670
8,한미반도체,2022,Q4,정보기술,0.18264724034507282,-0.24807646643949977,-0.18314355939130966,-0.19520097589828844,-0.4903216318743747,0.023809523809523725,-0.11456608043309557,0.3726371736468788,042700
8,현대로템,2022,Q4,중공업,0.015380278662781301,0.22622527384525393,0.2411045450263396,0.17852812255136086,-0.13489917444192967,0.023809523809523725,-0.11456608043309557,0.2726016443656294,064350
8,LG전자,2022,Q4,정보기술,0.28720289175600294,-0.17857781091886182,-0.15337591384872462,-0.038505770640246295,-0.013248581087557887,0.023809523809523725,-0.11456608043309557,-0.09705128688246607,066570
8,두산엔진,2022,Q4,중공업,0.07591808845926926,0.27626153223346894,-0.12887437306958616,-0.13870113398630168,-0.055464970919272716,0.023809523809523725,-0.11456608043309557,0.05311597503576032,082740
8,한진중공업,2022,Q4,중공업,-0.013252759654927178,0.5004752923425122,0.5554562262098968,0.06962227897217788,-0.24052022666848494,0.023809523809523725,-0.11456608043309557,-0.051167895000215305,097230
