,name,year,quarter,sector,Relative Return,비유동부채 변화율,법인세차감전 순이익 변화율,유동부채 변화율,영업이익 변화율,금리 변화율,이익잉여금 변화율,Label,Code
25,CJ대한통운,2018,Q3,산업재,0.11571023203286286,-0.09745488516310497,-2.512120138169358,0.3556628062274245,-0.3418961138365897,-0.09246405552800974,0.04861786180095651,0.07043111948977278,000120
25,두산,2018,Q3,산업재,0.2813772335036169,0.016608332920113877,-0.383974126496601,0.08436681832551973,-0.2819633680692615,-0.09246405552800974,-0.0038799256558410544,-0.30989866906136915,000150
25,LG상사,2018,Q3,산업재,-0.22248022226883024,-0.041242485260941764,-0.1426673112769622,0.13534954800564591,-1.039242608435361,-0.09246405552800974,0.026123876346038966,-0.02870096063856419,001120
25,대한항공,2018,Q3,산업재,0.12495020537271037,-0.003061311215063145,-2.000323774725639,0.002116490279608696,3.7658741813694085,-0.09246405552800974,0.7151464463742989,0.05916233969037817,003490
25,S&T중공업,2018,Q3,산업재,0.08716642462338153,-0.011856232512498233,-0.9591667248996231,0.03677816964038172,0.8881719355913413,-0.09246405552800974,0.00011348181127623924,0.10331555535117505,003570
25,LS,2018,Q3,산업재,-0.14615924572539346,-0.3572923440733077,-0.846410178733717,0.20718446009819158,-1.3590882178804027,-0.09246405552800974,-0.0006872115948239887,-0.060650721129957924,006260
25,LS산전,2018,Q3,산업재,-0.24531077979904248,-0.10432709102494209,-0.3040566895770126,0.04326379318543916,-0.29270179414019004,-0.09246405552800974,0.024875728874504288,-0.020304365285447098,010120
25,현대상선,2018,Q3,산업재,-0.0778137709005156,0.01801280738555544,-0.390037543187138,0.01720475283146139,-0.39581821307154585,-0.09246405552800974,0.04879232912762177,-0.11673145047657724,011200
25,SK텔레콤,2018,Q3,커뮤니케이션서비스,0.09907619067919897,0.011892405624494007,-0.15548707343693502,-0.03503735417546738,-0.1565090597074501,-0.09246405552800974,0.00574980303912076,-0.07653364974184323,017670
25,한국단자,2018,Q3,산업재,-0.1721078513440587,-0.0645676980786768,-0.2094391130883595,0.03806718729310332,-0.053730261646085964,-0.09246405552800974,0.0076475054758775585,0.6870521827515407,025540
25,제일기획,2018,Q3,커뮤니케이션서비스,0.1817587279625133,-0.15752681434478555,-0.13088505125181804,0.025920015260298745,-0.5645843098024066,-0.09246405552800974,0.03435573133410097,0.05476177228069047,030000
25,KT,2018,Q3,커뮤니케이션서비스,0.11044707413812602,0.057983444150630614,-0.034945842324694665,-0.020489137219573572,-0.08793234023604213,-0.09246405552800974,0.01902775971371784,-0.10303644801752983,030200
25,LG유플러스,2018,Q3,커뮤니케이션서비스,0.011272667533378855,-0.07121503598819101,0.10724450604678726,-0.03906020268308619,0.09573929086963595,-0.09246405552800974,0.047672426133804846,-0.012480616478091733,032640
25,SBS,2018,Q3,커뮤니케이션서비스,0.08764858807709541,-0.014945886889202176,2.0444435691515466,-0.117830059210564,1.8725695860776752,-0.09246405552800974,-0.018723760127521194,0.3415740686822057,034120
25,NAVER,2018,Q3,커뮤니케이션서비스,-0.16782385035637076,0.0335247438595645,-0.2102545015681485,0.29307768902959586,0.015492633976244008,-0.09246405552800974,0.03613233243189584,0.04799770301662121,035420
25,엔씨소프트,2018,Q3,커뮤니케이션서비스,0.2947537311917189,-0.29057521142385934,-0.470794626057663,-0.11892893606983901,-0.10634357833416075,-0.09246405552800974,0.02994324918180058,0.07296498379785547,036570
25,대우인터내셔널,2018,Q3,산업재,0.1684108036867166,-0.19735320918170907,-0.2615997816204334,0.1055051280200574,-0.4586156162322733,-0.09246405552800974,0.014773743903981007,-0.10590625140546793,047050
25,한국항공우주,2018,Q3,산업재,-0.08890511711530323,0.02385535740429967,-1.9114305825399933,0.20892397221371195,-0.9658134230834335,-0.09246405552800974,-0.0747639113526245,0.0739380664375445,047810
25,한전KPS,2018,Q3,산업재,-0.1550786282296816,0.27141580328787906,-0.7305637883442541,-0.011596096708076598,-0.7508958964714003,-0.09246405552800974,0.01219438395993877,0.219485130318002,051600
25,현대글로비스,2018,Q3,산업재,-0.003821716985839413,-0.038296344943531624,5.046562206788066,-0.01969908215887406,0.07912823589754958,-0.09246405552800974,0.035253829984849716,0.045244140944131386,086280
