,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,소비자물가지수 변화율,환율 변화율,주택가격 변화율,GDP 변화율,금리 변화율,Label,Code
16,경방,2021,Q2,경기소비재,-0.06006833906921585,-0.5750431531020174,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,0.06409364402144187,000050
16,유한양행,2021,Q2,헬스케어,-0.03154098717449321,-0.08199627245982122,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,0.03409547304062605,000100
16,일동제약,2021,Q2,헬스케어,-0.07564943740893487,-4.425607520851872,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,0.0830987898190405,000230
16,한국타이어월드와이드,2021,Q2,경기소비재,-0.028322307323184102,-0.5909522969823847,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,0.005208661600547844,000240
16,기아차,2021,Q2,경기소비재,0.038044196543319767,-0.10346053315984194,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,0.08404218604545559,000270
16,동아쏘시오홀딩스,2021,Q2,헬스케어,-0.03757965376465787,-1.23558889081461,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,-0.06506281265019764,000640
16,SK네트웍스,2021,Q2,경기소비재,0.019324883941028437,-0.5915093246843508,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,-0.03586496129618271,001740
16,넥센타이어,2021,Q2,경기소비재,0.03343430643342965,-0.25697623018932114,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,-0.10770415459250027,002350
16,부광약품,2021,Q2,헬스케어,0.006711905478158548,-2.595067104045656,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,-0.2998344711970305,003000
16,일신방직,2021,Q2,경기소비재,-0.06433527882002657,0.6224664312702841,0.031536209368763,0.007129469356493168,0.17390906491278257,0.05950276794361331,0.11734330484330613,0.18270176936303414,003200
