,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,유동부채 변화율,당기순이익(손실) 변화율,국제유가 변화율,Label,Code
30,유한양행,2017,Q2,헬스케어,-0.0987697269702833,-0.396716537321543,0.01663232815133986,-0.0023288063673797543,-0.010773604412750104,-0.4416764735419819,-0.07470193740685538,-0.15957438856395717,000100
30,일동제약,2017,Q2,헬스케어,-0.2359797441310619,-0.546432992114182,0.007607184940968237,0.43211408513817373,2.7256177272729163,-0.5347951257745664,-0.07470193740685538,-0.08256152990791404,000230
30,조선내화,2017,Q2,철강_소재,-0.02640715550954606,0.3413839231617106,0.01804364062492314,0.057515808780992383,0.043116307070664606,2.3218922514993428,-0.07470193740685538,-0.11991074077387812,000480
30,동아쏘시오홀딩스,2017,Q2,헬스케어,-0.1727828607768211,-1.1633199708168716,-0.00799254163365637,-0.21087520153020178,-0.162219899765236,-1.2082250252252982,-0.07470193740685538,-0.048003219157301255,000640
30,영풍,2017,Q2,철강_소재,0.29021330345292834,-0.9743933059063498,9.292807380423262e-05,-0.022003926023196008,-0.14560132876497156,-0.9968504141219598,-0.07470193740685538,-0.27665695512988575,000670
30,동국제강,2017,Q2,철강_소재,0.19288809049702133,-1.000897864337262,0.0137998678092639,0.023284392859834524,-0.005316603211691695,-0.6887944333389191,-0.07470193740685538,-0.28486405848185525,001230
30,세아베스틸,2017,Q2,철강_소재,0.20002730313906575,1.0415158714373454,0.03662573868956054,0.0606429360464682,-0.02025208146708468,0.9581443357643513,-0.07470193740685538,-0.17756082215131305,001430
30,고려제강,2017,Q2,철강_소재,-0.010083708129498934,-0.1353419694383844,0.006417223141002237,0.07791439549228074,0.06581458562427844,-0.24178996285668364,-0.07470193740685538,-0.15310665999786077,002240
30,부광약품,2017,Q2,헬스케어,-0.08736549355583235,-0.5074651647646736,0.012882311376704925,-0.012148832213733085,-0.07308146089575185,-0.544225329023116,-0.07470193740685538,0.03419259920863009,003000
30,세아제강,2017,Q2,철강_소재,-0.017093896196598794,-0.31135052380174844,0.012912367727275775,0.04699819001218741,0.25669344747737544,-0.30849328811029386,-0.07470193740685538,-0.16512877437760978,003030
30,영진약품,2017,Q2,헬스케어,0.011959066139880035,-0.4713288048072306,0.05836719078961017,0.016767989901013136,0.04454962656101791,-0.4062530818182122,-0.07470193740685538,-0.15590136794306436,003520
30,현대제철,2017,Q2,철강_소재,0.04545798562010793,-0.550125654390476,0.012621823257210396,-0.012638548143616313,0.003083460622205214,-0.547612883167869,-0.07470193740685538,-0.12824034758113034,004020
30,삼광글라스,2017,Q2,철강_소재,-0.06572561177038602,-1.2815446582712986,-0.01926059755835574,0.03925623495167474,0.03847208748609754,-1.335329410560766,-0.07470193740685538,-0.17576587902238744,005090
30,POSCO,2017,Q2,철강_소재,0.14930127845422647,-0.3921791366495243,0.00869232962408839,0.008232232899501701,-0.1994600226963935,-0.3935904537362167,-0.07470193740685538,-0.10244012501573532,005490
30,녹십자,2017,Q2,헬스케어,0.020284240446362754,4.685675733854786,0.038354403493861655,0.1493252244484229,-0.2659210696735247,4.504669863175902,-0.07470193740685538,0.13925718830616043,006280
30,일양약품,2017,Q2,헬스케어,-0.13946731234866833,-0.988318231736423,0.09991193898281847,0.020113260510834063,0.04714067466867178,-0.8767150767993703,-0.07470193740685538,-0.023961915065807582,007570
30,서흥,2017,Q2,헬스케어,-0.13460001263980625,0.21583638198388821,0.023849175954535173,0.0031246253905437005,0.09866101115449699,0.2721811809451036,-0.07470193740685538,-0.11315723383542628,008490
30,광동제약,2017,Q2,헬스케어,-0.09819239769236829,-0.32426315455431776,0.01298483815850826,0.047335845031658774,0.05888742075064801,-0.34959807486365446,-0.07470193740685538,-0.05426387270765522,009290
30,무림P&P,2017,Q2,철강_소재,0.08599852616064847,-0.8181314709040091,0.008260390733870526,-0.0308913695016495,-0.030786042912169465,-0.796975934791798,-0.07470193740685538,-0.08935837027462207,009580
30,고려아연,2017,Q2,철강_소재,0.1031196006612024,0.23705196282152197,0.02903497509034847,0.022864602651709198,-0.04352071399690949,0.020059157048720078,-0.07470193740685538,-0.04154077740391476,010130
30,대웅제약,2017,Q2,헬스케어,-0.0003172633130357431,1.6996276831849477,0.03168950358867351,0.0003028936928799464,0.008867059751643813,1.7135268129236718,-0.07470193740685538,0.28865489637848146,069620
30,풍산,2017,Q2,철강_소재,0.31121273990611337,-0.20398814468809645,0.08473922790786492,-0.009318287919785728,-0.19704792585179687,-0.040460474816298664,-0.07470193740685538,-0.21758390094703828,103140
30,한국철강,2017,Q2,철강_소재,0.022062474605313236,1.3786338302798695,0.1087558180381687,0.033803284629384533,-0.07905765603699988,1.379424365983963,-0.07470193740685538,-0.23449774774617646,104700
30,한미약품,2017,Q2,헬스케어,-0.1135130908570594,-0.8522491680077543,0.04584668566653072,-0.02640010879704846,0.10979809435740928,-0.46803122704259315,-0.07470193740685538,0.44090160307636417,128940
30,동아에스티,2017,Q2,헬스케어,-0.1825340328542464,-1.378886514417951,0.060059517183373545,-0.024750096408025946,-0.07265565488134429,-1.4107920826072455,-0.07470193740685538,0.13251735957453206,170900
30,종근당,2017,Q2,헬스케어,-0.146260401266196,-0.018312037676393,0.16804912195455102,-0.04660205980239307,-0.08820168140012052,-0.018616375999569668,-0.07470193740685538,0.07937974578550577,185750
