,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,유동부채 변화율,Label,Code
34,유한양행,2016,Q2,헬스케어,-0.021322660882138945,-0.7872010466710836,0.00778925058490243,0.05560475145522914,0.20720713009573544,-0.28882475635575133,000100
34,일동제약,2016,Q2,헬스케어,-0.017564600762572644,-1.052725249191915,0.02397429260698436,1.11542976859345,3.3117365106275365,0.0,000230
34,동아쏘시오홀딩스,2016,Q2,헬스케어,-0.11475335845004679,-1.6559573096282887,-0.023555580402214504,-0.2165099727688733,-0.02159276483543804,-0.09565615732344623,000640
34,부광약품,2016,Q2,헬스케어,-0.03692754308589987,-0.5874890321578856,0.02391376667468781,-0.1695866075369059,-0.588193801083063,-0.1251943868695893,003000
34,영진약품,2016,Q2,헬스케어,0.36828605154656463,0.5083083967533952,0.19397707890492022,0.017049764247109245,-0.030521307074259707,-0.17987018730530918,003520
34,녹십자,2016,Q2,헬스케어,-0.00951536102852494,2.176314883831057,0.031106672788698164,0.07404831916663279,-0.16107105598438243,-0.09427004078851697,006280
34,일양약품,2016,Q2,헬스케어,0.028678102094541358,-1.0043782522193354,0.018594804707566137,0.025303920950948466,-0.03190265221084676,-0.16573600366504107,007570
34,서흥,2016,Q2,헬스케어,-0.18526692966740427,0.7026084363126823,0.03285636289274585,0.15694890189942834,0.20732454667629718,-0.02161304775481084,008490
34,광동제약,2016,Q2,헬스케어,-0.1682829088470521,0.32466300226314515,0.035919435120392196,0.04547416772542201,0.1483053698417105,-0.08789709631564545,009290
34,SK텔레콤,2016,Q2,커뮤니케이션서비스,0.003591069211464598,-0.18299926558064228,0.02078781277190256,0.13215845161126172,-0.027738886590991774,-0.01600971733972347,017670
34,제일기획,2016,Q2,커뮤니케이션서비스,-0.01956933386482041,4.958887550962991,0.03404434101615217,0.03379728514131464,0.005435228844991702,-0.06592390631357364,030000
34,KT,2016,Q2,커뮤니케이션서비스,-0.033891037448811286,-0.36460367962373774,-0.000306348654225963,-0.019543407339537078,0.036295203591310665,-0.012806725329420184,030200
34,LG유플러스,2016,Q2,커뮤니케이션서비스,-0.018441639005782266,0.15496994600468628,0.12362288511995922,0.02612523638025288,0.061455543743405894,-0.01851175963672108,032640
34,SBS,2016,Q2,커뮤니케이션서비스,-0.16733052789467118,-0.7225183474472738,-0.016727131727785616,-0.005222836288468757,0.08538871995430553,-0.04534157322973078,034120
34,NAVER,2016,Q2,커뮤니케이션서비스,0.09810711953182953,0.08987330775214586,0.0535861269982032,0.057951607656736126,0.025653898235572292,-0.011310178185146937,035420
34,엔씨소프트,2016,Q2,커뮤니케이션서비스,-0.0019713489434424747,0.2443336372173075,0.06367476242572989,0.05964258095631836,-0.4090767266352444,0.02484209754913413,036570
34,대웅제약,2016,Q2,헬스케어,-0.04941339463599255,0.20949932315833242,0.005681273563482581,0.2767170913073569,0.06473094457555839,-0.12977171519674705,069620
34,한미약품,2016,Q2,헬스케어,0.01591318406980318,-0.30919942799676403,0.11267127970815238,-0.10602602175867926,-0.08838121558968459,-0.35232659770494706,128940
34,동아에스티,2016,Q2,헬스케어,-0.223189394356491,-1.8500452050733502,-0.04255609583749442,-0.03925363581674857,0.18957033868511663,-0.15184869715713867,170900
34,종근당,2016,Q2,헬스케어,-0.05839963844039004,0.32494892155136634,0.3313124381342538,0.03737538726837886,0.0633989675636788,-0.06398958091444784,185750
