,name,year,quarter,sector,Relative Return,국제유가 변화율,영업이익 변화율,부채총계 변화율,비유동자산 변화율,자본총계 변화율,당기순이익(손실) 변화율,Label,Code
21,하이트진로,2019,Q3,생활소비재,0.2802798329144396,-0.10146539633409102,4.8057016164004915,-0.004396058754765231,0.0006343433154849532,0.02094580244223443,-1.7436157738514333,0.038010294575439196,000080
21,대림산업,2019,Q3,건설,-0.12059862893574436,-0.10146539633409102,-0.422068209161119,-0.05807933279071531,-0.05375354340190086,0.011949057173177069,-0.1689602442435486,-0.16662607758445078,000210
21,현대건설,2019,Q3,건설,-0.035704372441128854,-0.10146539633409102,0.017616106154198174,-0.03125218748099401,0.006996744834302904,0.020498111120816898,-0.031450586639444,-0.2516429718168658,000720
21,CJ,2019,Q3,생활소비재,0.0876596259759125,-0.10146539633409102,0.70620321634364,0.05399816217322417,0.0034708583210154575,0.00439403950484718,-2.501320687214073,-0.12836156294329962,001040
21,대상,2019,Q3,생활소비재,-0.016678527527980727,-0.10146539633409102,0.31120619367008695,-0.06830688447359012,0.03607698903771861,0.030037703706488283,-0.4805356918362992,-0.17116254653552745,001680
21,오리온,2019,Q3,생활소비재,0.02043666881706442,-0.10146539633409102,1.60427633747544,-0.0357919704334313,0.007800447084038931,0.0009097569549059159,-3.418013613693319,-0.1504634047634513,001800
21,KCC,2019,Q3,건설,-0.0627374078954682,-0.10146539633409102,-0.09091138372183505,0.03305152266868028,-0.0010719597334636344,-0.011667555932228457,-0.5117885986720029,-0.17376325794838146,002380
21,아모레G,2019,Q3,생활소비재,0.3027252659402598,-0.10146539633409102,-398.63361860141833,-0.0050666074187804,0.027868682195731243,0.049147890003961026,51.687489675023855,-0.14143855502809646,002790
21,한일시멘트,2019,Q3,건설,-0.03312599588747128,-0.10146539633409102,0.06820392035921397,0.590285743120825,0.1910115696514958,-0.010270228461613184,-1.0082659065520494,-0.1571609347295915,003300
21,남양유업,2019,Q3,생활소비재,-0.21883060991489223,-0.10146539633409102,-30.54857577313776,-0.1317009901973103,-0.015074503681693718,-0.0008214466839202572,-1.040428221735194,-0.21975698492432408,003920
21,농심,2019,Q3,생활소비재,-0.00952486751588151,-0.10146539633409102,1.9719871807574787,0.06730182675883034,0.09673860936494516,0.007068225053440402,2.7951884910788034,0.2389364481694069,004370
21,빙그레,2019,Q3,생활소비재,-0.14858969059051724,-0.10146539633409102,0.09303866249728943,-0.11125258506219426,-0.000355805271806231,0.026945657831925596,0.020047277126014063,-0.04657183270994533,005180
21,롯데칠성,2019,Q3,생활소비재,-0.10676315554364323,-0.10146539633409102,0.024044854019741546,-0.04203033719655702,-0.005505573822425891,0.024659063880273946,-1.6796492738244835,-0.18874623829601198,005300
21,현대그린푸드,2019,Q3,생활소비재,-0.10379415904414765,-0.10146539633409102,0.18073049784474882,0.15604413038022935,0.004372174107435622,0.0016637649029054291,0.22491526874961165,-0.2512865642853134,005440
21,삼립식품,2019,Q3,생활소비재,-0.009357330657772722,-0.10146539633409102,-0.3609437799589216,0.8757188980965793,0.5826182425775157,0.01508784002044461,-0.506930257706489,-0.21491658150414625,005610
21,크라운제과,2019,Q3,생활소비재,-0.11345583980642095,-0.10146539633409102,4.665485341620225,0.010368526826329605,-0.00019878703060449698,0.0010906474158203228,-1.0987274314681512,-0.2034993236259083,005740
21,GS리테일,2019,Q3,생활소비재,-0.08304177194964817,-0.10146539633409102,0.15263544883128333,-0.004824061684372216,-0.0005380101437516549,0.025750493604129288,0.22713737731373596,-0.1010458152912597,007070
21,오뚜기,2019,Q3,생활소비재,-0.15989466455750517,-0.10146539633409102,0.015215392245295112,0.06265513654076815,0.05222590632538959,0.018813244162727782,0.05758944276913991,-0.02672794854789709,007310
21,아이에스동서,2019,Q3,건설,0.028257710820506723,-0.10146539633409102,0.8812150501226053,0.07656524733381298,0.046013521014190095,0.013143910178828433,-0.2271937792132035,-0.17896627382970062,010780
21,현대산업,2019,Q3,건설,-0.15566204781602946,-0.10146539633409102,-0.09409634753847995,0.50948385978921,-0.003749084390301527,0.03576256088428775,11.930710899210201,-0.17061323994475183,012630
21,한국전력,2019,Q3,생활소비재,-0.013779777699707618,-0.10146539633409102,1.589779914768462,-0.011339291562197706,-0.004258078938752741,-0.0005839973816548216,-1.0229660571082377,-0.15232934492999803,015760
21,삼성엔지니어링,2019,Q3,건설,0.125318552108097,-0.10146539633409102,0.019843263040230985,-0.03910254811624536,-0.0037297745203619392,0.04742354672520577,0.43947521571531967,-0.28822258584463334,028050
21,KT&G,2019,Q3,생활소비재,-0.11894934333958712,-0.10146539633409102,-0.16188095292533833,-0.2660826998338096,0.05516663000035327,0.032585995560704406,-0.12457887648384525,-0.01591734657680033,033780
21,무학,2019,Q3,생활소비재,-0.24388159266208032,-0.10146539633409102,-0.028968518659858167,-0.1112303610459634,-0.03493333549312505,-0.010666927687846606,-1.8642487653251008,-0.32663101649444326,033920
21,한국가스공사,2019,Q3,생활소비재,-0.07251407129455897,-0.10146539633409102,-2.138109274699902,0.0575134373997126,0.028593474725793433,-0.0978888013890915,-26.317930320473128,-0.30315210554670446,036460
21,팜스코,2019,Q3,생활소비재,-0.050135660412831504,-0.10146539633409102,-0.011074186386846985,0.13173118794439875,0.04566112789923649,-0.01274373540890228,7.226355120011117,-0.2482487603265782,036580
21,대우건설,2019,Q3,건설,0.09272467226276866,-0.10146539633409102,0.11815840346615825,-0.0756932937182252,-0.03604867909939358,0.024857553505619023,-0.1437671686959897,-0.23804152742724724,047040
21,동원F&B,2019,Q3,생활소비재,-0.12204010468434175,-0.10146539633409102,3.1286943843483828,0.08065485326231303,0.12449545288815145,0.03596995381442469,4.0279324774647485,-0.08686428611843175,049770
21,LG생활건강,2019,Q3,생활소비재,-0.07488168674430822,-0.10146539633409102,0.1329012979345885,0.016184783163429195,0.06634372751062467,0.056590485850653405,0.07384610352308618,0.07819199737112377,051900
21,한전기술,2019,Q3,건설,0.026967346164386577,-0.10146539633409102,-1.7025910347047553,0.026746967143903344,0.010303840481905802,-0.0066612737043458825,-1.3538544051310182,-0.09866332749184156,052690
21,에이블씨엔씨,2019,Q3,생활소비재,-0.10865373807938705,-0.10146539633409102,-16.579927799933067,-0.16167675566359074,-0.008066237277941757,-0.034383647986684696,-3.6683791970027104,-0.09882021227518836,078520
21,아모레퍼시픽,2019,Q3,생활소비재,0.2951988671080346,-0.10146539633409102,0.178571218534753,0.03613786467839608,-0.010516747738194443,0.03040807933370071,0.4828068684966278,0.11571830085487406,090430
21,CJ제일제당,2019,Q3,생활소비재,-0.027707190411728727,-0.10146539633409102,5.438446475847944,-0.021593194871876276,0.017424225421454498,0.014821049547713239,26.518071956976744,-0.02972957150851893,097950
21,LG하우시스,2019,Q3,건설,-0.08063372941421709,-0.10146539633409102,-0.27045875041510503,-0.0731489073662207,0.03660539905017535,0.007918078065558332,-0.7134321669965271,-0.22093328285553318,108670
21,락앤락,2019,Q3,생활소비재,-0.15632992721107136,-0.10146539633409102,-0.09056219199927373,0.20737177989337185,0.004301134306406551,-0.003321036513960207,-0.13514314135256955,-0.18738151123320126,115390
21,이마트,2019,Q3,생활소비재,0.018466781913368466,-0.10146539633409102,-18.64681300311013,0.007116443131266692,-0.00985634207217001,-0.010076248539117816,-10.769551696713165,-0.019998122799292778,139480
21,삼양사,2019,Q3,생활소비재,-0.09328960723402935,-0.10146539633409102,-0.11977043999001913,-0.016161460511736725,-0.006223737512480287,-0.00643268107150563,-0.8384559660560902,-0.2579080727714995,145990
21,한국콜마,2019,Q3,생활소비재,-0.11437845024538403,-0.10146539633409102,-0.7236768299669583,0.11650775402459868,0.10569563903866674,0.010365993293927067,-0.6855170099009806,-0.07094011115565063,161890
21,코스맥스,2019,Q3,생활소비재,-0.0019048826944509656,-0.10146539633409102,-0.1943288518479407,-0.026128657456969462,0.1865386238028428,0.3245933896881692,10.01934273726183,0.07952925417604215,192820
