,name,year,quarter,sector,Relative Return,이익잉여금 변화율,유동자산 변화율,자본총계 변화율,영업이익 변화율,매출액 변화율,Label,Code
22,대림산업,2019,Q2,건설,0.03625771104643578,0.011620136696281147,-0.10391854035986015,0.011124217700643202,0.3025588469066365,0.053251434093519956,-0.12059862893574436,000210
22,현대건설,2019,Q2,건설,-0.0772442790625539,0.016660753379974746,-0.008435557032491436,0.017750961939028143,0.05759641482042532,0.19118629057728875,-0.035704372441128854,000720
22,KCC,2019,Q2,건설,-0.1411779606192035,-0.021583996869031008,-0.12843759622537032,-0.019797643290889955,1.074512440957791,0.13262146470118608,-0.0627374078954682,002380
22,한일시멘트,2019,Q2,건설,-0.08813786747095828,0.008557792771527462,-0.026805822105779198,0.017774687942512468,-1.042747079439251,0.05878249639643207,-0.03312599588747128,003300
22,현대중공업,2019,Q2,중공업,-0.08038091853753876,0.041320194244652386,-0.8339309619157194,-0.04474675775716652,2.3332943820823244,-0.22432108591711653,0.09847951844903076,009540
22,삼성중공업,2019,Q2,중공업,-0.07945480995857554,-0.11632818308003856,0.0040822952398658074,-0.04724489127089604,-0.6372066763318822,0.2883148448745574,-0.07738286074076976,010140
22,현대미포조선,2019,Q2,중공업,-0.1770952594729852,0.00891319368934762,-0.02761583675194379,0.007705600597580853,0.9541304226381413,0.19534302905227596,0.002390528022572974,010620
22,아이에스동서,2019,Q2,건설,-0.040574088596179655,0.02785550073099441,0.05582050391671767,0.022325116827000002,-0.5373157783277327,-0.1657384441215224,0.028257710820506723,010780
22,한화테크윈,2019,Q2,중공업,0.2396145658147603,-0.01774608830080937,0.06315343754964675,-0.008081696005190486,-0.4713716450406569,0.21939364832457064,-0.03619378754854341,012450
22,현대산업,2019,Q2,건설,-0.1477071614264826,0.001705474545304897,-0.3071656489015504,0.00281492432868502,-0.7530666683214442,-0.47732448034622155,-0.15566204781602946,012630
22,현대엘리베이,2019,Q2,중공업,0.029369423095243458,-0.08470876866215726,-0.05726227469723211,-0.021118013411900227,0.5058730326285457,0.07987113745763996,-0.10425607166677874,017800
22,삼성엔지니어링,2019,Q2,건설,-0.01486770834347749,4.876805812830109,-0.15286033749491723,0.03807119723666896,-0.13223257524543075,0.19093217164507714,0.125318552108097,028050
22,두산중공업,2019,Q2,중공업,-0.07437567850815022,-0.030872152025130606,0.028268512245928745,0.11461935915763233,0.3148505005724709,0.08541539539200715,-0.05537702880235898,034020
22,대우조선해양,2019,Q2,중공업,-0.03447336990339961,0.17725521076264927,-0.006399114974380504,0.03377687638516513,-0.1472658367134061,0.05671236675160207,0.06020263892931456,042660
22,두산인프라코어,2019,Q2,중공업,-0.06259056893712132,0.1814494527724977,-0.12387268411146157,0.017687575476112993,-0.10851103862916034,-0.09043208142844439,-0.1328371482176359,042670
22,대우건설,2019,Q2,건설,-0.13180586098415303,-0.9640309499951016,-0.027623309580416255,0.025028016485920457,-0.10911902351124525,0.1050070323280401,0.09272467226276866,047040
22,한전기술,2019,Q2,건설,-0.14147094958272674,0.00521433575131014,-0.14406647108553394,0.005275123276315297,-0.2340779612682531,0.1897904674338362,0.026967346164386577,052690
22,현대로템,2019,Q2,중공업,-0.09967339077118745,-0.48946641863324847,-0.029623441650571625,-0.10565608307786745,-63.57853976296028,0.09647143695400984,-0.0963121482176359,064350
22,두산엔진,2019,Q2,중공업,-0.1464807835847722,-1.2596351350646218,0.10241919130777477,-0.03394011263166774,-0.6497410313465093,0.6916227079057369,0.4556289310775183,082740
22,한진중공업,2019,Q2,중공업,0.0,-0.25347564391708444,-0.01216181830852836,-0.06923670430467599,46.41379310344828,0.2017550385390421,0.010595607079123673,097230
22,LG하우시스,2019,Q2,건설,0.12114368298706277,0.09840041450320247,0.057354921983743035,0.028632753073461803,3.1202111024237684,0.10447932588977427,-0.08063372941421709,108670
