접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160608000081,Y,00120571,롯데칠성음료,소액주주,"5,756",-,99.77%,"463,008",-,37.41%,2015-12-31,2015,Q4
20170330001609,Y,00120571,롯데칠성음료,소액주주,"9,199",-,99.83%,"426,247",-,34.44%,2016-12-31,2016,Q4
20180330004007,Y,00120571,롯데칠성음료,소액주주,-,-,-,-,-,-,2017-12-31,2017,Q4
20190401004636,Y,00120571,롯데칠성음료,소액주주,"4,438",-,99.62%,"238,573",-, 29.85%,2018-12-31,2018,Q4
20200330003627,Y,00120571,롯데칠성음료,소액주주,"5,864",-,99.76%,"2,465,480",-,30.87%,2019-12-31,2019,Q4
20210315000941,Y,00120571,롯데칠성음료,소액주주,"15,034","15,055",99.86%,"2,912,765","8,975,123",32.45%,2020-12-31,2020,Q4
20220317000852,Y,00120571,롯데칠성음료,소액주주,"15,517","15,537",99.87%,"2,737,283","9,278,884",29.50%,2021-12-31,2021,Q4
20230314001296,Y,00120571,롯데칠성음료,소액주주,"10,476","10,493",99.84%,"3,038,828","9,278,884",32.75%,2022-12-31,2022,Q4
20240326000264,Y,00120571,롯데칠성음료,소액주주,"11,702","11,721",99.84%,"2,813,212","9,278,884",30.32%,2023-12-31,2023,Q4
20250317000932,Y,00120571,롯데칠성음료,소액주주,-,-,-,-,-,-,2024-12-31,2024,Q4
