접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20230503000445,2023-05-03,00113410,CJ대한통운,강신호,등기임원,대표이사,-,"1,000",100,0.00,0.00,2023,Q2
20230728000448,2023-07-28,00113410,CJ대한통운,강신호,등기임원,대표이사,-,"1,100",100,0.00,0.00,2023,Q3
20230821000277,2023-08-21,00113410,CJ대한통운,신영수,등기임원,경영리더,-,"3,000",291,0.01,0.00,2023,Q3
20231204000232,2023-12-04,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,297,349","2,297,349",10.07,10.07,2023,Q4
20231204000275,2023-12-04,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,310,973","13,624",10.13,0.06,2023,Q4
20240104000275,2024-01-04,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,341,947","30,974",10.27,0.14,2024,Q1
20240205000322,2024-02-05,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,462,819","120,872",10.80,0.53,2024,Q1
20240305000043,2024-03-05,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,338,033","-124,786",10.25,-0.55,2024,Q1
20240321000863,2024-03-21,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,278,404","-59,629",9.99,-0.26,2024,Q1
20240520000197,2024-05-20,00113410,CJ대한통운,신영수,등기임원,대표이사(사내이사),-,"4,000","1,000",0.02,0.01,2024,Q2
20240528000540,2024-05-28,00113410,CJ대한통운,윤진,비등기임원,경영리더,-,180,180,0.00,0.00,2024,Q2
20240611000415,2024-06-11,00113410,CJ대한통운,이종훈,비등기임원,경영리더,-,200,200,0.00,0.00,2024,Q2
20240614000489,2024-06-14,00113410,CJ대한통운,안재호,비등기임원,경영리더,-,200,170,0.00,0.00,2024,Q2
20240624000017,2024-06-24,00113410,CJ대한통운,윤재승,비등기임원,경영리더,-,322,200,0.00,0.00,2024,Q2
20240624000055,2024-06-24,00113410,CJ대한통운,윤진,비등기임원,경영리더,-,280,100,0.00,0.00,2024,Q2
20240704000210,2024-07-04,00113410,CJ대한통운,강원석,비등기임원,경영리더,-,200,100,0.00,0.00,2024,Q3
20240704000237,2024-07-04,00113410,CJ대한통운,신영수,등기임원,대표이사(사내이사),-,"5,000","1,000",0.02,0.00,2024,Q3
20240704000223,2024-07-04,00113410,CJ대한통운,최우석,비등기임원,경영리더,-,"1,413","1,100",0.01,0.01,2024,Q3
20240711000009,2024-07-11,00113410,CJ대한통운,최갑주,비등기임원,경영리더,-,300,300,0.00,0.00,2024,Q3
20240807000029,2024-08-07,00113410,CJ대한통운,이희송,비등기임원,물류전문리더,-,200,200,0.00,0.00,2024,Q3
20240813000793,2024-08-13,00113410,CJ대한통운,곽윤영,비등기임원,경영리더,-,100,100,0.00,0.00,2024,Q3
20240902000281,2024-09-02,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,284,241","2,284,241",10.01,10.01,2024,Q3
20240904000372,2024-09-04,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,328,400","44,159",10.21,0.20,2024,Q3
20240906000633,2024-09-06,00113410,CJ대한통운,이정현,비등기임원,경영리더,-,300,300,0.00,0.00,2024,Q3
20241008000102,2024-10-08,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,461,610","133,210",10.79,0.58,2024,Q4
20241106000029,2024-11-06,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,386,003","-75,607",10.46,-0.33,2024,Q4
20241119000200,2024-11-19,00113410,CJ대한통운,하재영,비등기임원,경영리더,-,202,202,0.00,0.00,2024,Q4
20241204000040,2024-12-04,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,378,636","-7,367",10.43,-0.03,2024,Q4
20250106000321,2025-01-06,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,494,715","116,079",10.94,0.51,2025,Q1
20250204000022,2025-02-04,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,513,221","18,506",11.02,0.08,2025,Q1
20250205000499,2025-02-05,00113410,CJ대한통운,최갑주,비등기임원,경영리더,-,500,200,0.00,0.00,2025,Q1
20250305000333,2025-03-05,00113410,CJ대한통운,국민연금공단,-,-,10%이상주주,"2,633,641","120,420",11.54,0.52,2025,Q1
