,name,year,quarter,sector,Relative Return,Relative Return,영업이익 변화율,비유동자산 변화율,매출액 변화율,비유동부채 변화율,이익잉여금 변화율,Label,Code
8,하이트진로,2022,Q4,생활소비재,-0.1655980592687614,-0.1655980592687614,-0.7197917538727413,-0.01132933907094602,-0.06303004997257622,-0.11882171472162495,0.043660870690116926,-0.024821968334735087,000080
8,대림산업,2022,Q4,건설,-0.1569472344230102,-0.1569472344230102,44.44713339859533,-0.03210792841390675,1.6847636972290565,0.014317778214707921,-0.007154929037306301,-0.11473241338712198,000210
8,현대건설,2022,Q4,건설,-0.12877678844013868,-0.12877678844013868,-0.524351486401605,-0.016637171740887746,0.11415858132429668,-0.0719168863318348,-0.01871486622447127,0.04414312617702444,000720
8,CJ,2022,Q4,생활소비재,0.30441975423708406,0.30441975423708406,2.1376614948970563,-0.008030520405196917,0.05711972209123073,0.06137434687826837,0.0036583103570728692,-0.13613870129101321,001040
8,대상,2022,Q4,생활소비재,-0.08923692255085477,-0.08923692255085477,-0.7954001557956532,-0.03298693252591467,-0.04740834479098843,-0.058448110548983356,0.04412935487793668,-0.042117077353037366,001680
8,오리온,2022,Q4,생활소비재,0.10855591507111939,0.10855591507111939,-0.19310459343529252,0.03978035289763504,0.03233184670521361,3.2428251193503366,0.005013610747107045,0.011134679133489672,001800
8,KCC,2022,Q4,건설,-0.10477236749806443,-0.10477236749806443,-0.22897179933913603,0.04048336617825776,0.06859721194108626,-0.10289585772217857,0.0473990646452207,-0.04391398905085796,002380
8,아모레G,2022,Q4,생활소비재,0.36847177590264235,0.36847177590264235,-32.69608720422283,0.042376921615041585,0.07926811037255965,0.14783534822077682,0.1017160969475237,-0.21228938790982174,002790
8,한일시멘트,2022,Q4,건설,0.07977592941879771,0.07977592941879771,-4.146764581203971,0.010316960935937702,6.989648214993171,-0.0739716719995982,-0.002121558766554177,-0.011799147529933125,003300
8,남양유업,2022,Q4,생활소비재,0.5235422488945236,0.5235422488945236,0.530968192579546,0.012255476621716666,-0.04342257354875434,-0.13746055571484883,-0.04534736664342465,-0.14136842400622174,003920
