,name,year,quarter,sector,Relative Return,발행할 주식 총수 변화율,이익잉여금 변화율,영업이익 변화율,환율 변화율,국제유가 변화율,금리 변화율,자본총계 변화율,매출액 변화율,부채총계 변화율,Label,Code
29,Yuhan_Corporation,2017,Q2,제약,0.047741719031547405,-0.0,-0.01663232815133986,0.29936298745979073,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.013037785623444265,-0.008967249067626248,-0.006496861304878365,-0.014027060140688927,000100
29,Ildong_Pharmaceutical,2017,Q2,제약,-0.31818851493147937,-0.0,-0.007607184940968237,0.5912848460729379,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.004442170822912539,0.08039067618724183,-0.6951685479171881,-0.2502349112773819,000230
29,Bukwang_Pharmaceutical,2017,Q2,제약,-0.26681276729416104,-0.0,-0.012882311376704925,-0.25535090642074354,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.013396234739233348,-0.1494563139958942,-0.025972223015298113,-0.11419506886109713,003000
29,Youngjin_Pharmaceutical,2017,Q2,제약,-0.15127393876193754,-0.04069593845405972,-0.05836719078961017,0.5571301517274789,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.00789592955276075,0.05281986214300183,-0.026053698331190533,0.26997096621444755,003520
29,GC_Biopharma,2017,Q2,제약,-0.07544865040817537,-0.0,-0.038354403493861655,-2.7153315225015993,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.027407445215524184,-0.2170147505926736,-0.18619267419359042,-0.00650984601182425,006280
29,Ilyang_Pharmaceutical,2017,Q2,제약,-0.1816775198139401,-0.0,-0.09991193898281847,0.3466187051462317,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.002504821645953337,0.06539113382277373,-0.0031741616446177012,-0.0178840257382029,007570
29,Kwang_Dong_Pharmaceutical,2017,Q2,제약,-0.03226955487058927,-0.0,-0.01298483815850826,0.36459163020013374,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.012293163102187643,-0.2053371265634527,-0.0468677795939374,-0.12761299316758531,009290
29,Daewoong_Pharmaceutical,2017,Q2,제약,0.14058586417285085,-0.0,-0.03168950358867351,-0.4322010590055758,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.026536727294923068,-0.08390530364433202,-0.0039099891777427676,-0.08483717063252426,069620
29,Hanmi_Pharmaceutical,2017,Q2,제약,-0.010624569715617205,-0.0,-0.04584668566653072,0.05983125106763665,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.01169018296916624,0.03516396179739567,-0.06815855314848895,0.12971757230125885,128940
29,Dong-A_ST,2017,Q2,제약,-0.19175008997745363,-0.0,-0.060059517183373545,0.23690663191548467,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.008304109604744925,0.0031149547742281847,0.05546989436168204,-0.12554870571961954,170900
29,Jongkundang,2017,Q2,제약,-0.02436561233643454,-0.0,-0.16804912195455102,0.02555310431236235,0.018329085656645816,0.07470193740685538,-0.01678214010777368,-0.029681087027709774,-0.006243882179769011,0.09135648327879298,-0.022919869301652657,185750
