code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익
069620,대웅제약,헬스케어,2015,Q4,2016-03-30,"341,732,277,445","477,603,818,605","819,336,096,050","132,835,285,437","193,806,706,709","326,641,992,146","406,851,334,513","492,694,103,904",800517043196,55073077179,59283851824,49232912266,,
069620,대웅제약,헬스케어,2016,Q1,2016-05-16,"318,008,193,557","504,477,258,618","822,485,452,175","139,082,780,686","194,018,527,953","333,101,308,639","403,734,643,891","489,384,143,536",190451873606,5469891820,5684429143,4231603343,,
069620,대웅제약,헬스케어,2016,Q2,2016-08-16,"406,006,495,890","532,863,287,196","938,869,783,086","148,085,740,454","299,278,512,133","447,364,252,587","406,028,370,850","491,505,530,499",192740668170,6200206030,6875313201,5083149219,,
069620,대웅제약,헬스케어,2016,Q3,2016-11-14,"366,666,438,529","572,034,886,288","938,701,324,817","139,941,733,512","301,267,406,175","441,209,139,687","412,283,633,175","497,492,185,130",197689975108,8969976818,8416953883,6291548885,,
069620,대웅제약,헬스케어,2016,Q4,2017-03-31,"403,022,674,603","612,224,251,931","1,015,246,926,534","202,360,569,438","295,226,272,607","497,586,842,045","432,600,976,176","517,660,084,489",213127283697,14749099573,14226030459,17367949216,,
069620,대웅제약,헬스케어,2017,Q1,2017-05-15,"385,553,277,421","633,237,541,097","1,018,790,818,518","207,119,590,985","294,929,404,489","502,048,995,474","431,447,041,786","516,741,823,044",205262604531,9764423187,6747409460,5038587610,,
069620,대웅제약,헬스케어,2017,Q2,2017-08-14,"385,670,059,077","648,796,402,420","1,034,466,461,497","208,956,132,774","295,055,868,839","504,012,001,613","445,119,384,365","530,454,459,884",222485225691,13984617229,18215493368,13672342579,,
069620,대웅제약,헬스케어,2017,Q3,2017-11-14,"376,160,247,352","682,195,889,236","1,058,356,136,588","311,412,724,069","206,165,175,592","517,577,899,661","455,650,676,242","540,778,236,927",225442146831,14530180928,14096112961,10531291877,"28,966,437,500",
069620,대웅제약,헬스케어,2017,Q4,2018-04-02,"367,970,424,045","685,546,917,069","1,053,517,341,114","211,128,438,899","295,049,027,299","506,177,466,198","463,133,237,423","547,339,874,916",213565299468,6355568192,1834587233,7482561181,"28,966,437,500",
069620,대웅제약,헬스케어,2018,Q1,2018-05-15,"379,549,846,608","680,582,303,234","1,060,132,149,842","218,794,798,870","295,032,538,408","513,827,337,278","468,348,910,660","546,304,812,564",215852606240,8018814994,7085796460,5009409247,"28,966,437,500",
