,name,sector,year,quarter,Relative Return,매출액 변화율,부채총계 변화율,실업률 변화율,소비자물가지수 변화율,증자주식수 변화율,발행금액 변화율,기타 변화율,특정 증권 등 소유 증감 수 변화율,1인평균급여 변화율,Label,Code
9,Doosan_Corp,기타금융,2022,Q2,-0.06810196658570933,-0.056489792238982206,-0.04788712377705706,0.033707865168539186,-0.38636857995042173,-0.056489792238982206,-0.056489792238981984,-0.056489792238981984,-0.056489792238982206,-0.056489792238981984,-0.17416914717588708,000150
9,Hankook_Tire_Worldwide,기타금융,2022,Q2,0.006654206894265768,0.23212966733008134,0.21747727720422194,0.033707865168539186,-0.38636857995042173,-0.056516307644593144,-0.05651630764459292,0.0,-0.05651630764459292,-0.056516307644593144,0.03611137979533925,000240
9,Dong-A_Socio_Holdings,기타금융,2022,Q2,0.070743364846935,0.9235194054457347,0.04754905956390598,0.033707865168539186,-0.38636857995042173,-0.05654649564749148,-0.05654649564749148,-0.05654649564749126,-0.05654649564749148,-0.05654649564749148,0.05905809393449801,000640
9,CJ_Corp,기타금융,2022,Q2,0.08659892155545425,-0.056502434839458715,0.1792772536382813,0.033707865168539186,-0.38636857995042173,-0.056502434839458715,-0.056502434839458715,-0.05650243483945849,-0.056502434839458715,-0.056502434839458715,0.08097439349396938,001040
9,Dongkuk_Steel,기타금융,2022,Q2,0.13295764505159907,-0.08558858085986665,-0.01612049146405048,0.033707865168539186,-0.38636857995042173,-0.0592796838235472,-0.056496178533237185,-0.05698814637900518,-0.05718487665795813,-0.05663979769747063,-0.0722320016496743,001230
9,Orion_Corp,기타금융,2022,Q2,-0.027144055079465434,0.7075019099455933,0.5380934819168897,0.033707865168539186,-0.38636857995042173,-0.056533685977654624,-0.056533685977654624,0.0,0.0,-0.056533685977654624,0.21604506487206127,001800
9,SeAH_Steel,기타금융,2022,Q2,0.2168797753146869,0.8585160428707439,0.13527344401904717,0.033707865168539186,-0.38636857995042173,-0.0565466859851842,0.0,-0.0565466859851842,-0.0565466859851842,-0.0565466859851842,0.31497020939355097,003030
9,LG_Corp,기타금융,2022,Q2,0.023814789579562505,0.8118038222255337,0.5747775124810072,0.033707865168539186,-0.38636857995042173,-0.056042522467094624,0.0,-0.056042522467094624,0.0,-0.056042522467094846,0.17427504708874061,003550
9,Hansol_Holdings,기타금융,2022,Q2,0.06957986209127058,-0.05654971582891277,0.2557991599993692,0.033707865168539186,-0.38636857995042173,-0.05654971582891277,-0.05654971582891277,-0.056549715828912994,-0.056549715828912994,-0.05654971582891277,0.018719491533185056,004150
9,Hyosung,기타금융,2022,Q2,-0.013473937057287666,-0.07875884080755591,0.18429386177565676,0.033707865168539186,-0.38636857995042173,-0.05665394398109824,-0.05665394398109869,0.0,-0.05688279422895137,-0.056442631208808214,0.09965954228036605,004800
9,Hyundai_Green_Food,기타금융,2022,Q2,0.13093963858007376,0.001592539922026348,-0.14014680587768846,0.033707865168539186,-0.38636857995042173,-0.056542039471836336,-0.056542039471836336,0.0,-0.056542039471836336,-0.056542039471836336,0.028445061747667727,005440
9,Crown_Confectionery,기타금융,2022,Q2,0.1691826067644378,0.6520041597578234,0.08915063388652489,0.033707865168539186,-0.38636857995042173,-0.056550025451618025,0.0,0.0,0.0,-0.056550025451618025,-0.09215394875201993,005740
9,SK_Chemicals,기타금융,2022,Q2,-0.024232689242650873,-0.05653663052708002,0.04447510175905478,0.033707865168539186,-0.38636857995042173,-0.05653663052708002,-0.05653663052708002,0.0,0.0,-0.056536630527080245,0.003247120766696643,006120
9,LS_Corp,기타금융,2022,Q2,0.05721679479862582,-0.05648970915387652,0.06799469645528777,0.033707865168539186,-0.38636857995042173,0.0,0.0,0.0,-0.05648970915387652,-0.0564897091538763,0.36051984803942394,006260
9,Seoyon,기타금융,2022,Q2,-0.1797276496458186,0.6120410165828531,0.3080219506930534,0.033707865168539186,-0.38636857995042173,-0.05655020981878267,-0.05655020981878267,-0.05655020981878267,0.0,-0.05655020981878267,-0.025021081619152785,007860
9,Daeduck_Electronics,기타금융,2022,Q2,0.04097747855930958,0.797665750019331,0.8778096476477303,0.033707865168539186,-0.38636857995042173,-0.056549211811949274,-0.056549211811949274,0.0,-0.056549211811949274,-0.056549211811949274,-0.033390068244033205,008060
9,Hyundai_Heavy_Industries,기타금융,2022,Q2,0.0181929768941321,0.15613554629789494,-0.016826466356864245,0.033707865168539186,-0.38636857995042173,-0.05648405896194375,-0.061140240965236625,0.0,-0.06538015484389659,-0.05226283319771352,0.21939455204436575,009540
