,name,year,quarter,sector,Relative Return,매출액 변화율,이익잉여금 변화율,부채총계 변화율,법인세차감전 순이익 변화율,비유동부채 변화율,유동자산 변화율,Label,Code
5,조선내화,2023,Q3,철강_소재,-0.20592868253686974,0.0,-0.005330906815099179,-0.4222642492120827,59.99347640418871,-0.1967934772620079,-0.9267634490656288,-0.23123545640332863,000480
5,영풍,2023,Q3,철강_소재,-0.11496775629119849,-0.187350790794514,0.0288519698430314,0.024841476725488976,-1.9966017378875724,0.026726279440383305,0.05602798640455431,-0.11901841935253826,000670
5,동국제강,2023,Q3,철강_소재,-0.2414258499784816,2.2918387602781713,0.000209763266583618,-0.40914135951161745,-1.6555164185734275,-0.1967902574221131,-0.08310618236893141,-0.16895502636089346,001230
5,세아베스틸,2023,Q3,철강_소재,-0.011149875952507583,-0.04552725838873084,0.00013646858508131743,-0.004145037304863597,-0.9415976674000326,-0.5385046626227776,0.3501008312824676,-0.08331126280678475,001430
5,고려제강,2023,Q3,철강_소재,-0.14986109013631127,-0.053124662792637944,0.011585705549137959,-0.012261758003698886,0.6139480995316149,-0.008613517170887208,0.03443663496155436,0.02206669831066725,002240
5,세아제강,2023,Q3,철강_소재,-0.0356870328660239,-0.5816483071462195,0.0037539934572834444,-0.015551045718263823,-12.195137437579795,-0.007957660313836157,-0.5469558211726353,0.06408017624255795,003030
5,현대제철,2023,Q3,철강_소재,0.02053365005905311,-0.10576483759076494,0.008875531749661603,-0.05231859310139564,-0.5527458182433884,-0.04221823962245075,-0.04674918849952581,-0.12991780905310743,004020
5,삼광글라스,2023,Q3,철강_소재,0.0944702679884324,0.07949656918914494,0.17057100745501597,0.05514066504335058,43.80315866761701,-0.17384904904564968,0.2568172244401956,-0.244654431794135,005090
5,POSCO,2023,Q3,철강_소재,-0.1548998759525076,0.06478673199487694,-0.0007603595491965098,0.07520473772386205,2.0418419785190305,-0.3907350807669986,0.14061425747314016,-0.12689963756875255,005490
5,무림P&P,2023,Q3,철강_소재,-0.04189260821913885,0.004168864469310085,-0.02909029439136246,0.025795626927788584,0.3544962950709063,0.0369164483334794,-0.04480570619679558,-0.14055262680523023,009580
5,고려아연,2023,Q3,철강_소재,0.015317304317304298,-0.002496083962681972,-0.013391724428220453,0.10485225347114002,-0.2910362181010271,-0.017570161177820287,0.13321298097448175,-0.16686356675994282,010130
5,풍산,2023,Q3,철강_소재,0.059105726288388775,-0.13070249670726874,0.015969030243404125,0.05136039769773726,-0.49970125076172967,0.0007339624244535603,0.054745014615314336,0.10459835777737074,103140
5,한국철강,2023,Q3,철강_소재,0.08879760303908905,-0.19530210932958947,0.06678625522122683,-0.07106720142487755,-0.4406460220291243,0.08200071793652963,0.016665004097575542,0.023666145040512385,104700
