,name,sector,year,quarter,이익잉여금변화율,자본총계변화율,매출액변화율,영업이익변화율,비유동부채변화율,Relative Return,주주 수변화율,특정 증권 등 소유 증감 수변화율,전체 주주 수변화율,전체 주식 수변화율,Label,Code
24,Kyungbang,Materials_&_Chemicals,2018,Q3,-0.008435571417007237,-0.006049755725894501,0.08114584122550939,0.014053596538883828,-0.6713314452576229,0.03967232855875262,0.007457819644527852,0.0,0.12181807025320912,0.12202468517161236,-0.07274732285193074,000050
24,Hite_Jinro,Consumer_Goods_&_Retail,2018,Q3,-0.02897530044795049,-0.005667216150017307,-0.009322625068508117,-0.05539764138111525,-0.06509937278518274,-0.07041875485447845,0.020676494582960503,0.008565308172179598,0.011508774658366416,0.007365537167803526,-0.14714060310583643,000080
24,Yuhan_Corporation,Healthcare,2018,Q3,-0.002199391186204158,0.00026414843069044736,0.020292248110793,0.8168575344427329,0.14870158641871123,0.03914035069613461,-0.06481961733246644,-0.1466557692034678,-0.038321170636002044,-0.036856328963154716,0.12070046759517751,000100
24,CJ_Logistics,Trading_&_Logistics,2018,Q3,-0.1045866203258754,0.005114451968693978,-0.005236459958047002,0.3418961138365897,0.09745488516310497,0.2633830041647351,-0.06933047908720869,0.0028453868774006574,-0.06574462894855415,-0.05926665263754183,-0.05853917999785394,000120
24,Ildong_Pharmaceutical,Healthcare,2018,Q3,-0.007490586328543047,-0.004380278102731339,-0.03396140470943232,0.13864789210286188,-0.015442945154965804,-0.009704254846117456,-0.014021318152170448,-0.014405003162003549,-0.012887861304050174,-0.010798476451654215,0.05594255522166336,000230
25,Chosun_Refractories,Materials_&_Chemicals,2018,Q3,-0.021014121050420442,-0.011008759022308467,0.022489216885257735,-1.654659311305367,0.12849725385843436,0.0765148803062925,-0.06494644894797097,0.021662164304945497,-0.12390816187776932,-0.280564801686634,-0.02567500181216923,000480
24,S_hynix,Technology,2018,Q3,-0.1421800767848882,-0.07269134859195692,-0.10544827720045191,-0.1662657428018044,-0.035655263194535936,0.09934622259617176,-0.07489686261129092,-0.1008365067523076,-0.03147512536790886,-0.04740142218132615,-0.14464696442899166,000660
24,Youngpoong,Materials_&_Chemicals,2018,Q3,0.009274575163597198,0.009318252174369324,0.09156337497093014,-2.444001657176542,0.023222067654639078,-0.07502151268878574,0.011492445362466186,0.0,0.011832987656598015,0.01438315189418038,-0.033539199608361915,000670
24,Dongkuk_Steel,Materials_&_Chemicals,2018,Q3,0.006474887996020695,0.003367725988569603,0.0050210825001894,-1.0934867357106364,0.15981936181078416,-0.10982856523812995,-0.02364110058468727,-0.28316856628171205,-0.0032016852094483017,0.002592047714010004,0.11586222934752885,001230
24,SeAH_Besteel,Materials_&_Chemicals,2018,Q3,0.0009494716715194862,0.0006856717223764353,0.019749552039205698,0.7734824308864257,-0.029471880362411662,-0.11335607578544118,0.0009235725013988505,0.0,0.0031932744008833502,0.001699691291462302,-0.09555605533808258,001430
