,name,sector,year,quarter,Relative Return,비유동부채변화율,자본총계변화율,비유동자산변화율,이익잉여금변화율,영업이익변화율,Label,Code
21,Doosan_Corp,Conglomerate,2019,Q2,-0.21936302338622432,-0.06544280133980429,-0.001755437267149329,-0.04994652471968197,-0.0029833352975170424,-0.449655751518945,0.09328769911642998,000150
21,DL_Holdings,Conglomerate,2019,Q2,-0.09540628087893688,0.107194129916942,-0.011124217700643202,-0.025820789985082637,-0.011620136696281147,-0.3025588469066365,0.19870841258541624,000210
21,Dong-A_Socio_Holdings,Conglomerate,2019,Q2,-0.08689464098615415,0.42741327473968094,0.014186564438781302,-0.00011851822746367091,0.020760971021741126,1.2401573339833982,-0.06115451616735684,000640
21,Hanwha_Corp,Conglomerate,2019,Q2,-0.0832439314530917,0.06810732511912487,-0.004154736106068313,-0.002494818744517513,-0.006063166568610834,-2.9683967324036638,-0.1184419655600694,000880
21,CJ_Corp,Conglomerate,2019,Q2,-0.02093198411440638,-0.009852810818969271,-0.004840766483536596,0.0036122138302684403,0.004868252584626087,0.8519344699982798,-0.18221531021202186,001040
21,LG_International,Conglomerate,2019,Q2,-0.004254998085924944,0.13405468692525202,-0.07836399632476354,0.006806549732941147,-0.09321860689664674,1.3003114475308966,0.10885862286752132,001120
21,Orion_Corp,Agriculture_&_Food,2019,Q2,0.041318866639118164,-0.012051938215189795,0.0005278328520369469,-0.008681741168615309,0.06903521523804668,0.9553899173462133,-0.07220313735748747,001800
21,LG_Corp,Conglomerate,2019,Q2,0.0668616870711852,0.006996027984111919,-0.0031120512557372138,-0.015255115092664973,-0.004591115193152362,0.9375375226091645,0.0019762691377434695,003550
21,Namyang_Dairy_Products,Agriculture_&_Food,2019,Q2,-0.06746085377985511,-0.004318949214394019,-0.02090274259177849,-0.06330375332307248,-0.020509228010219926,0.983997288169092,-0.08127510950924557,003920
21,Hansol_Holdings,Conglomerate,2019,Q2,-0.17349813056617494,0.03168764030107685,-0.003823806544445585,0.06393690813990383,-0.034251168533499854,0.6303090737242727,0.15951856075572007,004150
21,Nongshim,Agriculture_&_Food,2019,Q2,0.17148626956866944,0.024879290280209188,-0.0020358838456771,-0.019369633897381666,-0.0019037648127704365,0.8414522122241637,-0.17472496675237054,004370
21,Binggrae,Agriculture_&_Food,2019,Q2,-0.11401381036473776,0.057277602920850046,-0.030860139889017812,-0.016973113005845253,-2.0977947743894143,-2.455752095189735,0.016621676482723037,005180
21,Hyundai_Green_Food,Agriculture_&_Food,2019,Q2,-0.042800290005575635,0.05336813672825946,0.008781463771379783,0.012090807276796012,-0.017211213136663295,-0.1111636513105374,-0.08061336746683248,005440
21,SPC_Samlip,Agriculture_&_Food,2019,Q2,0.07218964014537108,0.06973325152734289,-0.03158374876688197,0.002825082262786549,-0.0337066373423367,-0.6630690028201902,-0.3058863688217447,005610
21,Crown_Confectionery,Agriculture_&_Food,2019,Q2,-0.00599795482631011,0.09416117826803916,0.010941848379724228,0.0010557617108242212,0.017105125043759273,0.9570481328737149,0.05789040949521587,005740
21,LS_Corp,Conglomerate,2019,Q2,0.00884684949217842,-5.997296494355318,0.00040466546547912596,-0.011511617606812186,0.0004577118272092173,1.072549296316728,-0.10050502414994031,006260
21,Ottogi,Agriculture_&_Food,2019,Q2,0.02545620358226363,-0.005492687106615657,-0.009909373408116373,-0.07103521913085764,-0.010313424803022553,0.24720049203509997,-0.10712104963389031,007310
21,Muhak,Agriculture_&_Food,2019,Q2,-0.10889819435502118,-0.12065034516271367,-0.001747451013309309,-0.005120987555830014,-0.012778319449354925,-1.646988701370351,-0.12271569121278386,033920
21,SK_Holdings,Conglomerate,2019,Q2,-0.013459136516166932,-0.03298216176431712,-0.002505448009130218,-0.013005980809938977,-0.003643882711139801,0.8403608081201479,-0.13906045957699711,034730
21,Farmsco,Agriculture_&_Food,2019,Q2,0.0020230704996507115,0.36159218515577995,0.001250476899898878,0.007058931217402975,0.0017772904181991844,-1.845643467100917,-0.24334056378188781,036580
21,Dongwon_F&B,Agriculture_&_Food,2019,Q2,-0.1502023466233353,0.1191462348267025,-0.007302232826709831,-0.0036921058666345985,-0.20038638418394816,0.752966465138152,0.1052294218891409,049770
21,Halla_Holdings,Conglomerate,2019,Q2,-0.09557858870878888,-0.012991086485568015,-0.006227238479479924,-0.00032148129108477974,-0.007213152798789091,0.5646485438956743,0.08670414357780597,060980
21,GS_Holdings,Conglomerate,2019,Q2,-0.01658950218786468,0.19882424536519594,-0.002868576182212035,0.003009290436641332,-0.004285381410582323,0.9170252812948269,-0.021493344006184693,078930
21,Samyang_Foods,Agriculture_&_Food,2019,Q2,0.04203428794277477,0.001916626736942928,-0.020406729521355693,-0.017679487082031597,-0.06687132202187662,-1.6640815422113895,-0.09425210040130472,145990
