,name,sector,year,quarter,매출액변화율,부채총계변화율,영업이익변화율,유동자산변화율,자본총계변화율,Relative Return,발행금액변화율,자기주식수변화율,1인평균급여변화율,기타변화율,Label,Code
9,Doosan_Corp,기타금융,2022,Q2,-0.008854509259043741,-0.04788712377705706,-1.7759226647659907,-0.09464362339587695,-0.009279818119856342,-0.06810196658570933,-0.015369509249056224,-0.013873904580352425,-0.015276972386633503,-0.013104462110659965,-0.17416914717588708,000150
9,Hankook_Tire_Worldwide,기타금융,2022,Q2,0.23212966733008134,0.21747727720422194,0.6944916237411392,0.0996283540446028,-0.006671861135463031,0.006654206894265768,0.07798634445614805,-0.2012249623059741,-0.024800179279774737,0.0,0.03611137979533925,000240
9,Dong-A_Socio_Holdings,기타금융,2022,Q2,0.9235194054457347,0.04754905956390598,1.1295042025406634,0.3262269778061583,0.00955078274529364,0.070743364846935,-0.020202585951215157,-0.0015427959455891482,-0.015913003335810805,-0.016975547651024936,0.05905809393449801,000640
9,CJ_Corp,기타금융,2022,Q2,0.04254152602987826,0.1792772536382813,0.8329166881356315,0.6201263376623947,-0.0038994137993966227,0.08659892155545425,-0.03760624282631908,-0.02095734899461199,0.03472218565222074,0.0015789384498093861,0.08097439349396938,001040
9,Dongkuk_Steel,기타금융,2022,Q2,-0.08558858085986665,-0.01612049146405048,-0.5617938976851249,-0.14748868348829403,-0.006597337102825618,0.13295764505159907,0.020695205679218676,-0.05754074822205357,-0.028202013656079883,-0.836658244477057,-0.0722320016496743,001230
9,Orion_Corp,기타금융,2022,Q2,0.7075019099455933,0.5380934819168897,0.9361239316040989,0.7652106530875189,-0.0014689463527814972,-0.027144055079465434,0.045746490600730216,-0.0012158122537118121,0.005039207093068154,0.0,0.21604506487206127,001800
9,SeAH_Steel,기타금융,2022,Q2,0.8585160428707439,0.13527344401904717,0.982127034696143,0.5291974772633765,-0.001158832316958236,0.2168797753146869,0.0,0.00582923915945377,-0.02613712799439516,-0.017894357288509077,0.31497020939355097,003030
9,LG_Corp,기타금융,2022,Q2,0.8118038222255337,0.5747775124810072,0.9094005185959209,0.36530229380217905,0.0016085775684849812,0.023814789579562505,0.0,0.01235461407902072,-0.06964261543582873,-0.09388344010072713,0.17427504708874061,003550
9,Hansol_Holdings,기타금융,2022,Q2,-0.007360193565729478,0.2557991599993692,0.517003343230118,0.04984644334414823,-0.006199646477943688,0.06957986209127058,0.0003289773296523135,0.007513448320602634,0.004756936372151466,0.0011429735813242026,0.018719491533185056,004150
9,Hyosung,기타금융,2022,Q2,-0.07875884080755591,0.18429386177565676,-0.2788865150522559,0.2094586714057194,-0.026715152182329893,-0.013473937057287666,-0.00883461375288297,-0.004075710306904012,-0.015035578814232897,0.0,0.09965954228036605,004800
