종목명,CODE,YEAR,QUARTER,공시일,시가,종가,수익률,LLM 예측,판단,Confusion Matrix
CJ대한통운,000120,2016,Q1,2016-05-16,200000,217000,0.085,up,true,PP
CJ대한통운,000120,2016,Q2,2016-08-16,218500,190500,-0.1281,up,false,PN
CJ대한통운,000120,2016,Q3,2016-11-14,190000,168000,-0.1158,up,false,PN
CJ대한통운,000120,2016,Q4,2017-03-31,167500,178500,0.0657,up,true,PP
CJ대한통운,000120,2017,Q1,2017-05-15,178500,168500,-0.056,down,true,NP
CJ대한통운,000120,2017,Q2,2017-08-14,168500,153000,-0.092,down,true,NP
CJ대한통운,000120,2017,Q3,2017-11-14,153000,137500,-0.1013,up,false,PN
CJ대한통운,000120,2017,Q4,2018-04-02,138500,175000,0.2635,up,true,PP
CJ대한통운,000120,2018,Q1,2018-05-15,174000,143500,-0.1753,up,false,PN
CJ대한통운,000120,2018,Q2,2018-08-14,142500,149000,0.0456,down,false,NN
CJ대한통운,000120,2018,Q3,2018-11-14,151000,165500,0.096,down,false,NN
CJ대한통운,000120,2018,Q4,2019-04-01,167000,151500,-0.0928,up,false,PN
CJ대한통운,000120,2019,Q1,2019-05-15,151500,141500,-0.066,down,true,NP
CJ대한통운,000120,2019,Q2,2019-08-14,142000,158000,0.1127,up,true,PP
CJ대한통운,000120,2019,Q3,2019-11-14,158500,129500,-0.183,down,true,NP
CJ대한통운,000120,2019,Q4,2020-03-30,126500,144500,0.1423,down,false,NN
CJ대한통운,000120,2020,Q1,2020-05-15,146000,154500,0.0582,up,true,PP
CJ대한통운,000120,2020,Q2,2020-08-14,154500,161000,0.0421,down,false,NN
CJ대한통운,000120,2020,Q3,2020-11-16,162500,174000,0.0708,up,true,PP
CJ대한통운,000120,2020,Q4,2021-03-19,172000,171500,-0.0029,down,true,NP
CJ대한통운,000120,2021,Q1,2021-05-14,170000,165500,-0.0265,down,true,NP
CJ대한통운,000120,2021,Q2,2021-08-17,165500,139000,-0.1601,up,false,PN
CJ대한통운,000120,2021,Q3,2021-11-15,140000,134000,-0.0429,down,true,NP
CJ대한통운,000120,2021,Q4,2022-03-18,134000,131000,-0.0224,down,true,NP
CJ대한통운,000120,2022,Q1,2022-05-16,131000,127500,-0.0267,up,false,PN
CJ대한통운,000120,2022,Q2,2022-08-16,127500,86600,-0.3208,up,false,PN
CJ대한통운,000120,2022,Q3,2022-11-14,86600,76900,-0.112,down,true,NP
CJ대한통운,000120,2022,Q4,2023-03-17,77600,82500,0.0631,down,false,NN
CJ대한통운,000120,2023,Q1,2023-05-15,81800,83000,0.0147,up,true,PP
CJ대한통운,000120,2023,Q2,2023-08-14,83100,79200,-0.0469,up,false,PN
CJ대한통운,000120,2023,Q3,2023-11-14,79900,126100,0.5782,up,true,PP
CJ대한통운,000120,2023,Q4,2024-03-15,122800,114000,-0.0717,up,false,PN
CJ대한통운,000120,2024,Q1,2024-05-16,114600,94000,-0.1798,down,true,NP
CJ대한통운,000120,2024,Q2,2024-08-14,95000,79600,-0.1621,up,false,PN
CJ대한통운,000120,2024,Q3,2024-11-14,79600,90400,0.1357,up,true,PP
두산,000150,2016,Q1,2016-05-16,76410,90590,0.1856,up,true,PP
두산,000150,2016,Q2,2016-08-16,90589,89802,-0.0087,up,false,PN
두산,000150,2016,Q3,2016-11-14,89014,74362,-0.1646,up,false,PN
두산,000150,2016,Q4,2017-03-31,74047,79561,0.0745,up,true,PP
두산,000150,2017,Q1,2017-05-15,80349,105163,0.3088,up,true,PP
두산,000150,2017,Q2,2017-08-11,103587,104769,0.0114,up,true,PP
두산,000150,2017,Q4,2018-03-30,84681,94528,0.1163,up,true,PP
두산,000150,2018,Q1,2018-05-15,95709,84288,-0.1193,down,true,NP
두산,000150,2018,Q2,2018-08-14,83893,101618,0.2113,up,true,PP
두산,000150,2018,Q3,2018-11-14,101224,71920,-0.2895,up,false,PN
두산,000150,2018,Q4,2019-03-29,71762,79167,0.1032,up,true,PP
두산,000150,2019,Q1,2019-05-15,79167,74047,-0.0647,up,false,PN
두산,000150,2019,Q2,2019-08-14,74047,73000,-0.0141,down,true,NP
두산,000150,2019,Q3,2019-11-14,73300,38950,-0.4686,up,false,PN
두산,000150,2019,Q4,2020-03-30,36250,38250,0.0552,up,true,PP
두산,000150,2020,Q1,2020-05-15,37700,44300,0.1751,down,false,NN
두산,000150,2020,Q3,2020-11-16,48650,48050,-0.0123,up,false,PN
두산,000150,2020,Q4,2021-03-22,48700,69200,0.4209,down,false,NN
두산,000150,2021,Q3,2021-11-12,133000,116000,-0.1278,up,false,PN
두산,000150,2022,Q1,2022-05-16,82200,83100,0.0109,up,true,PP
두산,000150,2022,Q2,2022-08-16,84600,92700,0.0957,down,false,NN
두산,000150,2022,Q4,2023-03-21,102600,93400,-0.0897,up,false,PN
두산,000150,2023,Q1,2023-05-15,93100,106900,0.1482,up,true,PP
두산,000150,2023,Q2,2023-08-14,106200,76400,-0.2806,down,true,NP
두산,000150,2023,Q3,2023-11-14,76500,142100,0.8575,down,false,NN
두산,000150,2023,Q4,2024-03-20,144200,162900,0.1297,down,false,NN
두산,000150,2024,Q1,2024-05-16,167100,150500,-0.0993,down,true,NP
두산,000150,2024,Q2,2024-08-14,153500,224000,0.4593,down,false,NN
두산,000150,2024,Q3,2024-11-14,232000,319000,0.375,down,false,NN
LG상사,001120,2016,Q1,2016-05-16,35900,35000,-0.0251,up,false,PN
LG상사,001120,2016,Q3,2016-11-14,30700,31700,0.0326,up,true,PP
LG상사,001120,2017,Q1,2017-05-15,32200,29400,-0.087,up,false,PN
LX인터내셔널,001120,2017,Q3,2017-11-14,29150,27000,-0.0738,down,true,NP
LG상사,001120,2017,Q4,2018-03-30,26950,30300,0.1243,down,false,NN
LG상사,001120,2018,Q1,2018-05-15,31300,22850,-0.27,down,true,NP
LG상사,001120,2018,Q2,2018-08-14,22900,16200,-0.2926,up,false,PN
LG상사,001120,2018,Q3,2018-11-14,16100,16050,-0.0031,down,true,NP
LG상사,001120,2018,Q4,2019-04-01,16100,18450,0.146,down,false,NN
LG상사,001120,2019,Q1,2019-05-15,18300,16250,-0.112,down,true,NP
LG상사,001120,2019,Q2,2019-08-14,16350,15650,-0.0428,down,true,NP
LG상사,001120,2019,Q4,2020-03-30,8210,13250,0.6139,up,true,PP
LG상사,001120,2020,Q1,2020-05-14,13150,16250,0.2357,up,true,PP
LG상사,001120,2020,Q2,2020-08-14,16350,18450,0.1284,down,false,NN
LG상사,001120,2020,Q3,2020-11-16,18600,30000,0.6129,up,true,PP
LG상사,001120,2020,Q4,2021-03-16,30400,34750,0.1431,up,true,PP
LG상사,001120,2021,Q1,2021-05-17,34850,28600,-0.1793,up,false,PN
LX인터내셔널,001120,2021,Q3,2021-11-15,27000,30050,0.113,up,true,PP
LX인터내셔널,001120,2022,Q1,2022-05-16,38150,35450,-0.0708,up,false,PN
LX인터내셔널,001120,2022,Q2,2022-08-16,35300,40400,0.1445,up,true,PP
