,name,sector,year,quarter,자본총계변화율,매출액변화율,이익잉여금변화율,Relative Return,전체 주식 수변화율,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,자기주식수변화율,1인평균급여변화율,특정 증권 등 소유 수변화율,Label,Code
10,Kyungbang,유통,2022,Q1,0.000641715741516502,0.1409048079594989,-0.0016045569085549882,0.009742516297228892,0.36101229068668383,0.38022989965763054,0.0,0.41238721814480195,0.2056463415855967,0.0,0.23943901702084805,000050
10,CJ_Logistics,운송·창고,2022,Q1,-0.007389135974415595,0.09865796587446496,-0.09674442852890897,-0.15768692687592137,0.44600769329112466,0.509822681381939,0.023058915971962413,-0.0805341559741064,0.2864208697849001,-0.011683942714417972,0.11131152698100741,000120
10,Doosan_Corp,기타금융,2022,Q1,0.003688978534823195,0.050897322635430786,0.0020258474522785175,0.21133524785023414,0.0967764597455879,-0.7087129228799232,-0.24351420732265017,-0.11181390784274137,-0.015263974445039574,-0.028705323945807715,-0.06810196658570933,000150
10,DL_Holdings,화학,2022,Q1,-0.03958622507782028,-8.285238206088984,-0.021308956872318374,-0.17137325112026716,0.3012712622882582,0.41070794306619685,-0.015072540152292202,0.2855318406528716,0.22913871995388735,-0.012200128424651124,0.08271770554543821,000210
10,Hankook_Tire_Worldwide,기타금융,2022,Q1,0.0022844005603385176,-0.19559684180058223,0.005990138642914422,0.016560592881939732,0.3367837604211169,0.3372918642397199,-0.1272907528658218,-458.48572623883024,0.02405097791485078,-0.1272873254803406,0.006654206894265768,000240
11,Kia_Corp,운송장비·부품,2022,Q1,0.027134633556762267,0.11454763564460535,0.028043979983755407,0.03321682132833617,0.19874744702341007,0.3690395107226616,-0.03175705516460381,-0.0007174431498109257,0.04578182353088511,0.03558789674781093,-0.0279192459465826,000270
10,Dong-A_Socio_Holdings,기타금융,2022,Q1,-0.02584103660426229,-9.669491633940586,-0.039783818097539836,0.013365704703025994,0.3113036863181289,0.2742556487554598,0.00854349023976475,0.30488832197442006,0.04257931744346888,0.02492182205248694,0.070743364846935,000640
10,S_hynix,전기·전자,2022,Q1,-0.01894021435736226,0.10588036335767448,-0.021444131318285375,0.29767943019322207,0.38578720141343226,0.4841130670720012,-0.005325172272462542,0.11689653379333786,0.0945028160714857,-0.01885143181466331,-0.026621589039758017,000660
10,Hanwha_Corp,화학,2022,Q1,0.008296715963407864,0.37509141279713276,0.012202849238451274,-0.06038060798133979,0.36962390009064916,0.45399116445008714,-0.06937907789592912,0.3506117388566804,0.16818018921963696,-0.06935706213876602,0.08103137370874613,000880
10,CJ_Corp,기타금융,2022,Q1,-0.002845249961662688,-0.027805970809533287,-0.004591037336294068,-0.1356138871337087,0.2378983613580461,0.40785367058909205,-0.007561921556852758,-0.25158845594574175,0.33916799510923334,-0.016547982914577597,0.08659892155545425,001040
