,name,sector,year,quarter,영업이익변화율,비유동부채변화율,매출액변화율,비유동자산변화율,이익잉여금변화율,Relative Return,전체 주주 수변화율,주주 수변화율,1인평균급여변화율,보유 주식 수변화율,Label,Code
33,Doosan_Corp,Conglomerate,2016,Q2,-1.1675538538679602,-0.056462947506525696,-0.31833129582735653,-0.018185832399669977,-0.08611326030231758,-0.0182690238505401,-0.06477210140909029,-0.08475081843655197,-0.055057173183163055,-0.05129914638787869,0.059021170163139826,000150
33,DL_Holdings,Conglomerate,2016,Q2,-1.016410796698589,-0.06521745957130287,-0.14655929713947713,0.001192477415282167,-0.0034195489020401038,0.34780436460302727,0.08722116347921594,0.006183070021863468,0.0011961518884204825,-0.007364109005244535,-0.15891805249138258,000210
33,Dong-A_Socio_Holdings,Conglomerate,2016,Q2,1.495702784089724,0.862868708618763,0.7545684849058956,-0.005932208172638731,0.023555580402214504,0.20404071717583802,0.02458660016255909,0.03167680110814264,-0.0002039913855256259,0.0029636884583608136,-0.15236923210322162,000640
33,Hyundai_E&C,Construction_&_Real_Estate,2016,Q2,-0.14653702594350482,-0.00779332097730423,-0.1482557663727011,0.0022628444136912895,-0.022739021498932033,0.4594083042513074,-0.03492602954357982,-0.02675830976696858,-0.027863640472925555,-0.03229759345311933,-0.20659433400204477,000720
33,Hanwha_Corp,Conglomerate,2016,Q2,-0.05351073597396949,0.13896463459713082,-0.14095739639464222,-0.01130099412211294,-0.02782782752995927,-0.11831280701512563,0.004209236070465416,0.01628868775201009,-0.011849549558890615,-0.03927294448478191,0.0030952417698560924,000880
33,CJ_Corp,Conglomerate,2016,Q2,0.7366765580435821,-0.0072292199775858546,0.5946921647564738,-2.998635143214301e-05,-0.004545587279831453,-0.2375133813102118,0.010344024519743034,0.014609540620958206,0.018573120707329194,-0.0004663748139797086,0.03915629593514758,001040
33,LG_International,Conglomerate,2016,Q2,-3.3174136296871914,-0.2393885654418182,0.06527085368019758,-0.058116076750714285,-0.0034126845813029494,0.047661786316195,-0.01833056341333572,-0.009633773142248003,0.0017287448562018914,-0.008338877960537117,0.05758012684537369,001120
33,LG_Corp,Conglomerate,2016,Q2,0.893057958122573,-0.04739992075684163,0.7554529317535682,0.00012569422252217688,-0.0055957477022468005,-0.046037126664759925,-0.09420096765563168,-0.06382214379632667,-0.04317938823288814,-0.02999533110978425,-0.06416338391802595,003550
33,Hansol_Holdings,Conglomerate,2016,Q2,0.04547276840648984,-2.419968383612693,0.09318853867303356,-0.02499546362570082,-0.009897092041784905,0.1358520173635689,-0.011118877386931514,-0.019520451905511438,-0.015444089754338863,-0.01923552106351023,-0.09340685104584373,004150
33,LS_Corp,Conglomerate,2016,Q2,0.08564458140729325,-0.01122546513437217,0.033724436287362325,-0.008259044757631395,-0.009841499852528246,0.08701457193763734,-0.002620434251057846,0.0011115785232475028,-0.009377745747883637,-0.011923441845644644,0.2553473563186912,006260
33,Hyundai_Development_Company,Construction_&_Real_Estate,2016,Q2,-1.28059832084594,0.004821802759424565,-0.3085916679344394,-0.022942825408441836,-0.051717214834727576,0.15685652995234042,-0.026603108291559208,-0.023116244454326695,-0.03936346226188059,-0.0318532609957376,-0.14626537653984187,012630
34,Samsung_C&T,Construction_&_Real_Estate,2016,Q2,1.2920010707508498,-0.0011213931019604662,-0.10323227785885214,0.02424730779223183,-0.038422550497472674,-0.00961969445283025,0.02015328354548951,0.020153350714385843,0.004215773668471812,0.02350968068439807,-0.13395599066839747,028260
33,SK_Holdings,Conglomerate,2016,Q2,0.9051713173364768,-0.020108293981125236,0.41370606937346444,-0.0005737407023194141,-0.0006247176338107785,-0.10971781550785127,-0.012767723625035199,-0.011657619263708563,0.007656890654220039,0.02363912632978349,-0.07987463184663232,034730
33,Daewoo_E&C,Construction_&_Real_Estate,2016,Q2,-0.6892331338339026,0.1519311414275909,-0.1747293522848059,-0.004553644198654672,-0.10778393128749086,0.10616071846133654,0.03711217005533296,0.09093630261110985,0.02557456043229922,0.0393203173891471,-0.10078374889742958,047040
33,KEPCO_E&C,Construction_&_Real_Estate,2016,Q2,-0.814575634498617,-0.08316334380034718,-0.08511735834238743,-0.011497450652251384,-0.046448072561549925,-0.1163345715577139,0.00016119777678191838,-0.02956936749999972,-0.1111384151835304,-0.01264091305705084,-0.15098967014264747,052690
33,Halla_Holdings,Conglomerate,2016,Q2,0.6173112373672325,-0.0015159219947704639,0.04170553124653864,0.03758915009099961,-0.007165404143725684,-0.17298290901204463,0.02831158108689613,0.03156239689026685,0.02934506307527307,0.0076032421791690785,0.13553377882137202,060980
33,GS_Holdings,Conglomerate,2016,Q2,0.37368574766355145,0.0003742552972355595,-0.0,-0.012405108040069335,-0.0028292251047234984,0.14554893788127896,-0.020523640340211813,-0.0022979378857386212,0.0011050817376393463,0.006707171803526868,-0.18712306169261134,078930
