,name,sector,year,quarter,Relative Return,자본총계변화율,매출액변화율,이익잉여금변화율,비유동부채변화율,유동부채변화율,Label,Code
16,Kyungbang,Materials_&_Chemicals,2020,Q3,0.359479460513127,-0.008245139540944635,0.05778168170676801,-0.00806143020514516,0.36185244091729196,-0.3619701848368584,-0.22114050170631516,000050
17,Chosun_Refractories,Materials_&_Chemicals,2020,Q3,-0.17296592598944555,-0.009560970924148426,-0.05307745671082231,-0.0038288495814671197,-0.009387968621639597,-0.08060638332880288,-0.07776355037481839,000480
16,S_hynix,Technology,2020,Q3,-0.15924965846836467,-0.018702415962917662,0.04157585555511434,-0.02109478239496454,0.0019031782689412635,0.08235311290436376,-0.1252993926687252,000660
16,Youngpoong,Materials_&_Chemicals,2020,Q3,-0.1947066441078469,-0.005974761287205421,-0.16670959759490955,-0.005929800460903412,0.0031681793322593244,-0.364421973922483,-0.08660309399229167,000670
16,Dongkuk_Steel,Materials_&_Chemicals,2020,Q3,0.27662220495357087,-0.02035096015707083,0.038333788628357346,-0.07643782935494303,0.23050023811547893,-0.018510481500554787,0.09007270693512312,001230
16,SeAH_Besteel,Materials_&_Chemicals,2020,Q3,0.15934972454983742,0.008804287129680288,-0.0727577180190806,0.013453635327878133,0.01544726287512288,0.144010393284566,-0.13617858305455693,001430
16,KIS_Wire,Materials_&_Chemicals,2020,Q3,-0.06580744707980804,-0.006755797844390399,0.0730806086143676,-0.0033833719737286216,-0.025377805678939547,0.09734660659797711,-0.22700924636165662,002240
16,KCC,Materials_&_Chemicals,2020,Q3,-0.16876343533902338,0.01860741910802255,0.04730834812890261,0.015272200444618522,-0.014937029911247013,0.18038037503524162,-0.007539469416536687,002380
16,Korea_Shell_Petroleum,Energy_&_Utilities,2020,Q3,-0.23321249978808783,-0.07736147887401046,-0.006964704373342734,-0.08459330885241312,-0.14364612250691322,-0.03543766415269789,-0.07139630650757452,002960
16,SeAH_Steel,Materials_&_Chemicals,2020,Q3,0.19104081335411421,-0.002003140429641226,-0.396984428796209,-0.0008941370342454569,0.775149233095626,-0.5666230899489342,0.15028211398390234,003030
16,Ilshin_Spinning,Materials_&_Chemicals,2020,Q3,0.11507910285134088,-0.0013094232718342536,-0.16473371285088212,-0.001357155691249945,0.3767999494481896,-0.5869098631083391,0.06284590236150003,003200
16,Hanil_Cement,Materials_&_Chemicals,2020,Q3,0.18055018114283383,-0.010090389316744552,-0.0,0.0008885426450633283,0.25488630400788004,-1.9528939204011433,-0.13006973988990403,003300
16,Ssangyong_Cement,Materials_&_Chemicals,2020,Q3,-0.0636729345038417,0.02129639294837138,0.08423629089102702,0.07927472572125172,-0.4822783006733342,0.4948251733473126,0.055967069203130104,003410
16,Samsung_Fine Chemicals,Materials_&_Chemicals,2020,Q3,-0.06813088789796531,-0.01456228772709145,-0.08262565727351445,-0.020857891069046453,-0.059590454256893466,-0.09462895540623606,0.33985910474783676,004000
16,Hyundai_Steel,Materials_&_Chemicals,2020,Q3,-0.034317374547353535,-0.006531633395137737,-0.021343734277917692,0.005483824770072143,-0.04868087541218369,0.03398369506151544,0.08965097953971152,004020
17,Hansol_Technics,Technology,2020,Q3,0.2022095376339496,0.013137157237831154,-0.14649821058088253,0.15598741284419293,-0.09566753574548703,-0.02663162865198543,0.208523394464758,004710
16,POSCO_Holdings,Materials_&_Chemicals,2020,Q3,-0.10145083972454097,0.0007317443203995744,-0.11777125929001842,-0.0030444100196631574,0.022692268701143048,-0.19178195188168146,0.017440258249670118,005490
17,Samsung_Electronics,Technology,2020,Q3,-0.08304019893085547,-0.01587236328278796,-0.2611098535514629,-0.01653423604249271,0.07805553625812645,-0.1995507446003717,-0.0031536877031579647,005930
17,Samsung_SDI,Technology,2020,Q3,0.31879287096728287,-0.012079433307689014,-0.11568988946397041,-0.022114227985263746,0.22446501237881922,-0.09635376778604687,0.07858029346902545,006400
17,Korea_Petrochemical_Ind,Materials_&_Chemicals,2020,Q3,0.09859670830978007,-0.02799371650370497,0.009854791215071157,-0.03394847501164944,0.04060627785969528,0.06972336719917382,0.36110714346312434,006650
17,Kukdo_Chemical,Materials_&_Chemicals,2020,Q3,-0.3218306557680173,-0.007976784138700399,0.08790333642721748,-0.008704571421262575,0.016102599331200063,0.10341851305886385,0.19116013869368434,007690
16,Daeduck_Electronics,Technology,2020,Q3,-0.41217271492577734,-0.1506955276432842,-0.6389524977039931,-0.024948918504670736,0.12777561662104553,0.0058918995673175045,-0.019870596445279096,008060
17,Samsung_Electro-Mechanics,Technology,2020,Q3,0.13961326434202415,-0.01603700556945431,-0.2208042577247593,-0.5750898325211224,-0.06668830105831014,-0.20649555483439874,-0.027907228535737932,009150
16,Moorim_P&P,Materials_&_Chemicals,2020,Q3,-0.206082057563306,0.01432400636539699,0.146889577214406,0.026346046803052414,-0.1875908199542875,0.1936012332388748,-0.040049875161143174,009580
16,Hanwha_Solutions,Materials_&_Chemicals,2020,Q3,0.2517285029367726,-0.09564053845797837,-0.09488151475106843,-0.13604231715539927,0.008586257199844405,0.16839754164108067,0.8890550953948697,009830
