,code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,이자수익,영업비용
0,18260,Samsung_SDS,IT_Service,2015,Q4,2731868723692.0,2553205913975.0,5285074637667.0,949518710964.0,68351008793.0,1017869719757.0,38688900000.0,3075651418853.0,4267204917910.0,4352976599247.0,339767216182.0,468384288479.0,350251400716.0,350251400716.0,,,
1,18260,Samsung_SDS,IT_Service,2016,Q1,2682913122697.0,2446192454234.0,5129105576931.0,724417081217.0,87097811017.0,811514892234.0,38688900000.0,3127547968562.0,4317590684697.0,950871519618.0,63700514095.0,117627998965.0,90571642709.0,90571642709.0,,,
2,18260,Samsung_SDS,IT_Service,2016,Q2,2756314189543.0,2371623734924.0,5127937924467.0,665319485839.0,102088826203.0,767408312042.0,38688900000.0,3174610397034.0,4360529612425.0,998527290989.0,70390559388.0,61779549418.0,47062428472.0,47062428472.0,,,
3,18260,Samsung_SDS,IT_Service,2016,Q3,2856364021518.0,2366687671969.0,5223051693487.0,684268113563.0,130661781364.0,814929894927.0,38688900000.0,3223797578579.0,4408121798560.0,965001635794.0,73276288889.0,64728641422.0,49187181545.0,49187181545.0,,,
4,18260,Samsung_SDS,IT_Service,2016,Q4,2871763196992.0,2448990408114.0,5320753605106.0,747806487542.0,61218483776.0,809024971318.0,38688900000.0,3279401340557.0,4511728633788.0,1092510894188.0,69440290568.0,76835383368.0,55603761978.0,55603761978.0,,,
5,18260,Samsung_SDS,IT_Service,2017,Q1,2880882206184.0,2389874030722.0,5270756236906.0,688415974845.0,61673659092.0,750089633937.0,38688900000.0,3290046002911.0,4520666602969.0,1052841024480.0,74001090482.0,85952096875.0,68657301854.0,68657301854.0,,,
6,18260,Samsung_SDS,IT_Service,2017,Q2,3100075899096.0,2376911827879.0,5476987726975.0,778601883019.0,94094640245.0,872696523264.0,38688900000.0,3377780441474.0,4604291203711.0,1134766875605.0,102085114036.0,115006771352.0,87734438563.0,87734438563.0,,,
7,18260,Samsung_SDS,IT_Service,2017,Q3,3194345076135.0,2357135066760.0,5551480142895.0,725301035847.0,121629151470.0,846930187317.0,38688900000.0,3480265166884.0,4704549955578.0,1153542112848.0,135629086849.0,134614984690.0,102484725410.0,102484725410.0,,,
8,18260,Samsung_SDS,IT_Service,2017,Q4,3344162291213.0,2334123018078.0,5678285309291.0,776164128860.0,54739266254.0,830903395114.0,38688900000.0,3591074679952.0,4847381914177.0,1206017374934.0,146215339750.0,139990079805.0,110809513068.0,110809513068.0,,,
9,18260,Samsung_SDS,IT_Service,2018,Q1,3457418057023.0,2282781560082.0,5740199617105.0,881079863354.0,56925265677.0,938005129031.0,38688900000.0,3543868864461.0,4802194488074.0,1176840965775.0,130782220208.0,144234043348.0,107494556509.0,107494556509.0,,,
10,18260,Samsung_SDS,IT_Service,2018,Q2,3529856574649.0,2301260462782.0,5831117037431.0,783010732410.0,94926035028.0,877936767438.0,38688900000.0,3699452260439.0,4953180269993.0,1293247016842.0,188896617108.0,214216064665.0,155583395978.0,155583395978.0,,,
11,18260,Samsung_SDS,IT_Service,2018,Q3,3716317365169.0,2327947295260.0,6044264660429.0,826173163468.0,123227702867.0,949400866335.0,38688900000.0,3843588189909.0,5094863794094.0,1224649428291.0,153185058480.0,198454541975.0,144135929470.0,144135929470.0,,,
