종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
068870,LG생명과학,"68,900","1,700","2.53","21,074,291,900","1,142,154,611,000"
009290,광동제약,"11,400","250","2.24","4,460,497,950","597,597,701,400"
006280,녹십자,"178,000","-1,000","0.56","13,330,429,500","2,080,203,764,000"
069620,대웅제약,"106,000","8,500","8.72","60,208,641,400","1,228,176,950,000"
000640,동아쏘시오홀딩스,"213,000","5,500","2.65","9,197,445,500","1,017,349,983,000"
170900,동아에스티,"154,500","2,500","1.64","11,490,713,000","1,287,383,301,000"
003000,부광약품,"30,700","2,100","7.34","38,948,878,200","1,046,548,540,300"
008490,서흥,"45,400","-550","1.20","981,161,950","525,237,730,200"
003520,영진약품,"3,965","450","12.80","299,293,390,630","704,263,300,000"
000100,유한양행,"281,000","500","0.18","9,272,049,000","3,133,865,426,000"
000230,일동제약,"27,650","50","0.18","3,189,247,700","693,131,997,250"
007570,일양약품,"51,200","1,200","2.40","12,108,778,850","975,154,380,800"
185750,종근당,"140,000","1,500","1.08","19,817,311,000","1,317,267,000,000"
128940,한미약품,"700,000","1,000","0.14","52,030,720,000","7,304,577,700,000"
