종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
068870,LG생명과학,"55,700","500","0.91","6,133,021,000","923,338,343,000"
009290,광동제약,"12,950","0","0.00","2,930,168,600","678,850,020,450"
006280,녹십자,"184,000","-3,000","1.60","11,384,137,000","2,150,322,992,000"
069620,대웅제약,"81,500","500","0.62","3,231,409,500","944,305,862,500"
000640,동아쏘시오홀딩스,"147,500","2,000","1.37","2,369,758,000","688,351,672,500"
170900,동아에스티,"118,500","3,500","3.04","1,413,076,500","939,055,146,000"
003000,부광약품,"22,800","350","1.56","1,678,430,850","776,500,261,200"
008490,서흥,"50,900","1,200","2.41","566,418,050","588,867,851,700"
003520,영진약품,"2,050","15","0.74","2,584,116,675","364,121,000,000"
000100,유한양행,"243,000","-500","0.21","5,520,701,000","2,710,068,678,000"
000230,일동제약,"26,400","0","0.00","2,958,176,350","661,796,916,000"
007570,일양약품,"52,100","-900","1.70","8,828,740,000","991,055,369,600"
185750,종근당,"77,200","200","0.26","4,218,036,800","726,378,660,000"
128940,한미약품,"371,500","0","0.00","32,209,293,500","3,800,782,693,500"
