,name,year,quarter,sector,Relative Return,비유동자산 변화율,총포괄손익 변화율,특정 증권 등 소유 수 변화율,자본총계 변화율,특정 증권 등 소유 증감 수 변화율,영업이익 변화율,전체 주주 수 변화율,영업비용 변화율,매출액 변화율,Label,Code
19,CJ_Logistics,2019,Q4,산업재,0.08021112023401077,0.0012809694310091935,0.024304960918168583,0.024304960918168583,-0.003530937578351656,0.024304960918168694,0.01769495014950473,0.024304960918168694,4.006833150487656e-09,-0.09560294586942941,-0.0017239662182092497,000120
19,Doosan_Corp,2019,Q4,산업재,0.06081948000079192,-0.06250076830124329,-6.291291105645906,0.0243937289745767,-0.501530454116482,0.0243937289745767,-1.2884476764833308,0.02439372897457648,-1.16084143679382e-07,0.02439372897457681,0.0,000150
19,LG_International,2019,Q4,산업재,-0.02296518349939603,0.09602762656482078,0.024452598746376952,0.02445259874637684,0.10600409858012327,0.024452598746376952,-0.454581279723709,0.024452598746376952,7.850358187856772e-08,0.08328855302563365,-0.19427136701547346,001120
19,Korean_Air,2019,Q4,산업재,-0.18872452824854263,-0.011900668705179918,0.024776899391757867,0.025863358618587906,-0.04296919384864317,-0.012163775836800506,-0.032887197831132475,0.0270007224124309,1.5402447192221816e-09,0.10485591339545886,0.1756962305054659,003490
20,S&T_Heavy_Industries,2019,Q4,산업재,-0.12105428103139049,0.00446250993417685,0.024388271000272743,0.0,-0.007561895427703247,0.0,-2.0660948769752348,0.024388271000272743,4.948667275922297e-11,0.035202332906561495,-0.006536952897248441,003570
19,LS_Corp,2019,Q4,산업재,0.006042895650848423,-0.45178590642686056,0.023897522824559925,0.023897522824560036,-0.5147484426499476,0.023897522824560147,25.965425531914892,0.023897522824560036,0.023897522824560036,0.023897522824560036,-0.06381750155548806,006260
19,LS_Electric,2019,Q4,산업재,-0.034279291315224315,0.0327782263802846,0.024354414248131673,0.024354414248131673,-0.017402514999639296,0.024354414248131784,0.05339648230404026,0.024354414248131673,4.1062766752594313e-10,-0.3567534306805684,0.054877444344190784,010120
19,Korea_Electric_Terminal,2019,Q4,산업재,-0.28987234821011343,-0.01102841510665642,0.024388542093877752,0.024388542093877974,-0.008912955516658938,0.02438854209387764,-2.281348365433252,0.024388542093877752,-1.003928249157951e-09,-0.11933304614391305,-0.14200010361524262,025540
19,Daewoo_International,2019,Q4,산업재,0.0512526573132837,0.040746448557292925,0.024826208692577123,0.024826208692577234,0.00452473936860609,0.024826208692577123,0.37585107257101047,0.024826208692577123,1.892199260147897e-09,0.0015261726431937683,-0.10049798665421347,047050
19,Korea_Aerospace_Industries,2019,Q4,산업재,0.1199176683675252,-0.02757650293344538,0.024409297315010403,0.024409297315010292,0.015708701863142438,0.024409297315010403,-0.5787547550724159,0.024409297315010403,1.4240356029948875e-09,-0.9490173931762498,-0.20354433630997998,047810
19,KEPCO_KPS,2019,Q4,산업재,0.12543692744064866,0.01638691094263356,0.02437746567576604,0.024377465675766152,-0.08184805551081453,0.02437746567576604,-0.310842133732125,0.02437746567576604,-1.2645496557126143e-10,-0.2771373077407069,0.06701109082982004,051600
19,Hyundai_Glovis,2019,Q4,산업재,-0.015432147121317408,-0.01935104965406187,0.02413268620743092,0.02413268620743103,-0.046959364607410015,0.02413268620743103,0.08429633317122842,0.02413268620743092,-3.197375253072253e-08,-0.010432742462835431,-0.15179162033098437,086280
