,name,sector,year,quarter,이익잉여금변화율,영업이익변화율,부채총계변화율,Code
15,Yuhan_Corporation,Healthcare,2020,Q4,-0.0024466939944400856,-0.7358387096432384,0.012294946235178128,000100
15,Ildong_Pharmaceutical,Healthcare,2020,Q4,-0.595203079450001,0.28172742798894734,-0.025153971016640186,000230
15,Bukwang_Pharmaceutical,Healthcare,2020,Q4,0.016485295435521685,-9.479924827386167,-0.4748452782605439,003000
15,Youngjin_Pharmaceutical,Healthcare,2020,Q4,0.22794224394349294,-4.380484202865812,0.10480708090192603,003520
15,SK_Chemicals,Healthcare,2020,Q4,-0.0047927722432381525,-1.1778442353819658,-0.06614479303209153,006120
15,GC_Biopharma,Healthcare,2020,Q4,0.013256163149230171,1.442192343448381,0.031732622799878984,006280
15,Ilyang_Pharmaceutical,Healthcare,2020,Q4,0.3539888734115816,0.9287126840226883,0.18073919911947267,007570
15,Kwang_Dong_Pharmaceutical,Healthcare,2020,Q4,-0.009829771468710558,0.37191982539192814,-0.004748270831790524,009290
15,Daewoong_Pharmaceutical,Healthcare,2020,Q4,-0.029029225259213698,-0.2952258945170452,-0.0019080446230106407,069620
15,Huvepharma,Healthcare,2020,Q4,-0.29187348481812236,23.06616041878443,0.11684238109861056,079980
15,Hanmi_Pharmaceutical,Healthcare,2020,Q4,-0.16777872398754612,1.8308189919555513,0.08849244484385144,128940
15,KOLMAR_Korea,Healthcare,2020,Q4,-0.27942071151702796,0.9362421582066265,-0.030736092027352724,161890
15,COSMAX,Healthcare,2020,Q4,0.3372835598578001,-0.5142007989653805,-0.04227170329216068,192820
