,name,sector,year,quarter,이익잉여금변화율,영업이익변화율,부채총계변화율,Code
19,Yuhan_Corporation,Healthcare,2019,Q4,-0.00034013247637565414,-0.6691935485491838,0.00721099601692865,000100
19,Ildong_Pharmaceutical,Healthcare,2019,Q4,0.42940857929066034,-0.716430419251481,-0.001885058165532083,000230
19,Bukwang_Pharmaceutical,Healthcare,2019,Q4,-0.02073222304861866,5.797897177796358,-0.02383688567017228,003000
19,Youngjin_Pharmaceutical,Healthcare,2019,Q4,0.2219807761830318,1.1214820880270293,-0.09561161074278912,003520
19,SK_Chemicals,Healthcare,2019,Q4,-0.012366150957090705,-0.5398982322444525,0.15344022117367317,006120
19,GC_Biopharma,Healthcare,2019,Q4,0.034520063879225904,1.3750689133907565,-0.07526754484660136,006280
19,Ilyang_Pharmaceutical,Healthcare,2019,Q4,-0.23377008271149724,1.4856252223904052,0.07079563391889587,007570
19,Kwang_Dong_Pharmaceutical,Healthcare,2019,Q4,-0.011107144060980678,0.14547493190616512,-0.09957701368282601,009290
19,Daewoong_Pharmaceutical,Healthcare,2019,Q4,-0.006685331432777941,0.516539651115623,-0.005255117582696034,069620
19,Huvepharma,Healthcare,2019,Q4,0.01414337319143566,89.73173549691855,0.008445621620606136,079980
19,Hanmi_Pharmaceutical,Healthcare,2019,Q4,0.017793188954355443,0.011838000942677618,0.020230080645978754,128940
19,KOLMAR_Korea,Healthcare,2019,Q4,-0.014324751696163984,-1.0724845222863868,-0.00983787857567342,161890
19,COSMAX,Healthcare,2019,Q4,-0.03924818063190938,-0.541430670601414,-0.05742241094400269,192820
