,name,sector,year,quarter,이익잉여금변화율,영업이익변화율,부채총계변화율,Code
30,Yuhan_Corporation,Healthcare,2017,Q1,-0.0149943672897479,-0.3662888227501071,-0.07947974072247255,000100
30,Ildong_Pharmaceutical,Healthcare,2017,Q1,0.9158308087431266,1.1064858544794351,0.3996294860706482,000230
30,Bukwang_Pharmaceutical,Healthcare,2017,Q1,0.07011384805489074,0.35259518246523325,-0.06219201485205361,003000
30,Youngjin_Pharmaceutical,Healthcare,2017,Q1,-0.10927912609574042,5.205522773051126,0.04027074423297605,003520
30,SK_Chemicals,Healthcare,2017,Q1,-0.042817111136041364,-3.1316778122340914,0.045907037668394435,006120
30,GC_Biopharma,Healthcare,2017,Q1,0.01582451756007197,0.06737724017032087,-0.001273294389767532,006280
30,Ilyang_Pharmaceutical,Healthcare,2017,Q1,-0.7581086888414574,-0.024544665229047302,-0.026936554020169146,007570
30,Kwang_Dong_Pharmaceutical,Healthcare,2017,Q1,-0.009541919027780343,-0.22412221532529242,-0.0582653931355408,009290
30,Daewoong_Pharmaceutical,Healthcare,2017,Q1,0.0026674336248619923,0.3379647931271038,-0.008967587267101562,069620
30,Huvepharma,Healthcare,2017,Q1,0.038689237314474156,-463.75145961844237,-0.06634523256583491,079980
30,Hanmi_Pharmaceutical,Healthcare,2017,Q1,-0.0943110524395856,1.7853187173901768,0.15115081812970443,128940
30,KOLMAR_Korea,Healthcare,2017,Q1,-0.05951846353874335,-4.656524590918032e-05,-0.3381641559464068,161890
30,COSMAX,Healthcare,2017,Q1,0.15213669977989042,0.09442331414565208,-0.1525935646542096,192820
