,name,sector,year,quarter,이익잉여금변화율,영업이익변화율,부채총계변화율,Code
13,Yuhan_Corporation,Healthcare,2021,Q2,-0.015577889328384886,-1.2825478216712396,0.17805239540924556,000100
13,Ildong_Pharmaceutical,Healthcare,2021,Q2,0.027696129584819484,0.6182135161677034,0.018706339290387786,000230
13,Bukwang_Pharmaceutical,Healthcare,2021,Q2,-0.004189151762398646,3.0069283276793635,0.06098177443100816,003000
13,Youngjin_Pharmaceutical,Healthcare,2021,Q2,0.403091562738753,-1.511200293679845,-0.02957757102797487,003520
13,SK_Chemicals,Healthcare,2021,Q2,0.0031070200679859106,1.069714919672622,0.13751319479354362,006120
13,GC_Biopharma,Healthcare,2021,Q2,-0.0044531350860876895,-8.012323062310987,-0.016385174533803726,006280
13,Ilyang_Pharmaceutical,Healthcare,2021,Q2,-0.2899314794318726,0.6636404169420895,0.06957641955829252,007570
13,Kwang_Dong_Pharmaceutical,Healthcare,2021,Q2,-0.01438404620787992,-0.13961719393812833,-0.06488125378107856,009290
13,Daewoong_Pharmaceutical,Healthcare,2021,Q2,-0.03275500926448904,-0.3214171072040908,0.04291709657397669,069620
13,Huvepharma,Healthcare,2021,Q2,-0.024554880350748265,0.9645146318315748,0.02818482171181247,079980
13,Hanmi_Pharmaceutical,Healthcare,2021,Q2,-0.02242600034384501,0.09106682079744,0.0285540361306158,128940
13,KOLMAR_Korea,Healthcare,2021,Q2,-0.03900101200926431,-0.2670155289946907,0.08363461541570416,161890
13,COSMAX,Healthcare,2021,Q2,-0.12422569971068054,-0.2854216300599983,0.029638462015263656,192820
