,name,sector,year,quarter,이익잉여금변화율,영업이익변화율,부채총계변화율,Code
2,Yuhan_Corporation,Healthcare,2024,Q1,-0.0020405948426291953,0.04818819116899653,-0.025822204807608218,000100
2,Ildong_Pharmaceutical,Healthcare,2024,Q1,0.043207941848579234,10.53516084333588,0.00019523192043413573,000230
2,Bukwang_Pharmaceutical,Healthcare,2024,Q1,0.18427315193051652,1.2960157343626681,0.02902308133192677,003000
2,Youngjin_Pharmaceutical,Healthcare,2024,Q1,0.23082436211594637,-0.764895002850309,-0.022648705572148042,003520
2,SK_Chemicals,Healthcare,2024,Q1,0.0009549649106359581,6.776707505597457,-0.18325274216932974,006120
2,GC_Biopharma,Healthcare,2024,Q1,0.03082545277408577,0.1344080493053723,-0.07888428508164247,006280
2,Ilyang_Pharmaceutical,Healthcare,2024,Q1,0.03187125218304143,0.7595770607239202,-0.06497525549825367,007570
2,Kwang_Dong_Pharmaceutical,Healthcare,2024,Q1,-0.015857346584554843,-4.281736892097455,-0.055580383571698366,009290
2,Daewoong_Pharmaceutical,Healthcare,2024,Q1,-0.0060585491469085095,0.025537796058010542,-0.0370743860730578,069620
2,Huvepharma,Healthcare,2024,Q1,0.19082316794356557,0.7056863884388997,0.0068187212555217425,079980
2,Hanmi_Pharmaceutical,Healthcare,2024,Q1,-0.08509146838859327,0.2624184474726422,0.005727589172905501,128940
2,KOLMAR_Korea,Healthcare,2024,Q1,-0.14355603561790264,-0.2412081102502046,-0.13991002430336708,161890
2,COSMAX,Healthcare,2024,Q1,-0.551334457149872,-0.7179088117451851,-0.07320674391298332,192820
