,name,year,quarter,sector,Relative Return,이익잉여금 변화율,금리 변화율,실업률 변화율,유동자산 변화율,유동부채 변화율,영업이익 변화율,Label,Code
5,현대중공업,2023,Q3,중공업,-0.14798587932518886,0.015803688779565173,0.11207897793263655,0.03896103896103886,0.002935395515934802,0.19919384702206,1.6441175272707524,0.1893023454522152,009540
5,삼성중공업,2023,Q3,중공업,-0.1751641931331243,-0.011174575388524066,0.11207897793263655,0.03896103896103886,0.19426907847217034,0.19848767318964855,0.041880727445966714,0.01823121812080361,010140
5,현대미포조선,2023,Q3,중공업,-0.20173531899048228,0.005822317763642726,0.11207897793263655,0.03896103896103886,0.010585062636454756,0.012967590846465926,-0.8197270344191853,-0.22658134178314868,010620
5,한화테크윈,2023,Q3,중공업,0.14499271349019355,-0.03703072317741973,0.11207897793263655,0.03896103896103886,0.04565042552554255,0.043088788772486675,2.1646361777195375,0.3273648132583421,012450
5,현대엘리베이,2023,Q3,중공업,0.10904720232753652,0.03247084018688495,0.11207897793263655,0.03896103896103886,0.07163571573066085,0.047501250945367834,0.4500317744369844,-0.25861080503405154,017800
5,두산중공업,2023,Q3,중공업,-0.13384837615606848,-0.14702885447489666,0.11207897793263655,0.03896103896103886,-0.07844861903440836,-0.07585811483862004,-0.4612519639332481,0.195240635048068,034020
5,대우조선해양,2023,Q3,중공업,-0.4006493987832226,-0.06437533834429643,0.11207897793263655,0.03896103896103886,-0.06613101585317749,-0.08951896882289667,-1.3710339630398634,-0.04602264782318254,042660
5,두산인프라코어,2023,Q3,중공업,-0.29101872460617517,0.054162848573296785,0.11207897793263655,0.03896103896103886,0.007766921119617853,0.1913197682245047,-0.3315067470564532,0.022850825190454768,042670
5,현대로템,2023,Q3,중공업,-0.12349491727482162,0.213670176628459,0.11207897793263655,0.03896103896103886,0.0031019530575768783,0.10180027041643869,-0.3879378828945229,0.1508473545029226,064350
5,두산엔진,2023,Q3,중공업,-0.24622421192818306,0.02007341208721436,0.11207897793263655,0.03896103896103886,0.10619640314600032,0.15123880726566763,-0.6878104011067431,0.12567307683304893,082740
5,한진중공업,2023,Q3,중공업,-0.06081120600176866,0.002550461617670363,0.11207897793263655,0.03896103896103886,0.1687606821323986,0.008133909031762032,-0.4571626040032962,-0.20660987752872714,097230
