,name,year,quarter,sector,Relative Return,금리 변화율,유동자산 변화율,이익잉여금 변화율,자본총계 변화율,Label,Code
8,현대중공업,2022,Q4,중공업,-0.03636472058907966,0.11445954938682568,0.014992180472158445,0.014546631314012792,0.0218773991396799,0.13813599448168395,009540
8,삼성중공업,2022,Q4,중공업,-0.04737300184618838,0.11445954938682568,-0.1198162714328389,0.10558201585088822,-0.185753493062786,0.04196396712869172,010140
8,현대미포조선,2022,Q4,중공업,-0.27948332984046154,0.11445954938682568,-0.1043331958471021,-0.0918597466742973,-0.06888283064736633,0.040972294643167435,010620
8,한화테크윈,2022,Q4,중공업,0.3113547396980872,0.11445954938682568,1.0911517629129088,0.043060641071014816,0.1512685522842787,0.08066978507345099,012450
8,현대엘리베이,2022,Q4,중공업,-0.024815802144115995,0.11445954938682568,-0.0003637885190959089,0.07420354074698032,-0.002375955805313912,0.5753496570938968,017800
8,두산중공업,2022,Q4,중공업,0.062203017359733444,0.11445954938682568,-0.1486154594434137,5.22768962097431,-0.12846791981435002,-0.1538476240086925,034020
8,대우조선해양,2022,Q4,중공업,0.17984957799043527,0.11445954938682568,0.027587555618454163,0.1871692353985186,-0.1964268480850061,0.09363447692183444,042660
8,두산인프라코어,2022,Q4,중공업,0.0655944428706901,0.11445954938682568,-0.04408492172015133,0.05403656125967515,0.10806698218441668,0.24954563002999428,042670
8,현대로템,2022,Q4,중공업,0.015380278662781301,0.11445954938682568,0.2411045450263396,-62.472771710748965,0.11059902566296942,0.2726016443656294,064350
8,두산엔진,2022,Q4,중공업,0.07591808845926926,0.11445954938682568,-0.12887437306958616,0.02905017728094661,-0.013961085577974042,0.05311597503576032,082740
8,한진중공업,2022,Q4,중공업,-0.013252759654927178,0.11445954938682568,0.5554562262098968,0.003743302913495894,-0.00579246257098609,-0.051167895000215305,097230
