,name,year,quarter,sector,Relative Return,금리 변화율,유동자산 변화율,이익잉여금 변화율,비유동자산 변화율,자본총계 변화율,소비자물가지수 변화율,Label,Code
34,현대중공업,2016,Q2,중공업,0.30707160652611776,-0.08606485539000996,-0.02176884354010622,0.008274508032228178,0.044725410519394604,0.09743375813169353,-0.027027232119385514,0.05501709048547251,009540
34,삼성중공업,2016,Q2,중공업,-0.05073426959654201,-0.08606485539000996,-0.0447423910644299,-0.037792203342606356,-0.021032418811146925,-0.031792631301902685,-0.027027232119385514,0.12193879833170787,010140
34,현대미포조선,2016,Q2,중공업,0.12352861010544332,-0.08606485539000996,0.06084286941827166,0.07705193894539986,0.018448484337108884,0.14159877662706144,-0.027027232119385514,-0.20250429185804758,010620
34,한화테크윈,2016,Q2,중공업,0.22504868852247512,-0.08606485539000996,-0.15839136140694676,0.028050393446336974,0.41853615549823986,0.03164113197955176,-0.027027232119385514,-0.1312677818950058,012450
34,현대엘리베이,2016,Q2,중공업,0.016276732456174878,-0.08606485539000996,-0.022442113097338456,0.6615879993186664,0.14992560238787855,0.047230725206144575,-0.027027232119385514,-0.009155151601217167,017800
34,두산중공업,2016,Q2,중공업,0.1378535400344948,-0.08606485539000996,-0.09309953512640967,0.00515292108366916,0.05336247737818933,0.036384417480324505,-0.027027232119385514,0.010496060985617686,034020
34,대우조선해양,2016,Q2,중공업,-0.13829224591521272,-0.08606485539000996,-0.035318874760743024,1.5099529295759533,-0.20689737444123135,-3.0767494994153344,-0.027027232119385514,0.0,042660
34,두산인프라코어,2016,Q2,중공업,0.25712058863751125,-0.08606485539000996,-0.37775643706165174,-3.618092924479357,0.031499828438976474,0.09131161512205987,-0.027027232119385514,0.00431737201593998,042670
34,현대로템,2016,Q2,중공업,0.3009329451592211,-0.08606485539000996,-0.03058206404533137,0.0390200909687719,-0.06743336762398666,0.014946688170337508,-0.027027232119385514,-0.13135165542036203,064350
34,두산엔진,2016,Q2,중공업,0.22535239893459713,-0.08606485539000996,-0.05504480333921735,7.956959310350099,0.32808364283194025,0.5430113885636416,-0.027027232119385514,-0.19157843471200448,082740
34,한진중공업,2016,Q2,중공업,0.16926032076743514,-0.08606485539000996,-0.18128817013385767,-2.6210119840213046,-0.04952976232951367,-0.07077273194064126,-0.027027232119385514,-0.1230983132457033,097230
