,name,year,quarter,sector,Relative Return,이익잉여금 변화율,법인세차감전 순이익 변화율,매출액 변화율,비유동부채 변화율,영업이익 변화율,자본총계 변화율,Label,Code
23,현대중공업,2019,Q3,중공업,0.09847951844903076,-0.0006264558783983798,-1.3002845150282796,-0.9812881376541486,0.18689356149810332,-1.4506549157309534,-0.0009857176845046167,-0.23283063682773733,009540
23,삼성중공업,2019,Q3,중공업,-0.07738286074076976,-0.26854599881736807,1.0528861058225103,0.10677990771740498,0.15661036591656718,9.894211697592908,-0.08786573451582713,-0.3120135736612074,010140
23,현대미포조선,2019,Q3,중공업,0.002390528022572974,0.012015905488688583,0.39657405293108927,-0.1267333315080249,0.37399933980726074,-0.307971238982105,0.009382134815770993,-0.2232468742066782,010620
23,한화테크윈,2019,Q3,중공업,-0.036146008977129565,0.010742867073479268,-0.5378250503115406,0.02162126967582978,0.23599861551142798,0.5544999432620548,0.0072779959832178776,-0.2879498122818621,012450
23,현대엘리베이,2019,Q3,중공업,-0.12008885886120985,0.047769969704730686,-2.337918890400329,0.00034945760617199895,-0.49861807331404395,-0.1869014837319264,0.01300915442213646,-0.0861384514158583,017800
23,두산중공업,2019,Q3,중공업,-0.05537702880235898,-0.1569984614371036,3.5231791825205248,-0.1541772224466259,-0.3192742485268484,-1.7500694594508177,-0.02610506511189048,-0.21488000724328024,034020
23,대우조선해양,2019,Q3,중공업,0.06014989926280799,-0.3449530086852779,-3.3288268429563392,-0.10754927336706799,0.025839369252833144,-2.5270265878978897,-0.07472983412456025,-0.33360290159545936,042660
23,두산인프라코어,2019,Q3,중공업,-0.1328371482176359,0.0989393859992993,-0.13358039928815613,-0.1672896848886164,-0.530058940720822,-0.5596625691064483,0.013136076161556876,-0.06501527200706506,042670
23,현대로템,2019,Q3,중공업,-0.0963121482176359,-0.9477945865902585,0.050082686790728026,-0.017262920006673066,0.27698333334615466,0.036598630875237737,-0.11678998044161126,0.1434227179763421,064350
23,두산엔진,2019,Q3,중공업,0.4556289310775183,2.0181293417650137,-0.5810161582029811,-0.05762461422818266,-0.35538789860048503,-1.117688950112255,-0.014932762327716786,-0.23618626670510637,082740
23,한진중공업,2019,Q3,중공업,0.01947564906435731,0.023422965759566594,-0.788829215896885,0.051724834003062936,-0.007689968235373601,-9.472727272727273,-0.12497001880925229,0.2977437056306631,097230
