,name,year,quarter,sector,Relative Return,금리 변화율,유동자산 변화율,자본총계 변화율,이익잉여금 변화율,Label,Code
20,현대중공업,2019,Q4,중공업,-0.1571627311565927,0.191387559808615,-0.002767347944765519,-0.0020460802046146087,-0.002224376667508854,-0.09312276899184964,009540
20,삼성중공업,2019,Q4,중공업,-0.291525323445354,0.191387559808615,-0.14391675671534454,-0.08044187868258024,-0.21060025485548162,0.029150752017224196,010140
20,현대미포조선,2019,Q4,중공업,-0.21085323187779612,0.191387559808615,-0.03992998742410614,-0.003259694466297147,-0.0031294411705028446,0.015781696221026792,010620
20,한화테크윈,2019,Q4,중공업,-0.3082987403588092,0.191387559808615,0.02290140945338015,-1.9924198380483205e-05,2.1831117209547557e-06,0.11959121594945432,012450
20,현대엘리베이,2019,Q4,중공업,-0.1495381476043766,0.191387559808615,0.33713678908662903,0.0245875682711012,0.08729088545637897,0.12534774252455733,017800
20,두산중공업,2019,Q4,중공업,-0.200533799474666,0.191387559808615,-0.19428730678410921,-0.24626491876398404,-1.557273800363779,-0.015470668086628267,034020
20,대우조선해양,2019,Q4,중공업,-0.36940018108676353,0.191387559808615,-0.02882308883281337,-0.034424726335589684,-0.2277329249625213,0.17257984387283298,042660
20,두산인프라코어,2019,Q4,중공업,-0.2919342603118671,0.191387559808615,-0.1719090936313794,-0.017268312669967978,-0.2779389612345645,0.4928332976780979,042670
20,현대로템,2019,Q4,중공업,-0.16266997753340431,0.191387559808615,-0.012300940533558458,-0.09582913542832383,-37.84764229352765,0.5236218873136451,064350
20,두산엔진,2019,Q4,중공업,-0.31651613137955814,0.191387559808615,-0.04142574858816872,-0.1500356955788522,6.617558159463166,0.2631350433569826,082740
20,한진중공업,2019,Q4,중공업,0.010169528639435182,0.191387559808615,0.1190090757228719,0.18909353209906232,-0.02997609854199601,0.3110660471802244,097230
