,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,부채총계 변화율,수출액 변화율,국제유가 변화율,영업이익 변화율,Label,Code
19,유한양행,2020,Q1,헬스케어,0.05294228616675725,25.4905745174538,0.1130662665249671,0.01797680704196325,-0.20454187036744997,-0.5233323382591968,-0.0026108399483019684,000100
19,일동제약,2020,Q1,헬스케어,0.1708108043303641,-1.0200754267737449,0.0037701857695260355,0.01797680704196325,-0.20454187036744997,-0.1207877319118349,-0.2223163771295673,000230
19,동아쏘시오홀딩스,2020,Q1,헬스케어,-0.01520887294945869,-3.059742908327323,0.03856642264530752,0.01797680704196325,-0.20454187036744997,-6.011531956488695,-0.017716125577534908,000640
19,부광약품,2020,Q1,헬스케어,0.33822603827409736,-1.0987956229958382,1.2792011101861918,0.01797680704196325,-0.20454187036744997,-0.8418805226893898,0.10918016424452176,003000
19,영진약품,2020,Q1,헬스케어,0.07283381172024125,-1.6098826531609407,0.005506718399632016,0.01797680704196325,-0.20454187036744997,-6.543612207908114,-0.05310060968676805,003520
19,녹십자,2020,Q1,헬스케어,0.12251460977212217,-1.0928237843011845,0.014248415509951595,0.01797680704196325,-0.20454187036744997,-1.4525368525367468,0.6001770903150403,006280
19,일양약품,2020,Q1,헬스케어,0.012445188284518849,0.06679333435745916,0.023752480110169616,0.01797680704196325,-0.20454187036744997,-2.336348320834239,1.1250055987211747,007570
19,서흥,2020,Q1,헬스케어,0.31011104855083893,0.5875899763709007,0.027195196006369216,0.01797680704196325,-0.20454187036744997,0.7475937250920157,-0.06201710193667512,008490
19,광동제약,2020,Q1,헬스케어,0.22469194663422415,1.1114126815651857,-0.05655125449072318,0.01797680704196325,-0.20454187036744997,0.4110698454014192,0.06510587803462331,009290
19,대웅제약,2020,Q1,헬스케어,0.19327775825907356,-1.366161094239583,-0.0059225088067493825,0.01797680704196325,-0.20454187036744997,-0.07627982563874547,-0.19150606594542435,069620
19,한미약품,2020,Q1,헬스케어,-0.08863229393828863,-0.551658061872308,0.05852350506519466,0.01797680704196325,-0.20454187036744997,-0.0819277400642322,-0.009742006283337712,128940
19,동아에스티,2020,Q1,헬스케어,0.03913915501463555,2.4149529348780017,0.027150495093380522,0.01797680704196325,-0.20454187036744997,9.461814122949283,-0.1656770632199041,170900
19,종근당,2020,Q1,헬스케어,0.2622179475173498,0.1286552684390434,0.07054963080979837,0.01797680704196325,-0.20454187036744997,0.23950098808206244,0.3684488911853843,185750
