,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,소비자물가지수 변화율,비유동부채 변화율,유동부채 변화율,부채총계 변화율,Label,Code
27,유한양행,2018,Q1,헬스케어,0.04101083704832133,0.5091124110012684,0.020100821409697378,-0.2528409114579355,0.15290000772492962,0.1658840027425248,0.1627853693583634,0.06181745260227466,000100
27,일동제약,2018,Q1,헬스케어,-0.0034007412722550645,-3.168248830000466,0.010536696927416767,-0.2528409114579355,0.011749495694306722,0.11955139130338144,0.07249226597951575,0.0011942483959284655,000230
27,동아쏘시오홀딩스,2018,Q1,헬스케어,-0.12669692296768342,-38.1620091843105,0.02373212310077366,-0.2528409114579355,-0.008811955378516645,0.03767227997144107,0.018859014686704034,-0.060745958449324094,000640
27,부광약품,2018,Q1,헬스케어,0.09088692464583024,0.12278194312648427,-0.018838895094074326,-0.2528409114579355,0.32812450026785345,0.0493931878166507,0.12042489959511027,-0.08952205849758871,003000
27,영진약품,2018,Q1,헬스케어,0.025803151741293075,-1.3202261946690557,0.019365657972167938,-0.2528409114579355,-0.030145774675137682,-0.08491964744347646,-0.05452113923190505,-0.05026423737245739,003520
27,녹십자,2018,Q1,헬스케어,0.08538803569428728,-7.988379887741887,0.01768637450287991,-0.2528409114579355,0.014567592184416611,-0.10593484891693039,-0.034399724147420985,-0.1078080970215802,006280
27,일양약품,2018,Q1,헬스케어,-0.026526373991276164,10.111000543729464,-1.4423815577428798,-0.2528409114579355,0.837181073096372,-0.08969163237087463,-0.009385892777734939,-0.1165315600531816,007570
27,서흥,2018,Q1,헬스케어,0.06068375819570552,-11.773956769018714,0.02106395705020736,-0.2528409114579355,-0.05054850275479006,0.09820812259247114,0.0547652597412811,-0.06473727727885197,008490
27,광동제약,2018,Q1,헬스케어,-0.0014642845314028958,1.1802505499215914,0.011010640968224905,-0.2528409114579355,-0.04434082503139691,0.04159731022825652,0.032645959641888656,-0.09274581500862553,009290
27,대웅제약,2018,Q1,헬스케어,-0.031720595904997845,2.86233825927862,0.011261712214872377,-0.2528409114579355,-5.588525795507948e-05,0.036311356305094744,0.015113021797393822,0.03403901863627715,069620
27,한미약품,2018,Q1,헬스케어,-0.09594763606609717,-3.851889172007717,-0.05488900297626176,-0.2528409114579355,0.1108508499287475,0.011118470644446043,0.03728816887104669,0.04667889320858402,128940
27,동아에스티,2018,Q1,헬스케어,-0.11209688354631328,-1.7099060917234221,0.03380285512224557,-0.2528409114579355,0.5017209160828648,0.021293571035555292,0.1705522550038796,0.061285453528211464,170900
27,종근당,2018,Q1,헬스케어,-0.12446704544380001,-0.37215331464928403,-0.04531014760786689,-0.2528409114579355,-0.050583448168589173,0.0646025002183972,0.04709766362678014,0.021126053769131514,185750
