,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,금리 변화율,실업률 변화율,기말 소유주식 수 변화율,소비자물가지수 변화율,유통주식수 변화율,Label,Code
25,CJ대한통운,2018,Q3,산업재,0.11571023203286286,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,0.07043111948977278,000120
25,두산,2018,Q3,산업재,0.2813772335036169,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,-0.30989866906136915,000150
25,LG상사,2018,Q3,산업재,-0.22248022226883024,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,-0.02870096063856419,001120
25,대한항공,2018,Q3,산업재,0.12495020537271037,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,0.05916233969037817,003490
25,S&T중공업,2018,Q3,산업재,0.08716642462338153,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,0.10331555535117505,003570
25,LS,2018,Q3,산업재,-0.14615924572539346,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,-0.060650721129957924,006260
25,LS산전,2018,Q3,산업재,-0.24531077979904248,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,-0.020304365285447098,010120
25,현대상선,2018,Q3,산업재,-0.0778137709005156,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,-0.11673145047657724,011200
25,한국단자,2018,Q3,산업재,-0.1721078513440587,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,0.6870521827515407,025540
25,대우인터내셔널,2018,Q3,산업재,0.1684108036867166,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,-0.10590625140546793,047050
25,한국항공우주,2018,Q3,산업재,-0.08890511711530323,0.04862249558439591,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,0.0739380664375445,047810
25,한전KPS,2018,Q3,산업재,-0.1550786282296816,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,0.219485130318002,051600
25,현대글로비스,2018,Q3,산업재,-0.003821716985839413,0.0,-0.09246405552800974,0.11607142857142883,0.0,0.0442397512820667,0.0,0.045244140944131386,086280
