,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,금리 변화율,실업률 변화율,기말 소유주식 수 변화율,소비자물가지수 변화율,유통주식수 변화율,Label,Code
26,CJ대한통운,2018,Q2,산업재,-0.08753989778786372,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,0.11571023203286286,000120
26,두산,2018,Q2,산업재,-0.031583011954693416,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,0.2813772335036169,000150
26,LG상사,2018,Q2,산업재,-0.1822205925842355,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,-0.22248022226883024,001120
26,대한항공,2018,Q2,산업재,-0.10501069971367774,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,0.12495020537271037,003490
26,S&T중공업,2018,Q2,산업재,0.011079778303015292,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,0.08716642462338153,003570
26,LS,2018,Q2,산업재,-0.1178274543580107,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,-0.14615924572539346,006260
26,LS산전,2018,Q2,산업재,-0.05297483287324756,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,-0.24531077979904248,010120
26,현대상선,2018,Q2,산업재,-0.16784359577912367,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,-0.0778137709005156,011200
26,한국단자,2018,Q2,산업재,-0.002398730100561658,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,-0.1721078513440587,025540
26,대우인터내셔널,2018,Q2,산업재,-0.23668002238205516,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,0.1684108036867166,047050
26,한국항공우주,2018,Q2,산업재,-0.04013272579782187,0.022631028297926514,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,-0.08890511711530323,047810
26,한전KPS,2018,Q2,산업재,-0.10144173065521384,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,-0.1550786282296816,051600
26,현대글로비스,2018,Q2,산업재,-0.1399970633697557,0.0,-0.0044422507403751865,0.009009009009008917,0.0,0.3971853095173552,0.0,-0.003821716985839413,086280
