file,url
../data_kr/video\text\정보기술\008060\2021-Q3-09-3.txt,https://www.youtube.com/watch?v=DUNeskbU8BU
../data_kr/video\text\정보기술\009150\2021-Q2-04-2.txt,https://www.youtube.com/watch?v=1oRsIyewJxw
../data_kr/video\text\정보기술\009150\2021-Q3-08-4.txt,https://www.youtube.com/watch?v=VxE8hcQjSic
../data_kr/video\text\정보기술\009150\2021-Q4-11-1.txt,https://www.youtube.com/watch?v=6pdqkiDWUnE
../data_kr/video\text\정보기술\009150\2021-Q4-12-3.txt,https://www.youtube.com/watch?v=PLs9uCGE5X0
../data_kr/video\text\정보기술\009150\2022-Q1-02-2.txt,https://www.youtube.com/watch?v=rf7MQnc-buc
../data_kr/video\text\정보기술\009150\2022-Q3-07-2.txt,https://www.youtube.com/watch?v=GOgVRV8Guxg
../data_kr/video\text\정보기술\009150\2022-Q3-08-1.txt,https://www.youtube.com/watch?v=own8J2r6zKI
../data_kr/video\text\정보기술\009150\2022-Q3-09-3.txt,https://www.youtube.com/watch?v=-BXm4-bREWo
../data_kr/video\text\정보기술\009150\2022-Q4-11-4.txt,https://www.youtube.com/watch?v=CM1NjzqkQYw
../data_kr/video\text\정보기술\009150\2023-Q1-01-1.txt,https://www.youtube.com/watch?v=W9o7uWLOd1U
../data_kr/video\text\정보기술\009150\2023-Q2-06-1.txt,https://www.youtube.com/watch?v=uVp0JvPwivo
../data_kr/video\text\정보기술\009150\2023-Q3-08-3.txt,https://www.youtube.com/watch?v=OVs6oBCu6Oc
../data_kr/video\text\정보기술\009150\2023-Q4-12-3.txt,https://www.youtube.com/watch?v=--1NBvzdPoo
../data_kr/video\text\정보기술\009150\2025-Q1-01-1.txt,https://www.youtube.com/watch?v=xECz6mhZCAM
../data_kr/video\text\정보기술\011070\2021-Q3-07-3.txt,https://www.youtube.com/watch?v=sNOIng2I5SM
../data_kr/video\text\정보기술\011070\2021-Q3-08-1.txt,https://www.youtube.com/watch?v=siLqEKFhI_s
../data_kr/video\text\정보기술\011070\2021-Q3-08-3.txt,https://www.youtube.com/watch?v=NYS7pk-xgV0
../data_kr/video\text\정보기술\011070\2021-Q4-12-1.txt,https://www.youtube.com/watch?v=YoAd3ny7LDc
../data_kr/video\text\정보기술\011070\2022-Q1-02-2.txt,https://www.youtube.com/watch?v=YB73PLt_7lg
../data_kr/video\text\정보기술\011070\2022-Q4-11-1.txt,https://www.youtube.com/watch?v=84RALnJ2oFo
../data_kr/video\text\정보기술\011070\2023-Q2-05-1.txt,https://www.youtube.com/watch?v=CH_1suMOz1o
../data_kr/video\text\정보기술\011070\2023-Q3-07-2.txt,https://www.youtube.com/watch?v=21URxEPRgaI
../data_kr/video\text\정보기술\011070\2023-Q4-11-4.txt,https://www.youtube.com/watch?v=OeNMJ2yoQbc
../data_kr/video\text\정보기술\011070\2024-Q2-06-3.txt,https://www.youtube.com/watch?v=YEdqMMooJ7k
../data_kr/video\text\정보기술\011070\2024-Q4-12-1.txt,https://www.youtube.com/watch?v=3fq4MQ1GquM
