,year,quarter,month,week,code,name,sector,url,category,upload_dt,filtering
0,2021,Q1,1,1,120,CJ대한통운,산업재,https://www.hankyung.com/article/2021010647667,article,2021-01-06,after:2021-01-01 before:2021-01-07
1,2021,Q1,1,2,120,CJ대한통운,산업재,https://www.kmib.co.kr/article/view.asp?arcid=0015418343,article,2021-01-12,after:2021-01-08 before:2021-01-14
2,2021,Q1,1,3,120,CJ대한통운,산업재,https://www.newsway.co.kr/news/view?ud=2021011807491899094,article,2021-01-19,after:2021-01-15 before:2021-01-21
3,2021,Q1,1,4,120,CJ대한통운,산업재,https://news.sbs.co.kr/news/endPage.do?news_id=N1006186704,article,2021-01-27,after:2021-01-22 before:2021-01-31
4,2021,Q1,2,1,120,CJ대한통운,산업재,https://www.hankyung.com/article/2021020479157,article,2021-02-04,after:2021-02-01 before:2021-02-07
5,2021,Q1,2,2,120,CJ대한통운,산업재,https://www.edaily.co.kr/News/Read?newsId=01548166628948880&mediaCodeNo=257,article,2021-02-09,after:2021-02-08 before:2021-02-14
6,2021,Q1,2,3,120,CJ대한통운,산업재,https://www.joongang.co.kr/article/23992609,article,2021-02-16,after:2021-02-15 before:2021-02-21
7,2021,Q1,2,4,120,CJ대한통운,산업재,https://www.edaily.co.kr/News/Read?newsId=04532966628953800&mediaCodeNo=257,article,2021-02-24,after:2021-02-22 before:2021-02-28
8,2021,Q1,3,1,120,CJ대한통운,산업재,https://www.joongang.co.kr/article/24004632,article,2021-03-04,after:2021-03-01 before:2021-03-07
9,2021,Q1,3,2,120,CJ대한통운,산업재,,,,after:2021-03-08 before:2021-03-14
10,2021,Q1,3,3,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=P6wmR148WI8,video,2021-03-16,after:2021-03-15 before:2021-03-21
11,2021,Q1,3,4,120,CJ대한통운,산업재,https://www.hankyung.com/article/2021032532581,article,2021-03-25,after:2021-03-22 before:2021-03-31
12,2021,Q2,4,1,120,CJ대한통운,산업재,,,,after:2021-04-01 before:2021-04-07
13,2021,Q2,4,2,120,CJ대한통운,산업재,https://news.kbs.co.kr/news/view.do?ncd=5157531,article,,after:2021-04-08 before:2021-04-14
14,2021,Q2,4,3,120,CJ대한통운,산업재,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002737196,article,2021-04-21,after:2021-04-15 before:2021-04-21
15,2021,Q2,4,4,120,CJ대한통운,산업재,https://mbnmoney.mbn.co.kr/news/view?news_no=MM1004325187,article,,after:2021-04-22 before:2021-04-30
16,2021,Q2,5,1,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=js_LpFwLVEg,video,2021-05-07,after:2021-05-01 before:2021-05-07
17,2021,Q2,5,2,120,CJ대한통운,산업재,https://www.fnnews.com/news/202105141627043384,article,2021-05-16,after:2021-05-08 before:2021-05-14
18,2021,Q2,5,3,120,CJ대한통운,산업재,https://www.hankyung.com/article/202105167605i,article,2021-05-16,after:2021-05-15 before:2021-05-21
