,name,sector,year,quarter,Relative Return,영업이익 변화율,이익잉여금 변화율,환율 변화율,금리 변화율,전체 주식 수 변화율,전체 주주 수 변화율,1인평균급여 변화율,발행금액 변화율,자기주식수 변화율,Label,Code
22,Yuhan_Corporation,제약,2019,Q1,0.018030783106653556,-0.8376297898598386,-0.009790877963220312,0.0016632023276192953,0.09282764948769218,0.09877036022635266,0.09877036022635277,0.3157888826024139,0.20399806584937819,-1.024722850457442,0.11530193030160116,000100
22,Ildong_Pharmaceutical,제약,2019,Q1,0.05364849015381312,-5.735873827668296,-0.10817160534144632,0.0016632023276192953,0.09282764948769218,0.09882076957008268,0.09882076957008279,0.27549792822878927,0.5877733742153153,0.14964115159894054,-0.11037221640146783,000230
22,Bukwang_Pharmaceutical,제약,2019,Q1,0.2960884820299768,-1.7041520617731534,0.03747494793978423,0.0016632023276192953,0.09282764948769218,0.09882038364796963,0.09882038364796952,0.17971182605441272,-1.7895347131751214,0.09882038364796963,-0.29487184896336216,003000
22,Youngjin_Pharmaceutical,제약,2019,Q1,-0.1641516459148492,-0.12959422761937156,-0.18245073499254816,0.0016632023276192953,0.09282764948769218,0.09882115346865283,0.09882115346865283,0.17642886409795666,-0.18583680770790645,0.2156715313660631,0.058295474253877884,003520
22,GC_Biopharma,제약,2019,Q1,-0.09384920550564724,1.0747454764131863,0.011706630464668022,0.0016632023276192953,0.09282764948769218,0.09879674445052156,0.09879674445052145,0.3097990796264676,0.09879674445052145,0.422999088099417,0.012642396050882874,006280
22,Ilyang_Pharmaceutical,제약,2019,Q1,-0.11224428029687059,1.728942980165685,1.272233523712709,0.0016632023276192953,0.09282764948769218,0.09882030973739375,0.09882030973739386,0.44021827558488447,0.5491446921429819,0.3580488913218336,-0.015561575068250698,007570
22,Kwang_Dong_Pharmaceutical,제약,2019,Q1,0.020832409175967445,-0.7946217257846748,-0.014690855878285447,0.0016632023276192953,0.09282764948769218,0.09881686757343988,0.09881686757343988,0.42193181254353374,0.0,0.4101446894433831,-0.03969795228003149,009290
22,Daewoong_Pharmaceutical,제약,2019,Q1,0.11044279878635704,-1.1750532527781696,0.0037913216808720396,0.0016632023276192953,0.09282764948769218,0.0988111159576065,0.09881111595760639,0.40873025432150034,0.0,0.5873841533402598,-0.08143655131753819,069620
22,Hanmi_Pharmaceutical,제약,2019,Q1,0.07700843966658386,-0.07526276184231517,0.03193143253493114,0.0016632023276192953,0.09282764948769218,0.0987923895778926,0.0987923895778926,0.21736449182213158,-14918.462084288294,0.05430538657800832,-0.06390525350047492,128940
22,Dong-A_ST,제약,2019,Q1,0.1033175154093822,-33.17561802806349,-0.12361768420059271,0.0016632023276192953,0.09282764948769218,0.09881216589255648,0.09881216589255648,0.37999820022035835,0.4313980792436358,-2.878102913516823,-0.1273734382187521,170900
22,Jongkundang,제약,2019,Q1,0.030228893259984346,0.12758654501115463,-0.0158284624263354,0.0016632023276192953,0.09282764948769218,0.0988164802695336,0.09881648026953371,0.3139127127570285,0.5165943500894137,-0.6713309978409718,-0.049805676802903265,185750
