,name,sector,year,quarter,Relative Return,영업이익 변화율,이익잉여금 변화율,환율 변화율,금리 변화율,전체 주식 수 변화율,전체 주주 수 변화율,1인평균급여 변화율,발행금액 변화율,자기주식수 변화율,Label,Code
19,Yuhan_Corporation,제약,2019,Q4,-0.09611474277102672,-0.6691935485491838,-0.00034013247637565414,0.015711916865137066,-0.191387559808615,0.024379337779646293,0.024379337779646293,-0.6798326241926946,-0.2032635721191578,0.5104368480753143,0.01395351485548639,000100
19,Ildong_Pharmaceutical,제약,2019,Q4,-0.12400156074301194,-0.716430419251481,0.42940857929066034,0.015711916865137066,-0.191387559808615,0.024390787112093748,0.02439078711209386,-0.5334877998160146,0.22553215581042652,-0.13478367297807714,-0.02711775645954778,000230
19,Bukwang_Pharmaceutical,제약,2019,Q4,-0.18689644801772223,5.797897177796358,-0.02073222304861866,0.015711916865137066,-0.191387559808615,0.024389683770675297,0.024389683770675297,-0.19188647486217447,0.6566549010488074,-0.41274768709722776,0.00504861827317897,003000
19,Youngjin_Pharmaceutical,제약,2019,Q4,-0.051664265106721105,1.1214820880270293,0.2219807761830318,0.015711916865137066,-0.191387559808615,0.024390244330172894,0.024390244330172894,-0.195251174294089,-0.6003274373645253,-0.22555775165764502,0.3377522490000713,003520
19,GC_Biopharma,제약,2019,Q4,-0.05186632612914989,1.3750689133907565,0.034520063879225904,0.015711916865137066,-0.191387559808615,0.024382412615613136,0.024382412615613136,-0.5316643344604062,0.024382412615613136,-0.6599027246133595,0.09817804560161497,006280
19,Ilyang_Pharmaceutical,제약,2019,Q4,-0.19282188964110436,1.4856252223904052,-0.23377008271149724,0.015711916865137066,-0.191387559808615,0.024390497238424902,0.024390497238424902,-0.6960925881310693,-1.1243402316541768,-0.4919673105754514,0.05029995322194469,007570
19,Kwang_Dong_Pharmaceutical,제약,2019,Q4,-0.07113887385791881,0.14547493190616512,-0.011107144060980678,0.015711916865137066,-0.191387559808615,0.024387994942608793,0.024387994942608793,-0.58781102086564,0.0,-0.7033308149448563,-0.08480499274646762,009290
19,Daewoong_Pharmaceutical,제약,2019,Q4,0.008358028513369377,0.516539651115623,-0.006685331432777941,0.015711916865137066,-0.191387559808615,0.024386891353554763,0.024386891353554874,-0.5684339772678435,0.0,-1.3212221739398413,-0.16379229958973474,069620
19,Hanmi_Pharmaceutical,제약,2019,Q4,-0.30275770692915244,0.011838000942677618,0.017793188954355443,0.015711916865137066,-0.191387559808615,0.02438905433011096,0.02438905433011107,-0.27195806749165086,0.999991008942915,-0.16051681592243527,0.007771344494923449,128940
19,Dong-A_ST,제약,2019,Q4,-0.16187873445382428,0.7647375930962698,-0.08324770291364403,0.015711916865137066,-0.191387559808615,0.024390988121166135,0.024390988121166024,-0.4928575062024678,-0.672809918337065,0.7530317652397085,0.340603210756582,170900
19,Jongkundang,제약,2019,Q4,-0.08638141693293301,-0.039193397335047564,-0.102299123313214,0.015711916865137066,-0.191387559808615,0.024386449221712292,0.024386449221712292,-0.6164039991374044,-0.9812920028192367,0.3853798296843054,0.13892228105685608,185750
