,name,sector,year,quarter,영업이익변화율,이익잉여금변화율,매출액변화율,부채총계변화율,자본총계변화율,Relative Return,전체 주식 수변화율,주식액면가액변화율,1인평균급여변화율,증자주식수변화율,Label,Code
15,Yuhan_Corporation,제약,2020,Q4,-0.7358387096432384,-0.0024466939944400856,-0.05501863066047319,0.012294946235178128,0.00622457358967532,0.1609598366697684,-0.5901335165739574,0.654791511028487,-0.21674372507175788,-1.2602609124550828,-0.036603733674933026,000100
15,Ildong_Pharmaceutical,제약,2020,Q4,0.28172742798894734,-0.595203079450001,-0.08519496917828495,-0.025153971016640186,-0.10782742825011304,-0.08641149389845251,-0.40312695378470664,-0.07186146362507251,-0.260786603002056,-0.2867577046732954,0.23848673988851743,000230
15,Bukwang_Pharmaceutical,제약,2020,Q4,-9.479924827386167,0.016485295435521685,-0.25070447724766365,-0.4748452782605439,0.01650199429962551,-0.2550501603093831,-0.24437694750327044,-0.04685565444626261,-0.10572484580890107,-0.17165546232529905,-0.19312211219701458,003000
15,Youngjin_Pharmaceutical,제약,2020,Q4,-4.380484202865812,0.22794224394349294,-0.014849455485390184,0.10480708090192603,0.031029783972061686,0.37362533851407054,-0.2773856827354306,-0.08831796986878238,-0.18769390129442343,0.6976956805709755,-0.29776639804660526,003520
15,GC_Biopharma,제약,2020,Q4,1.442192343448381,0.013256163149230171,0.022720005859362846,0.031732622799878984,0.007734591581168848,0.38856402301797244,-0.5610630362783737,0.062130755033545926,-0.19476731005357917,0.06213075503354559,0.5675254954397587,006280
15,Ilyang_Pharmaceutical,제약,2020,Q4,0.9287126840226883,0.3539888734115816,0.30404889855521977,0.18073919911947267,0.012571612133073007,0.13868495489561533,-1.0877150668205346,-0.46204213547359063,-0.3996276632064908,0.23007234079255567,-0.4284782404445421,007570
15,Kwang_Dong_Pharmaceutical,제약,2020,Q4,0.37191982539192814,-0.009829771468710558,0.09905927188672847,-0.004748270831790524,-0.005810748460341797,0.285682076102723,-0.39093394194498243,0.0,-0.07265730553325067,0.0,-0.213405418311128,009290
15,Daewoong_Pharmaceutical,제약,2020,Q4,-0.2952258945170452,-0.029029225259213698,0.029833222557894445,-0.0019080446230106407,-0.022523194957870585,-0.2695119163878903,-0.518978459278912,-0.21832720208454726,-0.17730589173155864,-0.2183272020845468,0.27769011524639575,069620
15,Hanmi_Pharmaceutical,제약,2020,Q4,1.8308189919555513,-0.16777872398754612,0.07641710782558586,0.08849244484385144,-0.03626203303420117,0.023296045833575307,-0.48266980118911684,1.000061903033108,-0.03713333405157582,0.1678406873438425,0.0977661064338195,128940
15,Dong-A_ST,제약,2020,Q4,3.4158743268990492,0.11626080350047174,0.11921011913852197,0.011810758382100217,0.04311926704125868,-0.029946274471157663,-0.5363945366505438,-0.15057530418295362,-0.17905089699084153,0.5502152294233175,-0.31862385961609946,170900
15,Jongkundang,제약,2020,Q4,0.6764435324388038,-0.04028401429718076,0.05713390752479541,0.05883409025431374,-0.013571556048450173,0.41609483683748194,-0.496744164278768,-0.33792989288583275,-0.19589201747548413,-0.3106891755108596,0.15618979649415798,185750
