year,quarter,disclosure_date,code,name,sector,prediction,reason
2016,Q1,2016-05-16,9150,삼성전기,정보기술,up,"요약본에서는 삼성전기가 나노 크리스탈 기반 복합 시트 안테나를 공급하여 시장 선점을 위해 노력하고 있으며, 가격 경쟁력도 기대된다고 언급되어 주가에 긍정적인 영향을 줄 수 있습니다."
2016,Q2,2016-08-16,9150,삼성전기,정보기술,down,"요약본에서는 삼성전기가 과매도 상태에서 벗어나지 못하고 있으며, 기술 지표가 평탄해지고 있다는 내용이 있습니다. 이는 주가에 긍정적인 영향을 미치지 않는 것으로 보이며, 정보가 충분하지 않아 기본적으로 하락으로 판단했습니다."
2016,Q3,2016-11-14,9150,삼성전기,정보기술,,
2016,Q4,2017-03-31,9150,삼성전기,정보기술,up,요약본에서는 삼성전기의 실적 개선 전망과 관련 부품 매출 증가가 언급되어 주가에 긍정적인 영향을 줄 수 있습니다.
2017,Q1,2017-05-15,9150,삼성전기,정보기술,down,"요약본은 국방 이슈와 관련된 내용으로, 삼성전기의 주가에 직접적인 영향을 미칠 만한 정보가 부족합니다. 따라서 기본적으로 하락으로 판단했습니다."
2017,Q2,2017-08-14,9150,삼성전기,정보기술,up,"영상에서는 삼성전기의 장기적인 투자 가치와 기술적 우위가 강조되며, 특히 SLP 및 PLP 기술에서의 시장 리더십과 수익 성장 가능성이 언급되어 주가에 긍정적인 영향을 줄 수 있습니다."
2017,Q3,2017-11-14,9150,삼성전기,정보기술,down,"요약본에서는 삼성전기에 대해 현재 매도 구간에 있으며, 주가가 110,000원을 넘지 못할 경우 큰 하락이 예상된다고 언급하고 있습니다. 따라서 주가에 부정적인 영향을 미칠 수 있습니다."
2017,Q4,2018-04-02,9150,삼성전기,정보기술,down,"요약본에는 삼성전기의 주가에 직접적인 영향을 미칠 수 있는 정보가 포함되어 있지 않으므로, 정보가 불충분하지만 기본적으로 하락으로 판단했습니다."
2018,Q1,2018-05-15,9150,삼성전기,정보기술,down,요약본에는 삼성전기의 주가에 직접적인 영향을 미칠 만한 정보가 부족합니다. 따라서 기본적으로 주가 하락으로 판단합니다.
2018,Q2,2018-08-14,9150,삼성전기,정보기술,up,"삼성전기의 MLCC 매출 증가율이 경쟁사인 무라타를 앞서고 있으며, IT용 MLCC 수요 강세와 가격 상승이 긍정적인 영향을 미칠 것으로 보입니다."
