,name,year,quarter,sector,Relative Return,비유동자산 변화율,영업이익 변화율,부채총계 변화율,매출액 변화율,비유동부채 변화율,Label,Code
31,SK하이닉스,2017,Q1,정보기술,0.03107106492552158,0.02479110869132395,0.5943876001081618,0.07220381868125259,0.1637093570661865,-0.0045008504976972175,0.09630594026553092,000660
31,한화,2017,Q1,에너지_화학,0.12772515656239566,0.003759511045989594,0.14490646124823137,-0.028472411054164093,-0.17391001909626624,-0.07411156914108163,0.1553771826005469,000880
31,한국쉘석유,2017,Q1,에너지_화학,-0.03216306978102413,0.0031625895275864124,-0.20673713538848126,0.9184393629963068,0.05953096628321797,2.486834961357773,-0.023805395407978984,002960
31,태광산업,2017,Q1,에너지_화학,-0.0351402475865889,-0.005535429625324051,-0.18952217780645475,0.07398170887622135,0.06531313365252922,0.011997570252182843,0.30673286741334826,003240
31,LG,2017,Q1,정보기술,-0.03586645834080273,0.013134127919251837,6.583593373683218,1.0277701664670622,3.272489758381406,-0.11224468286924816,0.0728345059379617,003550
31,삼성정밀화학,2017,Q1,에너지_화학,-0.009892564620785131,-0.013337037015708875,0.2809108100336717,0.04192733548661698,0.16040944361337695,0.003939114722949499,0.0636927617496209,004000
31,한솔테크닉스,2017,Q1,정보기술,-0.12902590442213896,9.126589514130146e-06,1.2901101360149685,0.007787541048280389,0.05151942155755607,0.21712219248323472,-0.04798884739643876,004710
31,효성,2017,Q1,에너지_화학,0.027071761417381997,-0.010480429377901723,-0.1749833504828503,0.014425375521672779,-0.10587190507232114,-0.09575357229866033,0.15547593611276173,004800
31,삼성전자,2017,Q1,정보기술,0.038136403063849696,0.07024115043363444,0.10116890658428868,-0.02095353425364377,-0.020754157965270248,-0.20514799179264642,-0.035921684273371696,005930
31,SK케미칼,2017,Q1,에너지_화학,-0.08134640017200577,0.011608589970818262,3.1316778122340914,-0.045907037668394435,-0.10685999968967341,-0.07183463109655641,0.0452820539171333,006120
