,name,year,quarter,sector,Relative Return,부채총계 변화율,영업이익 변화율,유동부채 변화율,비유동부채 변화율,이익잉여금 변화율,Label,Code
14,SK하이닉스,2021,Q2,정보기술,-0.14016093166180846,0.010506875517183989,1.2450068665540965,-0.06944555126531027,0.07775509357663934,0.04327359385995133,0.11491272592963268,000660
14,한화,2021,Q2,에너지_화학,-0.06439946612798499,0.009553752504470214,20.696056820964976,-0.05311677239384682,0.1078956676004783,0.023377637105098437,0.0808788398881068,000880
14,한국쉘석유,2021,Q2,에너지_화학,-0.027952306953183736,-0.2536936680470714,-0.158645089038855,-0.26759320828544775,0.10954859550185447,0.08781133263257668,0.06956474850893979,002960
14,태광산업,2021,Q2,에너지_화학,-0.09278234446534045,0.0620232785046424,0.500165577989073,0.07939785377056063,0.038269836365417254,0.028599279296516622,-0.026338656826371452,003240
14,LG,2021,Q2,정보기술,0.0,-0.8779205530197791,-0.9106882100405946,-0.9242217949203291,0.004544738304348206,0.10926726545805288,0.010826868558256687,003550
14,삼성정밀화학,2021,Q2,에너지_화학,0.1128712131247934,0.07027602793558807,0.5036992269232803,0.07091657763683523,0.057566183189121434,0.036776923616500756,0.25897579890359673,004000
14,한솔테크닉스,2021,Q2,정보기술,-0.1667863766138609,-0.11076724551319406,-0.7891973377266426,-0.17164790171151878,-0.006657364239856078,0.20154097991641828,-0.13263647128451078,004710
14,효성,2021,Q2,에너지_화학,0.1154619178241586,-0.200308183530447,1.1318686960272415,-0.45664429304615584,0.03376378791419632,0.02314431090305402,-0.07112166698334282,004800
14,삼성전자,2021,Q2,정보기술,-0.06520218578722098,-0.2476716362794239,0.7363166509053249,-0.2866487543122873,1.021353018795459,0.03934439034572468,0.01451133443913228,005930
14,SK케미칼,2021,Q2,에너지_화학,-0.07035163621097289,-0.13751319479354362,-1.069714919672622,-0.3283432225483298,0.009083428014809103,-0.0031070200679859106,0.020774740702538548,006120
14,삼성SDI,2021,Q2,정보기술,0.304686954315942,0.04567372893952215,2.042897164959059,0.032144236958735695,0.07921464642508069,0.02567907284089488,-0.010087483715657743,006400
14,대한유화,2021,Q2,에너지_화학,-0.09655986834860011,0.2518316903642237,-0.12778609104919092,0.4057018735254163,-0.00999361436686963,0.034332402930047135,-0.1936325819552562,006650
14,국도화학,2021,Q2,에너지_화학,0.2200103928324326,0.20104514181999522,1.8415838137033602,0.20742390329882632,0.16804836703930692,0.1403905470379121,-0.09622409670901483,007690
