,name,year,quarter,sector,Relative Return,당기순이익 변화율,금리 변화율,실업률 변화율,국제유가 변화율,소비자물가지수 변화율,환율 변화율,Label,Code
29,경방,2017,Q3,경기소비재,-0.12313590234177786,0.20959599294576514,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,0.041282164991423786,000050
29,한국타이어월드와이드,2017,Q3,경기소비재,-0.15109247683773183,0.14196450594241905,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,0.001746463831453167,000240
29,기아차,2017,Q3,경기소비재,-0.07915442086029638,-2.120153102378759,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,-0.07666297878411757,000270
29,SK네트웍스,2017,Q3,경기소비재,-0.1960592284296609,-1.0000003357674583,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,-0.037047728087738756,001740
29,넥센타이어,2017,Q3,경기소비재,-0.166310576512762,-0.038870208047917076,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,0.05585901794400728,002350
29,일신방직,2017,Q3,경기소비재,-0.08332433892506423,-0.9921750600047425,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,-0.019008492860209676,003200
29,쌍용차,2017,Q3,경기소비재,-0.16666943052586125,3.025587788116481,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,-0.020711474915769197,003620
29,한솔홀딩스,2017,Q3,경기소비재,-0.1335700103103873,-1.815461277172174,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,-0.15442420595960327,004150
29,신세계,2017,Q3,경기소비재,0.11264533343945793,-0.5537946088225005,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,0.5130793044325864,004170
29,세방전지,2017,Q3,경기소비재,-0.21713296299610035,0.22476120234019237,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,0.03288116412783011,004490
29,조광피혁,2017,Q3,경기소비재,0.039485334906325054,-0.23404218284464573,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,0.0026496563404850917,004700
29,현대차,2017,Q3,경기소비재,0.03011591406793329,0.45951223128243135,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,-0.04329772808773875,005380
29,에스엘,2017,Q3,경기소비재,-0.06480747034245979,-0.8538325327877866,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,-0.037974506301888096,005850
29,동아타이어,2017,Q3,경기소비재,-0.2007839161527798,-0.29811284918169956,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,0.0,007340
29,서연,2017,Q3,경기소비재,-0.20054770149270745,4.553032272441819,0.03346456692913535,0.018181818181818077,0.04912421985101645,0.15372330132051748,0.0010197755396517127,-0.1671144756605543,007860
