,Sector,Symbol
0,Industrials,MMM
1,Industrials,AOS
2,Health Care,ABT
3,Health Care,ABBV
4,Information Technology,ACN
5,Information Technology,ADBE
6,Information Technology,AMD
7,Utilities,AES
8,Financials,AFL
9,Health Care,A
10,Materials,APD
11,Consumer Discretionary,ABNB
12,Information Technology,AKAM
13,Materials,ALB
14,Real Estate,ARE
15,Health Care,ALGN
16,Industrials,ALLE
17,Utilities,LNT
18,Financials,ALL
19,Communication Services,GOOGL
20,Communication Services,GOOG
21,Consumer Staples,MO
22,Consumer Discretionary,AMZN
23,Materials,AMCR
24,Utilities,AEE
25,Utilities,AEP
26,Financials,AXP
27,Financials,AIG
28,Real Estate,AMT
29,Utilities,AWK
30,Financials,AMP
31,Industrials,AME
32,Health Care,AMGN
33,Information Technology,APH
34,Information Technology,ADI
35,Information Technology,ANSS
36,Financials,AON
37,Energy,APA
38,Financials,APO
39,Information Technology,AAPL
40,Information Technology,AMAT
41,Consumer Discretionary,APTV
42,Financials,ACGL
43,Consumer Staples,ADM
44,Information Technology,ANET
45,Financials,AJG
46,Financials,AIZ
47,Communication Services,T
48,Utilities,ATO
49,Information Technology,ADSK
50,Industrials,ADP
51,Consumer Discretionary,AZO
52,Real Estate,AVB
53,Materials,AVY
54,Industrials,AXON
55,Energy,BKR
56,Materials,BALL
57,Financials,BAC
58,Health Care,BAX
59,Health Care,BDX
60,Financials,BRKB
61,Consumer Discretionary,BBY
62,Health Care,TECH
63,Health Care,BIIB
64,Financials,BLK
65,Financials,BX
66,Financials,BK
67,Industrials,BA
68,Consumer Discretionary,BKNG
69,Consumer Discretionary,BWA
70,Health Care,BSX
71,Health Care,BMY
72,Information Technology,AVGO
73,Industrials,BR
74,Financials,BRO
75,Consumer Staples,BFB
76,Industrials,BLDR
77,Consumer Staples,BG
78,Real Estate,BXP
79,Industrials,CHRW
80,Information Technology,CDNS
81,Consumer Discretionary,CZR
82,Real Estate,CPT
83,Consumer Staples,CPB
84,Financials,COF
85,Health Care,CAH
86,Consumer Discretionary,KMX
87,Consumer Discretionary,CCL
88,Industrials,CARR
89,Industrials,CAT
90,Financials,CBOE
91,Real Estate,CBRE
92,Information Technology,CDW
93,Materials,CE
94,Health Care,COR
95,Health Care,CNC
96,Utilities,CNP
97,Materials,CF
98,Health Care,CRL
99,Financials,SCHW
100,Communication Services,CHTR
101,Energy,CVX
102,Consumer Discretionary,CMG
103,Financials,CB
104,Consumer Staples,CHD
105,Health Care,CI
106,Financials,CINF
107,Industrials,CTAS
108,Information Technology,CSCO
109,Financials,C
110,Financials,CFG
111,Consumer Staples,CLX
112,Financials,CME
113,Utilities,CMS
114,Consumer Staples,KO
115,Information Technology,CTSH
116,Consumer Staples,CL
117,Communication Services,CMCSA
118,Consumer Staples,CAG
119,Energy,COP
120,Utilities,ED
121,Consumer Staples,STZ
122,Utilities,CEG
123,Health Care,COO
124,Industrials,CPRT
125,Information Technology,GLW
126,Financials,CPAY
127,Materials,CTVA
128,Real Estate,CSGP
129,Consumer Staples,COST
130,Energy,CTRA
131,Information Technology,CRWD
132,Real Estate,CCI
133,Industrials,CSX
134,Industrials,CMI
135,Health Care,CVS
136,Health Care,DHR
137,Consumer Discretionary,DRI
138,Health Care,DVA
139,Industrials,DAY
140,Consumer Discretionary,DECK
141,Industrials,DE
142,Information Technology,DELL
143,Industrials,DAL
144,Energy,DVN
145,Health Care,DXCM
146,Energy,FANG
147,Real Estate,DLR
148,Financials,DFS
149,Consumer Staples,DG
150,Consumer Staples,DLTR
151,Utilities,D
152,Consumer Discretionary,DPZ
153,Industrials,DOV
154,Materials,DOW
155,Consumer Discretionary,DHI
156,Utilities,DTE
157,Utilities,DUK
158,Materials,DD
159,Materials,EMN
160,Industrials,ETN
161,Consumer Discretionary,EBAY
162,Materials,ECL
163,Utilities,EIX
164,Health Care,EW
165,Communication Services,EA
166,Health Care,ELV
167,Industrials,EMR
168,Information Technology,ENPH
169,Utilities,ETR
170,Energy,EOG
171,Information Technology,EPAM
172,Energy,EQT
173,Industrials,EFX
174,Real Estate,EQIX
175,Real Estate,EQR
176,Financials,ERIE
177,Real Estate,ESS
178,Consumer Staples,EL
179,Financials,EG
180,Utilities,EVRG
181,Utilities,ES
182,Utilities,EXC
183,Consumer Discretionary,EXPE
184,Industrials,EXPD
185,Real Estate,EXR
186,Energy,XOM
187,Information Technology,FFIV
188,Financials,FDS
189,Information Technology,FICO
190,Industrials,FAST
191,Real Estate,FRT
192,Industrials,FDX
193,Financials,FIS
194,Financials,FITB
195,Information Technology,FSLR
196,Utilities,FE
197,Financials,FI
198,Materials,FMC
199,Consumer Discretionary,F
200,Information Technology,FTNT
201,Industrials,FTV
202,Communication Services,FOXA
203,Communication Services,FOX
204,Financials,BEN
205,Materials,FCX
206,Consumer Discretionary,GRMN
207,Information Technology,IT
208,Industrials,GE
209,Health Care,GEHC
210,Industrials,GEV
211,Information Technology,GEN
