,name,year,quarter,sector,Relative Return,부채총계 변화율,자본총계 변화율,법인세차감전 순이익 변화율,금리 변화율,Label,Code
29,CJ대한통운,2017,Q3,산업재,-0.18818800596954915,0.11654672415517542,0.0006974755114412812,-0.7106493687859772,0.03346456692913535,-0.041479917630222414,000120
29,두산,2017,Q3,산업재,-0.0906428996630934,0.09229920848051765,0.014173135317234298,-0.23374673128761003,0.03346456692913535,-0.12720228105803708,000150
29,LG상사,2017,Q3,산업재,-0.10129325401356078,0.026797724333977202,0.031994002512184094,0.8353256031216405,0.03346456692913535,-0.011568343910626756,001120
29,대한항공,2017,Q3,산업재,-0.24487756318235174,-0.007282209237780668,0.02433045721532001,-1.4583929653868897,0.03346456692913535,0.12563477305901172,003490
29,S&T중공업,2017,Q3,산업재,-0.1652097407655618,-0.002998918706788145,-0.002988782992392691,-1.0630331664471349,0.03346456692913535,-0.013550251049301458,003570
29,LS,2017,Q3,산업재,-0.23972379605919317,-0.060450822111184355,-0.3278835596144195,0.03411806502683601,0.03346456692913535,0.07619834967488062,006260
29,LS산전,2017,Q3,산업재,-0.06067428757190768,-0.035615850768580204,0.03582339908479515,0.2932341726211791,0.03346456692913535,0.08046051358554096,010120
29,현대상선,2017,Q3,산업재,-0.2434103961001017,-0.0064124114077194205,-0.06798821830199742,-0.7561108587005907,0.03346456692913535,-0.2182255333682668,011200
29,한국단자,2017,Q3,산업재,-0.08213517779674952,0.16702098276995492,0.01668871766991642,-0.17160600182955332,0.03346456692913535,-0.19060520775301398,025540
29,대우인터내셔널,2017,Q3,산업재,-0.2495476075871764,-0.0551033780269059,0.011648558954753696,0.6920911531323521,0.03346456692913535,0.23012701963408144,047050
29,한국항공우주,2017,Q3,산업재,0.22578965339006057,0.5301543838318579,-0.06102356900340722,1.920551868476854,0.03346456692913535,0.05683325993621334,047810
29,한전KPS,2017,Q3,산업재,-0.27659612149542767,-0.1330615309481583,0.04415199187711005,-0.4403235670356559,0.03346456692913535,0.21906294070207016,051600
29,현대글로비스,2017,Q3,산업재,-0.19470552100981864,-0.0039044814656989946,0.021401944733779876,0.36535346997737483,0.03346456692913535,0.10117766068052905,086280
