,name,year,quarter,sector,Relative Return,비유동자산 변화율,유동자산 변화율,자본총계 변화율,당기순이익(손실) 변화율,소비자물가지수 변화율,금리 변화율,Label,Code
18,CJ대한통운,2020,Q2,산업재,-0.20805324300341949,0.004432597772771718,0.023115672748867055,0.008142364868214846,0.9836849559984033,-0.9744470971009336,-0.0835291604358025,0.006497951974267023,000120
18,두산,2020,Q2,산업재,-0.0912061080882638,0.11331607352334805,-0.09068780024392131,0.1489654579975337,-0.6785238333045829,-0.9744470971009336,-0.0835291604358025,0.05912799469855127,000150
18,LG상사,2020,Q2,산업재,-0.040930749715722164,0.009394044203674623,0.10080032506896819,0.0036624226441166474,-0.9841137291023432,-0.9744470971009336,-0.0835291604358025,0.09286712153574087,001120
18,대한항공,2020,Q2,산업재,-0.006374697562021692,-0.025455190342344003,0.11740245765910662,0.11809407973831032,-1.2346791343103083,-0.9744470971009336,-0.0835291604358025,0.17104100964740387,003490
18,S&T중공업,2020,Q2,산업재,-0.32487189387740756,-0.03864329169999481,0.0658018929768589,0.004156263838766661,-0.05469204454897714,-0.9744470971009336,-0.0835291604358025,0.03300732817132775,003570
18,LS,2020,Q2,산업재,-0.019981619898667646,0.01092322890682662,-0.2269399837721684,0.010392409317458107,2.7246376811594204,-0.9744470971009336,-0.0835291604358025,0.29306525221584595,006260
18,LS산전,2020,Q2,산업재,0.19135469755845652,-0.014401316648428253,-0.024746269264867338,0.011669043402884771,-0.4619352223749016,-0.9744470971009336,-0.0835291604358025,-0.055181088573991115,010120
18,현대상선,2020,Q2,산업재,0.5189624782432478,0.19968961837949828,0.5522242106454776,0.6613696879326871,-1.3908027099158284,-0.9744470971009336,-0.0835291604358025,1.129374017818932,011200
18,한국단자,2020,Q2,산업재,0.44472922095051354,0.01918083381782143,-0.07346477712682531,0.011484821058635797,-0.8325506678552462,-0.9744470971009336,-0.0835291604358025,-0.08292173028522107,025540
18,대우인터내셔널,2020,Q2,산업재,-0.20957517109628587,0.05573060728194945,-0.13489051310060518,0.030373287955266726,-0.20702231929905512,-0.9744470971009336,-0.0835291604358025,-0.06968509230355535,047050
18,한국항공우주,2020,Q2,산업재,-0.20230653622420403,0.05895889136011867,0.14145412614412378,0.033971644731729755,-0.46928044804735114,-0.9744470971009336,-0.0835291604358025,-0.08757324543673621,047810
18,한전KPS,2020,Q2,산업재,-0.2758570856223525,-0.04787559598743907,-0.031718147523452145,0.039309565585013084,0.8104042528062454,-0.9744470971009336,-0.0835291604358025,-0.08752129738478817,051600
18,현대글로비스,2020,Q2,산업재,-0.042376978566364826,-0.006742195069638912,-0.269261574699428,0.027486732888637455,-0.40707750843290813,-0.9744470971009336,-0.0835291604358025,0.5231407766437507,086280
