,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,매출액 변화율,자본총계 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
20,CJ대한통운,2019,Q4,산업재,-0.012301943884613586,-0.0012809694310091935,-0.004098811930053681,0.09560294586942941,0.003530937578351656,-0.025564515874388682,5.2054925304245714e-05,0.025137678403095942,000120
20,두산,2019,Q4,산업재,-0.2979587451550505,0.06250076830124329,-0.06723561175317128,-0.02439591447954126,0.501530454116482,-0.3419222505014201,-0.16069174133907593,-0.0619823979223777,000150
20,LG상사,2019,Q4,산업재,-0.2911200836905169,-0.09602762656482078,-0.10567002220195065,-0.08328855302563365,-0.10600409858012327,-0.13594587420002457,-0.07299973817730565,0.4870411980598478,001120
20,대한항공,2019,Q4,산업재,-0.1087596196296142,0.011900668705179918,-0.009066259695927892,-0.10485591339545886,0.04296919384864317,0.040767684632464274,-0.04101090749645475,-0.06711625460812101,003490
20,S&T중공업,2019,Q4,산업재,0.037368526319802337,-0.00446250993417685,0.007623138789691231,-0.035202332906561495,0.007561895427703247,0.07946999336428373,-0.04093787915461078,-0.025693149455158534,003570
20,LS,2019,Q4,산업재,-0.2392233589271565,0.45178590642686056,0.38961122937078363,-0.023895923215385584,0.5147484426499476,-0.5685437830329712,-0.030989753153594757,0.08320297003764945,006260
20,LS산전,2019,Q4,산업재,-0.18167880305954145,-0.0327782263802846,0.05109350285252923,0.3567534306805684,0.017402514999639296,0.01242035886594084,0.25237244581299634,0.10776428213565153,010120
20,현대상선,2019,Q4,산업재,-0.03853545725645083,-0.03536956535542124,0.017567746837855225,-0.06978841346095588,0.3676391081231347,-0.03610883299342316,-0.031108914840126567,0.32902914131778693,011200
20,한국단자,2019,Q4,산업재,-0.28201623370976314,0.01102841510665642,-0.006569858329369183,0.11933304614391305,0.008912955516658938,-0.09012279946305302,0.019384435798323718,0.19886250430183489,025540
20,대우인터내셔널,2019,Q4,산업재,-0.2579080727714995,-0.040746448557292925,-0.08491145470998662,-0.0015261726431937683,-0.00452473936860609,-0.2148165277741646,0.074772191625466,0.20168576799466376,047050
20,한국항공우주,2019,Q4,산업재,-0.27274543248236127,0.02757650293344538,-0.034062796825859776,0.9490173931762498,-0.015708701863142438,-0.08122855998653777,0.06789557430113491,0.038400743840074414,047810
20,한전KPS,2019,Q4,산업재,0.08113376551161337,-0.01638691094263356,0.027184316102877748,0.2771373077407069,0.08184805551081453,-0.0005739582735984072,-0.4851581911561764,-0.018563262419706503,051600
20,현대글로비스,2019,Q4,산업재,-0.24324388512739695,0.01935104965406187,0.012509309771106425,0.010432742462835431,0.046959364607410015,-0.04680817764552969,0.04069593287118933,0.05401192526478418,086280
