,name,year,quarter,sector,Relative Return,자산총계 변화율,비유동자산 변화율,자본총계 변화율,금리 변화율,매출액 변화율,영업이익 변화율,Label,Code
8,CJ대한통운,2022,Q4,산업재,-0.0655666417898243,0.06877054602056765,0.017696359169037112,0.009223161166028282,0.11445954938682568,0.004804461334060983,0.18536997542657163,0.02659724469511341,000120
8,두산,2022,Q4,산업재,0.138176475848162,-0.06456062023191789,-0.0029227595373084725,-0.018261523370401767,0.11445954938682568,-0.08409248507993095,-1.7111753905195288,-0.1273457788138802,000150
8,LG상사,2022,Q4,산업재,-0.235710326621543,0.04652250599918806,-0.02555742438558073,-0.04447073178680916,0.11445954938682568,-0.03949170052780393,-0.37819766821850975,0.02261175024150343,001120
8,대한항공,2022,Q4,산업재,-0.0659284505606798,-0.013376149260277859,-3.9052529397953784e-05,0.10096084903534774,0.11445954938682568,-0.016787776812984045,-0.3802929313759852,-0.05304822302080679,003490
8,S&T중공업,2022,Q4,산업재,0.09164646248419406,0.09455574787354237,-0.05797533932790122,0.01530248045322713,0.11445954938682568,0.6728542926763801,1.0663479862499714,-0.015479490453795208,003570
8,LS,2022,Q4,산업재,0.06188192042317178,0.032142775683077884,0.04920217317209441,0.05602350756428365,0.11445954938682568,-0.08396662551881118,-0.1773712816316989,0.2642891293053567,006260
8,LS산전,2022,Q4,산업재,0.05904909069189029,0.05590269024961758,0.019481457165585914,0.03255669902934821,0.11445954938682568,0.11790137480626228,-0.6294926893658132,0.11277501706591203,010120
8,현대상선,2022,Q4,산업재,-0.023952222418711335,-0.13523965356535994,0.0622378462566997,-0.057396673871036086,0.11445954938682568,-0.3110128649851793,-0.5172663015572881,-0.06938492671878113,011200
8,한국단자,2022,Q4,산업재,-0.014199258311691606,0.07678391985454103,0.004331465032235249,0.00028788021381953577,0.11445954938682568,0.1231218035945223,0.2893522540998352,0.1496668195291516,025540
8,대우인터내셔널,2022,Q4,산업재,0.004689950966088274,-0.15583979931227265,-0.006438195220980103,0.013822277273076722,0.11445954938682568,-0.13001849061200343,-0.2010495512301982,0.20314542316747272,047050
8,한국항공우주,2022,Q4,산업재,-0.05323195121243898,0.2734146788627376,0.03672120365886644,0.026861965720691883,0.11445954938682568,0.4172758497044351,0.22413038491932125,0.13746408010837835,047810
8,한전KPS,2022,Q4,산업재,0.1062847810720499,0.044871415007570414,0.037161863102237014,0.030682692669823153,0.11445954938682568,0.1657805753667856,0.5537825743475939,-0.03036839994891402,051600
8,현대글로비스,2022,Q4,산업재,-0.10902122468874657,-0.041879590728274185,0.03979673317428034,0.0729975855622722,0.11445954938682568,-0.05072413856262348,-0.058047070089808805,0.021111420406996893,086280
