date,code,score,return
2021-03-24,3570,-1,0.006711409395973256
2021-04-24,3570,-1,0.007416563658838138
2021-03-24,4710,-1,0.04975124378109452
2021-04-24,4710,-1,-0.09864253393665157
2021-03-24,1120,-1,0.12720848056537104
2021-04-24,1120,-1,-0.04049844236760125
2021-03-24,150,-1,0.04716981132075482
2021-04-24,150,-1,0.15539305301645334
2021-03-24,3550,-1,0.05238640984879295
2021-04-24,3550,1,0.020164250712834342
2021-03-24,66570,-1,0.023890784982935065
2021-04-24,66570,1,-0.07079646017699115
2021-03-24,9150,-1,0.00536193029490617
2021-04-24,9150,-1,-0.07253886010362698
2021-03-24,47810,1,-0.014745308310991967
2021-04-24,47810,-1,-0.04678362573099415
2021-05-18,150,1,0.1281337047353761
2021-06-18,150,-1,0.007734806629834168
2021-07-18,150,1,-0.06481481481481477
2021-05-18,1120,-1,-0.06437768240343344
2021-06-18,1120,-1,0.05245346869712342
2021-07-18,1120,-1,0.04297520661157028
2021-05-18,4710,-1,-0.02015677491601342
2021-06-18,4710,-1,0.012471655328798237
2021-07-18,4710,-1,-0.0023014959723820505
2021-05-18,47810,-1,0.05271317829457356
2021-06-18,47810,-1,-0.06980056980056981
2021-07-18,47810,-1,-0.0014619883040936088
2021-05-18,66570,-1,0.023333333333333428
2021-06-18,66570,-1,0.04140127388535042
2021-07-18,66570,-1,0.05714285714285716
2021-05-18,3490,1,0.04166666666666674
2021-06-18,3490,-1,-0.03619909502262442
2021-07-18,3490,-1,-0.0016474464579900872
2021-05-18,29530,-1,0.015432098765432167
2021-06-18,29530,-1,-0.016176470588235348
2021-07-18,29530,-1,-0.017027863777089758
2021-05-18,3570,-1,-0.017937219730941756
2021-06-18,3570,-1,0.08629441624365475
2021-07-18,3570,-1,0.0
2021-08-18,3550,-1,-0.03893442622950816
2021-09-18,3550,-1,-0.0010493179433368471
2021-10-18,3550,-1,-0.008350730688935326
2021-08-18,4710,-1,-0.03841059602649011
2021-09-18,4710,-1,0.01386962552011095
2021-10-18,4710,-1,-0.016058394160583966
2021-08-18,8060,-1,0.009615384615384581
2021-09-18,8060,-1,-0.006896551724137945
2021-10-18,8060,-1,-0.004098360655737654
2021-08-18,3490,1,0.03767123287671237
2021-09-18,3490,1,0.0014619883040936088
2021-10-18,3490,-1,0.01453957996768973
2021-08-18,29530,-1,0.004777070063694211
2021-09-18,29530,-1,-0.0031347962382445305
2021-10-18,29530,-1,0.0015174506828528056
2021-08-18,34730,-1,-0.016853932584269704
2021-09-18,34730,-1,-0.009208103130755041
2021-10-18,34730,-1,-0.026819923371647514
2021-08-18,51600,-1,-0.026109660574412552
2021-09-18,51600,-1,-0.01797175866495504
2021-10-18,51600,-1,0.027906976744185963
2021-08-18,11070,-1,-0.014285714285714235
2021-09-18,11070,1,0.006960556844547661
2021-10-18,11070,-1,0.0
2021-11-16,4710,-1,-0.029096477794793296
2021-12-16,4710,1,-0.04364569961489084
2022-01-16,4710,-1,-0.06500691562932226
2022-02-16,4710,-1,-0.036418816388467334
2022-03-16,4710,-1,0.05271317829457356
2021-11-16,66570,-1,0.032258064516129004
2021-12-16,66570,-1,0.05384615384615388
2022-01-16,66570,1,-0.04982206405693945
2022-02-16,66570,-1,0.020325203252032464
2022-03-16,66570,-1,-0.016000000000000014
2021-11-16,1120,-1,-0.05018587360594795
2021-12-16,1120,1,0.01949317738791434
2022-01-16,1120,-1,0.00391389432485334
2022-02-16,1120,1,0.03136531365313644
2022-03-16,1120,1,0.13079470198675502
2021-11-16,47810,1,-0.009771986970684043
2021-12-16,47810,-1,0.08135593220338988
2022-01-16,47810,-1,0.06151645207439205
2022-02-16,47810,-1,-0.033045977011494254
2022-03-16,47810,1,0.15436241610738266
2021-11-16,47050,1,-0.007334963325183352
2021-12-16,47050,1,0.10978520286396187
2022-01-16,47050,-1,-0.008733624454148492
2022-02-16,47050,-1,0.0
2022-03-16,47050,-1,0.03755868544600949
2021-11-16,3490,-1,-0.04597701149425293
2021-12-16,3490,1,0.006896551724137945
2022-01-16,3490,-1,-0.019469026548672552
2022-02-16,3490,-1,-0.013333333333333308
2022-03-16,3490,-1,-0.016474464579901205
2021-11-16,120,-1,-0.039145907473309594
2021-12-16,120,1,-0.011363636363636354
2022-01-16,120,-1,0.004048582995951344
2022-02-16,120,-1,0.004048582995951344
2022-03-16,120,-1,-0.014869888475836479
2021-11-16,10120,1,-0.023890784982935176
2021-12-16,10120,-1,0.00902527075812265
2022-01-16,10120,-1,-0.0369685767097967
2022-02-16,10120,-1,0.004761904761904745
2022-03-16,10120,-1,0.017372421281216077
2022-04-16,1120,1,0.029891304347826164
2022-04-16,66570,-1,-0.012048192771084376
2022-04-16,47050,1,0.06396588486140731
2022-04-16,3570,-1,0.008393285371702586
2022-04-16,3550,-1,0.009575923392612928
2022-04-16,20150,1,0.0056433408577878375
2022-04-16,6400,1,-0.00831919890958166
2022-04-16,8060,-1,0.018844221105527748
2022-05-17,8060,-1,-0.028683181225554133
2022-06-17,8060,-1,-0.058383233532934176
2022-07-17,8060,-1,0.004629629629629539
2022-05-17,29530,-1,-0.009090909090909038
2022-06-17,29530,-1,-0.009554140127388533
2022-07-17,29530,-1,0.007874015748031482
2022-05-17,150,1,-0.032687651331719136
2022-06-17,150,1,-0.09272467902995718
2022-07-17,150,-1,0.018404907975460016
2022-05-17,47810,1,0.008359456635318674
2022-06-17,47810,1,-0.0644567219152854
2022-07-17,47810,1,0.0019723865877712132
2022-05-17,34220,-1,0.008820356621612957
2022-06-17,34220,-1,-0.047008547008547064
2022-07-17,34220,-1,-0.006442577030812302
2022-05-17,66570,-1,-0.046511627906976716
2022-06-17,66570,1,-0.045064377682403456
2022-07-17,66570,-1,0.0108108108108107
2022-05-17,4710,-1,-0.025954198473282397
2022-06-17,4710,-1,-0.10033444816053516
2022-07-17,4710,-1,0.030245746691871522
2022-05-17,3490,1,-0.00865051903114189
2022-06-17,3490,-1,-0.06716417910447758
2022-07-17,3490,-1,-0.009920634920634885
2022-08-17,3570,-1,0.139240506329114
2022-09-17,3570,-1,-0.020768431983385294
2022-10-17,3570,-1,-0.02290950744558995
2022-08-17,150,-1,0.04268292682926833
2022-09-17,150,-1,0.15374507227332468
2022-10-17,150,-1,0.018773466833541974
2022-08-17,29530,-1,-0.0030487804878048808
2022-09-17,29530,-1,-0.012765957446808529
2022-10-17,29530,-1,0.007849293563579218
2022-08-17,4710,-1,-0.06615384615384612
2022-09-17,4710,-1,-0.07017543859649122
2022-10-17,4710,-1,0.0569280343716434
2022-08-17,3550,1,-0.03900709219858156
2022-09-17,3550,-1,-0.027568922305764465
2022-10-17,3550,-1,0.0
2022-08-17,66570,-1,-0.05217391304347829
