,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,매출액 변화율,유동자산 변화율,유동부채 변화율,Label,Code
26,CJ대한통운,2018,Q2,산업재,-0.08753989778786372,0.01664181233881523,0.023362962253114405,0.13287089820554532,0.0489275270854459,-0.14726073356980995,0.11571023203286286,000120
26,두산,2018,Q2,산업재,-0.031583011954693416,0.13069409956515554,0.10249406837918706,-0.30706390312968457,0.024664436837790626,-0.01899233858627325,0.2813772335036169,000150
26,LG상사,2018,Q2,산업재,-0.1822205925842355,0.02694552317999732,-0.02026708211698136,-0.059874226179991163,-0.13928061425300664,-0.045684495486397525,-0.22248022226883024,001120
26,대한항공,2018,Q2,산업재,-0.10501069971367774,0.010691827318265457,-0.0013354796915271416,-0.0011608180077635755,-0.06706852591619417,0.05445960069216271,0.12495020537271037,003490
26,S&T중공업,2018,Q2,산업재,0.011079778303015292,0.0009784333375872922,-0.006130760366906407,0.18290247363738676,-0.01390392067406454,-0.020466729866889244,0.08716642462338153,003570
26,LS,2018,Q2,산업재,-0.1178274543580107,-0.0028548412106398358,-0.028208997816811743,0.02259576493592208,-0.5549339534529096,-0.24488461308194287,-0.14615924572539346,006260
26,LS산전,2018,Q2,산업재,-0.05297483287324756,-0.009180238359474235,-0.010081277111906206,0.13677797552259685,-0.01081366612090251,-0.09151786088167113,-0.24531077979904248,010120
26,현대상선,2018,Q2,산업재,-0.16784359577912367,0.16618497722116587,0.0517232150748177,0.10420970857869949,-0.17147759414151043,0.534878862877773,-0.0778137709005156,011200
26,SK텔레콤,2018,Q2,커뮤니케이션서비스,0.25329261677180526,-0.0021514953556308614,-0.028425972783139297,-0.015627373652267407,-0.12209372050103517,-0.29334512525508194,0.09907619067919897,017670
26,한국단자,2018,Q2,산업재,-0.002398730100561658,0.00686095667415465,0.02444073047039641,0.11807750506860959,0.04603836871328437,0.03584638299362597,-0.1721078513440587,025540
26,제일기획,2018,Q2,커뮤니케이션서비스,0.1291982357360479,-0.0025096289699270136,-0.02907691553433056,0.254748586121782,-0.04397717547131341,-0.126826344523974,0.1817587279625133,030000
26,KT,2018,Q2,커뮤니케이션서비스,0.12804049882701565,-0.011760382493162469,-0.010614258300428836,-0.0032877543716102187,-0.007286790219520944,0.007547623936458914,0.11044707413812602,030200
26,LG유플러스,2018,Q2,커뮤니케이션서비스,0.33774745853397536,-0.011800608316541172,-0.02669071151932767,-0.0007107879726874211,-0.05379228040360773,-0.10242638168125984,0.011272667533378855,032640
26,SBS,2018,Q2,커뮤니케이션서비스,-0.20013132934481254,0.021982037982442693,-0.035227859113986515,0.24758694719477736,-0.09448601206932483,-0.2107655269069456,0.08764858807709541,034120
26,NAVER,2018,Q2,커뮤니케이션서비스,0.1451806233370187,0.03396170523040354,0.014166969810505803,0.062215284027964834,-0.010545476323290837,-0.12569121547103912,-0.16782385035637076,035420
26,엔씨소프트,2018,Q2,커뮤니케이션서비스,0.15361572200702928,0.017699838844223548,-0.04435865374052028,-0.09608247118324897,-0.09977402967742166,-0.4181991545588576,0.2947537311917189,036570
26,대우인터내셔널,2018,Q2,산업재,-0.23668002238205516,-0.014466858229250978,0.029680937015102327,-0.021598221150895602,0.06155872674942575,0.04502216228113287,0.1684108036867166,047050
26,한국항공우주,2018,Q2,산업재,-0.04013272579782187,0.05965494083233813,0.025777462676483953,0.3086315390959258,0.009244423666255663,0.05123860489271315,-0.08890511711530323,047810
26,한전KPS,2018,Q2,산업재,-0.10144173065521384,0.0013313988391312481,-0.01765975926572172,0.35269462016715836,-0.03436405276891541,-0.2478604190797864,-0.1550786282296816,051600
26,현대글로비스,2018,Q2,산업재,-0.1399970633697557,-0.009642861893862653,0.007703561405082215,0.13963557475642108,0.03095055140433045,0.0251753145815814,-0.003821716985839413,086280
