,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,비유동부채 변화율,부채총계 변화율,유동부채 변화율,금리 변화율,실업률 변화율,Label,Code
11,CJ대한통운,2022,Q1,산업재,0.020972223829352588,4.466152660438958,0.020243360189777793,0.025042843340167265,0.03129479639661947,0.14767324592997877,-0.09183673469387776,0.02343612097174363,000120
11,두산,2022,Q1,산업재,-0.2643159535326171,-1.3358006671509133,0.5215653575029571,0.0031236306445372453,-0.21842267981194363,0.14767324592997877,-0.09183673469387776,0.06110258333314108,000150
11,한화,2022,Q1,에너지_화학,-0.015352976835334521,-0.016408362804243848,-0.004630210677561197,0.046344695234941335,0.08133176098760742,0.14767324592997877,-0.09183673469387776,0.14146888500578209,000880
11,LG상사,2022,Q1,산업재,0.2859988574797939,0.727542518078327,0.5789428333768525,0.18099215356376952,-0.06304528876078941,0.14767324592997877,-0.09183673469387776,-0.020619585210161863,001120
11,한국쉘석유,2022,Q1,에너지_화학,0.042623182591799494,0.2269683038552781,0.06469904263456261,0.46270541350104843,0.4876828568620264,0.14767324592997877,-0.09183673469387776,0.046177535082498944,002960
11,태광산업,2022,Q1,에너지_화학,0.020915546732076327,-0.4424538601529042,0.0006012371518775428,-0.0010012325272622524,-0.0018427449875035862,0.14767324592997877,-0.09183673469387776,-0.04799590552283823,003240
11,대한항공,2022,Q1,산업재,0.03388881178450802,0.2926316429645286,0.013969052333073773,-0.002859036972427509,-0.026740219209733795,0.14767324592997877,-0.09183673469387776,-0.05682996607649239,003490
11,S&T중공업,2022,Q1,산업재,0.16440219473170126,-10.271418537618302,-0.07119586769219755,-0.05517176059039186,-0.04036254192461308,0.14767324592997877,-0.09183673469387776,0.07463939620829756,003570
11,삼성정밀화학,2022,Q1,에너지_화학,0.09203436602249784,1.4909883125248395,-0.01098957247542487,0.36560668226698256,0.38640019049545127,0.14767324592997877,-0.09183673469387776,-0.07625433178886362,004000
11,효성,2022,Q1,에너지_화학,0.0012464515290683646,-0.5929333532674983,0.019676568440828657,0.31999629420655995,0.8883011212644045,0.14767324592997877,-0.09183673469387776,-0.02622894125537778,004800
11,SK케미칼,2022,Q1,에너지_화학,0.06695250907717142,2.2990492124269846,0.012497347626974964,0.019323160517017435,0.02158628807316343,0.14767324592997877,-0.09183673469387776,-0.031607328065656144,006120
11,LS,2022,Q1,산업재,0.2003284681564553,0.512830819087335,-0.0010203937519419615,0.09621644709287613,0.23455599425339324,0.14767324592997877,-0.09183673469387776,0.10199314310659517,006260
11,대한유화,2022,Q1,에너지_화학,-0.03009590916700716,-1.2872334740069942,0.2069457364902545,-0.03863646429061285,-0.10850616837598259,0.14767324592997877,-0.09183673469387776,-0.06255681901992194,006650
11,국도화학,2022,Q1,에너지_화학,-0.057729820447124075,-0.062187815752529074,0.004585591805700728,0.24418243406995965,0.29896295267407025,0.14767324592997877,-0.09183673469387776,0.03269435282292643,007690
